,ACC_2,ACC_cue_d_high,ACC_cue_d_low,ACC_cue_t_high,ACC_cue_t_low,ACC_uncue_high,ACC_uncue_low,RT_cue_d_high,RT_cue_d_low,RT_cue_t_high,RT_cue_t_low,RT_uncue_high,RT_uncue_low
2,0.8145833333333333,1.0,1.0,1.0,1.0,1.0,0.9797979797979798,577.5792363071765,595.5928517703182,550.8843272603268,586.7834827658045,577.2547686027665,659.372619228516
3,0.8145833333333333,1.0,1.0,1.0,1.0,1.0,1.0,912.7128858220195,845.780432227085,746.2377245353556,743.6045666229397,870.378220804111,838.6878845187238
4,0.7958333333333333,1.0,1.0,1.0,1.0,1.0,1.0,641.2990719223778,641.5723075312859,640.0439439516877,663.2616638909791,648.6048467541999,670.364465568344
5,0.8375,1.0,0.9795918367346939,0.9803921568627451,1.0,0.9813084112149533,0.9805825242718447,623.0843116025453,680.1337244960652,502.38616989620846,542.4935164941088,658.1022497352523,685.7988184348382
6,0.8166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,981.2380289165778,980.8603182371428,768.0786811912767,776.836468460392,1030.2342822966273,1080.313420256357
7,0.81875,1.0,1.0,1.0,1.0,0.989010989010989,0.979381443298969,885.6811911655295,792.7210675993199,692.612937647857,628.8185598929601,883.8272902251236,831.2759236222394
8,0.8541666666666666,1.0,0.9818181818181818,1.0,1.0,0.9901960784313726,1.0,713.51803073538,665.1280978602833,566.8437251813126,556.8283607194904,658.3898647652061,660.1555956253853
9,0.88125,1.0,1.0,1.0,1.0,1.0,0.990990990990991,625.3055671131887,625.017880682451,544.071469109204,588.9552673957659,586.0153402987129,614.0643504045605
10,0.75625,1.0,1.0,1.0,1.0,1.0,1.0,601.9708283115999,615.13531230778,620.2378326115813,644.2401951852728,584.4622700380679,599.0346197586784
11,0.8229166666666666,1.0,0.9791666666666666,1.0,1.0,0.9891304347826086,0.9787234042553191,670.8441881863773,687.8949452186307,540.4091933483999,506.59600714798125,650.6042607264269,691.4685587636407
12,0.825,0.9791666666666666,1.0,0.9777777777777777,0.98,1.0,0.9702970297029703,567.8673996190868,556.7792096397501,534.3496337432381,549.1406978990434,548.8329774481501,569.4656716335959
13,0.8645833333333334,0.9821428571428571,1.0,1.0,1.0,1.0,0.9574468085106383,584.492767555717,660.3904490377636,554.5528766194287,614.8161517755849,595.7428288026728,667.1031762496931
14,0.7375,1.0,0.972972972972973,1.0,1.0,0.9777777777777777,0.9887640449438202,605.4664477594147,652.499686143889,644.5225874527019,660.882389194689,587.0306096442092,659.2804711197978
15,0.7541666666666667,0.9555555555555556,1.0,1.0,1.0,1.0,1.0,755.8860123115,734.9168940481363,614.4688190870216,629.9081629671397,773.8626056985391,760.2671899605174
