"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","100","23","1735.79860345","1","1","0","0","3","right","in","Female","Right-handed","2","3","yes","right","s","1495.49065289","1976.10655401","32","red","1"
"100","100","23","1411.38106613","1","1","0","1","0","right","out","Female","Right-handed","2","3","yes","right","s","1115.96302464","1057.96403299","32","green","1"
"100","100","23","1370.45232664","1","1","0","2","3","left","out","Female","Right-handed","2","3","yes","left","d","1183.59264752","1393.59704782","32","red","0"
"100","100","23","1347.38758544","1","1","0","3","2","right","out","Female","Right-handed","2","3","yes","right","s","1530.20332473","1026.18339893","32","red","1"
"100","100","23","1305.22240767","1","1","0","4","2","left","out","Female","Right-handed","2","3","yes","left","s","1255.40929221","1017.71410098","32","red","2"
"100","100","23","1258.0354684","1","1","0","5","0","left","in","Female","Right-handed","2","3","yes","left","d","827.224654005","1216.97689008","32","green","0"
"100","100","23","1223.20938325","1","1","0","6","2","right","in","Female","Right-handed","2","3","yes","right","d","858.721449355","1169.78429541","32","green","0"
"100","100","23","1197.47408408","1","1","0","7","1","right","in","Female","Right-handed","2","3","yes","right","s","977.373725453","1057.28025432","32","red","0"
"100","100","23","1189.62827357","1","1","0","8","1","right","out","Female","Right-handed","2","3","yes","right","d","1139.83594444","1113.88763451","32","green","2"
"100","90","23","1163.95570769","1","0","0","9","0","left","in","Female","Right-handed","2","3","yes","left","d","832.447606903","1033.35762266","32","red","1"
"100","90","23","1154.60240889","1","1","0","10","2","left","out","Female","Right-handed","2","3","yes","left","d","1008.07930037","1114.05954134","32","red","2"
"100","83","23","1157.51662354","1","0","0","11","2","right","in","Female","Right-handed","2","3","yes","right","d","1569.57127206","809.574697367","32","green","1"
"100","84","23","1165.6005425","1","1","0","12","2","right","out","Female","Right-handed","2","3","yes","right","s","1644.12014492","881.094995202","32","green","0"
"100","85","23","1162.85501143","1","1","0","13","1","right","out","Female","Right-handed","2","3","yes","right","d","1020.68622898","1233.63998604","32","red","3"
"100","86","23","1161.77574626","1","1","0","14","0","left","in","Female","Right-handed","2","3","yes","left","d","1236.24392553","1057.08814202","32","red","3"
"100","87","23","1145.24168866","1","1","0","15","1","right","out","Female","Right-handed","2","3","yes","right","d","1000.80052136","793.661128017","32","green","0"
"100","88","23","1131.45360923","1","1","0","16","3","right","out","Female","Right-handed","2","3","yes","right","d","892.394662163","929.294014564","32","green","3"
"100","88","23","1129.27942529","1","1","0","17","3","left","in","Female","Right-handed","2","3","yes","left","d","1390.76924458","793.867352069","32","green","1"
"100","89","23","1124.47464941","1","1","0","18","0","right","out","Female","Right-handed","2","3","yes","right","d","1122.51023744","953.467129875","32","red","2"
"100","85","23","1108.87649424","1","0","0","19","3","left","out","Female","Right-handed","2","3","yes","left","s","744.011805125","881.011286838","32","red","2"
"100","85","23","1096.03031602","1","1","0","20","3","left","in","Female","Right-handed","2","3","yes","left","d","740.653848918","937.559654236","32","red","2"
"100","86","23","1079.80775387","1","1","0","21","3","right","out","Female","Right-handed","2","3","yes","right","s","1021.12465554","457.143242009","32","green","3"
"100","100","23","1263.35934172","1","1","1","22","1","left","out","Female","Right-handed","2","3","no","left","s","932.86845792","1593.85022553","32","red","3"
"100","100","23","1009.08941336","1","1","1","23","3","left","out","Female","Right-handed","2","3","no","left","s","756.322066167","753.316903831","32","red","2"
"100","100","23","1014.50741851","1","1","1","24","2","right","out","Female","Right-handed","2","3","no","right","s","1328.84173282","721.845124774","32","red","1"
"100","100","23","938.264199633","1","1","1","25","2","right","out","Female","Right-handed","2","3","no","right","s","913.470888732","505.598197287","32","red","2"
"100","80","23","937.92550148","1","0","1","26","1","right","in","Female","Right-handed","2","3","no","right","d","992.108642551","881.032775191","32","green","2"
"100","66","23","1037.95519496","1","0","1","27","3","right","in","Female","Right-handed","2","3","no","right","s","1218.58530941","1857.62201536","32","red","1"
"100","57","23","990.614972865","1","0","1","28","1","right","in","Female","Right-handed","2","3","no","right","s","876.04651491","537.100765627","32","red","0"
"100","62","23","959.805332351","1","1","1","29","2","right","in","Female","Right-handed","2","3","no","right","s","1046.62940736","441.646290148","32","green","2"
"100","66","23","991.519262973","1","1","1","30","2","left","in","Female","Right-handed","2","3","no","left","d","1553.25647986","937.204936035","32","red","0"
"100","70","23","1044.25473578","1","1","1","31","1","left","in","Female","Right-handed","2","3","no","left","d","1227.92953616","1809.81844586","32","green","1"
"100","72","23","1024.21561094","1","1","1","32","2","left","in","Female","Right-handed","2","3","no","left","s","1086.36361887","561.285106198","32","red","0"
"100","66","23","1013.56404235","1","0","1","33","1","right","in","Female","Right-handed","2","3","no","right","s","870.988412966","921.805162849","32","red","0"
"100","69","23","997.86242687","1","1","1","34","3","right","in","Female","Right-handed","2","3","no","right","s","913.476341002","705.409741217","32","red","0"
"100","71","23","973.310582405","1","1","1","35","1","left","out","Female","Right-handed","2","3","no","left","s","803.08072437","505.192484337","32","red","0"
"100","73","23","994.595133754","1","1","1","36","1","left","out","Female","Right-handed","2","3","no","left","d","1743.63271207","841.5249932","32","red","1"
"100","75","23","983.791005873","1","1","1","37","3","right","in","Female","Right-handed","2","3","no","right","s","986.19485511","657.263320214","32","red","3"
"100","76","23","973.463665703","1","1","1","38","3","left","in","Female","Right-handed","2","3","no","left","s","878.810494527","737.641951424","32","green","2"
"100","77","23","976.76326733","1","1","1","39","3","left","in","Female","Right-handed","2","3","no","left","d","1120.31425595","945.398734046","32","green","1"
"100","78","23","986.534026749","1","1","1","40","2","left","in","Female","Right-handed","2","3","no","left","d","1387.94785578","936.867536806","32","red","0"
"100","80","23","979.084487076","1","1","1","41","3","left","in","Female","Right-handed","2","3","no","left","d","1017.49440661","657.592059957","32","red","0"
"100","80","23","974.489948643","1","1","1","42","1","left","in","Female","Right-handed","2","3","no","left","d","1028.15263018","737.045729784","32","green","1"
"100","81","23","992.520471083","1","1","1","43","0","left","out","Female","Right-handed","2","3","no","left","d","1836.72122357","905.601661083","32","green","2"
"100","82","23","984.939292402","1","1","1","44","3","right","out","Female","Right-handed","2","3","no","right","d","947.120688859","689.186033982","32","green","2"
"100","83","23","984.53751904","1","1","1","45","3","left","out","Female","Right-handed","2","3","no","left","s","924.800703535","1025.7927599","32","green","2"
"100","84","23","978.450118795","1","1","1","46","0","right","in","Female","Right-handed","2","3","no","right","d","1007.36505314","657.3399727","32","green","3"
"100","84","23","964.490877491","1","1","1","47","0","right","out","Female","Right-handed","2","3","no","right","s","581.940225173","649.079464574","32","red","0"
"100","81","23","972.472486117","1","0","1","48","0","left","out","Female","Right-handed","2","3","no","left","s","1398.49126097","961.497359818","32","red","0"
"100","78","23","973.709898104","1","0","1","49","0","left","in","Female","Right-handed","2","3","no","left","s","917.126795399","1097.11324812","32","green","1"
"100","79","23","985.32818766","1","1","1","50","2","left","out","Female","Right-handed","2","3","no","left","d","683.562178958","1937.71841148","32","green","2"
"100","80","23","977.673215376","1","1","1","51","1","left","in","Female","Right-handed","2","3","no","left","d","798.204792351","713.153245961","32","green","0"
"100","80","23","971.112275687","1","1","1","52","0","left","in","Female","Right-handed","2","3","no","left","s","835.723137632","712.845032405","32","red","0"
"100","78","23","968.525088896","1","0","1","53","2","right","in","Female","Right-handed","2","3","no","right","d","711.309416904","1065.33517983","32","red","3"
