"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","100","18","1843.44622596","1","1","0","0","1","left","in","Female","Right-handed","1","3","yes","left","d","2206.78875944","1480.10369248","17","red","2"
"100","100","18","1428.33666767","1","1","0","1","1","left","in","Female","Right-handed","1","3","yes","left","d","1201.12242653","825.331792207","17","red","3"
"100","100","18","1466.8045299","1","1","0","2","2","right","in","Female","Right-handed","1","3","yes","right","s","1621.79633144","1465.68417731","17","red","1"
"100","100","18","1524.78154728","1","1","0","3","2","right","out","Female","Right-handed","1","3","yes","right","s","988.192680976","2409.23251785","17","red","0"
"100","100","18","1553.03601656","1","1","0","4","1","left","out","Female","Right-handed","1","3","yes","left","s","1914.61694525","1417.49084208","17","green","1"
"100","100","18","1516.5398466","1","1","0","5","2","right","in","Female","Right-handed","1","3","yes","right","d","1499.08982042","1169.02817323","17","red","2"
"100","100","18","1452.56858395","1","1","0","6","2","left","in","Female","Right-handed","1","3","yes","left","d","1039.82885545","1097.65316064","17","green","3"
"100","87","18","1451.89662438","1","0","0","7","1","left","in","Female","Right-handed","1","3","yes","left","d","1421.1565759","1473.22923889","17","red","0"
"100","88","18","1402.31984613","1","1","0","8","1","right","in","Female","Right-handed","1","3","yes","right","s","1009.76919667","1001.6420435","17","green","3"
"100","80","18","1448.76601393","1","0","0","9","0","left","out","Female","Right-handed","1","3","yes","left","d","1316.33390698","2417.2291414","17","red","3"
"100","81","18","1426.40817038","1","1","0","10","3","left","out","Female","Right-handed","1","3","yes","left","s","1699.862992","705.796477688","17","green","2"
"100","83","18","1441.15001895","1","1","0","11","3","right","out","Female","Right-handed","1","3","yes","right","d","1253.3794987","1953.24120785","17","green","3"
"100","84","18","1407.89181992","1","1","0","12","3","left","in","Female","Right-handed","1","3","yes","left","d","855.696768446","1161.89009469","17","red","3"
"100","85","18","1390.99395724","1","1","0","13","0","right","out","Female","Right-handed","1","3","yes","right","s","1301.40029108","1041.2431937","17","red","0"
"100","80","18","1389.11970861","1","0","0","14","0","left","out","Female","Right-handed","1","3","yes","left","s","1091.93102391","1633.82943145","17","red","0"
"100","75","18","1376.88320861","1","0","0","15","3","left","out","Female","Right-handed","1","3","yes","left","d","1041.33652078","1345.3348967","17","green","1"
"100","70","18","1370.38524748","1","0","0","16","0","right","out","Female","Right-handed","1","3","yes","right","s","1275.94573046","1256.8900081","17","red","1"
"100","72","18","1358.41521814","1","1","0","17","1","right","out","Female","Right-handed","1","3","yes","right","d","788.479140596","1521.37029813","17","red","0"
"100","68","18","1349.39269204","1","0","0","18","2","right","out","Female","Right-handed","1","3","yes","right","s","995.993349724","1377.98109469","17","red","2"
"100","70","18","1351.05328912","1","1","0","19","0","left","in","Female","Right-handed","1","3","yes","left","d","1435.63221561","1329.57705193","17","green","1"
"100","71","18","1378.28257125","1","1","0","20","3","left","in","Female","Right-handed","1","3","yes","left","s","1996.91699919","1848.81942845","17","red","2"
"100","72","18","1361.85840401","1","1","0","21","2","right","in","Female","Right-handed","1","3","yes","right","s","1024.47799373","1009.42379026","17","green","3"
"0","0","18","3000.19146484","0","0","1","22","3","right","out","Female","Right-handed","1","3","no","None","None","3000.29152686","3000.09140281","17","green","0"
"0","0","18","3000.13614208","0","0","1","23","3","left","in","Female","Right-handed","1","3","no","None","None","3000.08017791","3000.08146075","17","red","0"
"33","33","18","2614.05488744","1","1","1","24","2","right","out","Female","Right-handed","1","3","no","right","d","849.867834741","2833.91692158","17","green","2"
"50","50","18","2294.02163873","1","1","1","25","2","right","in","Female","Right-handed","1","3","no","right","s","1618.37979055","1049.46399467","17","red","1"
"60","40","18","2133.57837839","1","0","1","26","1","left","out","Female","Right-handed","1","3","no","left","d","1453.87942398","1529.73125008","17","green","1"
"66","50","18","1979.37674614","1","1","1","27","1","left","out","Female","Right-handed","1","3","no","left","s","967.423075715","1449.31409406","17","green","1"
"71","57","18","1835.81968072","1","1","1","28","3","left","in","Female","Right-handed","1","3","no","left","d","899.01336277","1049.94121356","17","red","1"
"75","62","18","1731.2187667","1","1","1","29","1","left","in","Female","Right-handed","1","3","no","left","d","780.425751091","1217.59898604","17","red","1"
"77","66","18","1671.0783579","1","1","1","30","0","left","out","Female","Right-handed","1","3","no","left","s","1499.03594087","880.874234221","17","green","2"
"80","70","18","1587.23566146","1","1","1","31","2","right","in","Female","Right-handed","1","3","no","right","s","751.669785052","913.633001996","17","red","2"
"81","72","18","1536.00148297","1","1","1","32","1","left","out","Female","Right-handed","1","3","no","left","s","1054.05209511","993.267300949","17","red","1"
"83","75","18","1501.98894657","1","1","1","33","2","right","out","Female","Right-handed","1","3","no","right","d","1205.72656256","1049.9755297","17","red","1"
"84","76","18","1479.62572115","1","1","1","34","3","left","in","Female","Right-handed","1","3","no","left","d","1349.30242015","1073.23161216","17","red","3"
"85","78","18","1447.35936818","1","1","1","35","1","left","in","Female","Right-handed","1","3","no","left","d","1109.8588035","945.934755711","17","green","0"
"86","80","18","1405.39073473","1","1","1","36","2","left","in","Female","Right-handed","1","3","no","left","d","786.308243635","849.351489032","17","green","0"
"87","81","18","1381.5548845","1","1","1","37","3","left","in","Female","Right-handed","1","3","no","left","s","1151.04875907","896.985503193","17","green","2"
"88","82","18","1353.20287715","1","1","1","38","1","left","out","Female","Right-handed","1","3","no","left","d","861.552321215","937.58919792","17","red","0"
"88","77","18","1343.916701","1","0","1","39","3","right","in","Female","Right-handed","1","3","no","right","s","1323.07526525","1049.02814758","17","green","2"
"89","78","18","1334.89799531","1","1","1","40","2","right","in","Female","Right-handed","1","3","no","right","d","1223.56261862","1121.55996698","17","red","1"
"90","75","18","1308.11262494","1","0","1","41","0","left","out","Female","Right-handed","1","3","no","left","d","725.128012044","873.253163981","17","red","0"
"90","71","18","1324.5242098","1","0","1","42","0","left","out","Female","Right-handed","1","3","no","left","d","1071.78199563","2233.72981842","17","green","0"
"90","72","18","1312.0595937","1","1","1","43","3","right","in","Female","Right-handed","1","3","no","right","d","787.333558687","1313.27175243","17","red","0"
"91","73","18","1302.91793333","1","1","1","44","2","right","out","Female","Right-handed","1","3","no","right","d","754.775556386","1448.82725382","17","red","2"
"91","75","18","1294.55993983","1","1","1","45","3","left","in","Female","Right-handed","1","3","no","left","d","779.344311506","1425.30786712","17","red","3"
"92","76","18","1287.7543195","1","1","1","46","0","right","out","Female","Right-handed","1","3","no","right","s","1447.95491821","800.883945369","17","green","2"
"92","76","18","1314.29984287","1","1","1","47","2","left","in","Female","Right-handed","1","3","no","left","s","1954.45445991","2001.4213939","17","green","1"
"92","77","18","1307.21111645","1","1","1","48","3","right","in","Female","Right-handed","1","3","no","right","d","1236.89427998","1008.91417949","17","green","0"
"92","78","18","1305.39600852","1","1","1","49","0","left","out","Female","Right-handed","1","3","no","left","s","1631.40164448","881.374544349","17","green","2"
"93","79","18","1307.19307837","1","1","1","50","0","right","out","Female","Right-handed","1","3","no","right","s","1314.13927736","1400.88279081","17","red","1"
"93","80","18","1306.6537452","1","1","1","51","3","left","in","Female","Right-handed","1","3","no","left","d","1333.49133726","1248.53482896","17","green","2"
"93","80","18","1293.60322258","1","1","1","52","1","left","out","Female","Right-handed","1","3","no","left","s","723.059742802","1081.11534522","17","red","0"
"93","81","18","1280.85673239","1","1","1","53","1","left","in","Female","Right-handed","1","3","no","left","s","649.646287154","1121.78478583","17","red","1"
"93","78","18","1289.54490904","1","0","1","54","0","right","out","Female","Right-handed","1","3","no","right","s","1342.10565139","1793.0274728","17","red","1"
"94","79","18","1282.87231384","1","1","1","55","0","right","out","Female","Right-handed","1","3","no","right","d","1204.71375526","920.63958877","17","green","1"
"94","80","18","1277.42458672","1","1","1","56","1","left","out","Female","Right-handed","1","3","no","left","s","1215.17504761","969.228682138","17","green","2"
"94","80","18","1271.40734032","1","1","1","57","0","right","out","Female","Right-handed","1","3","no","right","d","1224.92436016","896.683072136","17","green","1"
"94","81","18","1272.97391691","1","1","1","58","2","right","out","Female","Right-handed","1","3","no","right","d","833.511221379","1825.23012662","17","green","1"
"94","81","18","1276.89224751","1","1","1","59","3","right","out","Female","Right-handed","1","3","no","right","s","1714.89346281","1128.84749713","17","red","2"
"94","82","18","1274.46737735","1","1","1","60","2","left","in","Female","Right-handed","1","3","no","left","d","1291.3328326","1073.31179006","17","red","3"
"95","82","18","1273.37897113","1","1","1","61","0","right","out","Female","Right-handed","1","3","no","right","s","844.931120765","1616.93113616","17","green","3"
"95","80","18","1287.56208136","1","0","1","62","2","right","out","Female","Right-handed","1","3","no","right","s","908.512840972","2801.2601401","17","red","3"
"95","78","18","1287.34401236","1","0","1","63","3","left","out","Female","Right-handed","1","3","no","left","s","1139.8058925","1417.00047401","17","red","1"
"95","79","18","1283.0322602","1","1","1","64","0","left","in","Female","Right-handed","1","3","no","left","d","1235.54825331","968.329086042","17","green","1"
"95","79","18","1275.96314729","1","1","1","65","1","left","out","Female","Right-handed","1","3","no","left","d","926.969153314","1017.01343076","17","red","3"
"95","80","18","1274.03378676","1","1","1","66","1","right","in","Female","Right-handed","1","3","no","right","s","977.740047837","1400.54379862","17","green","0"
"95","80","18","1278.67457152","1","1","1","67","2","left","out","Female","Right-handed","1","3","no","left","d","1893.98877381","1081.03099806","17","red","0"
"95","80","18","1268.58815552","1","1","1","68","0","right","in","Female","Right-handed","1","3","no","right","s","712.629880189","896.596159286","17","green","3"
"95","81","18","1257.2782529","1","1","1","69","0","right","in","Female","Right-handed","1","3","no","right","s","650.244414325","801.181245041","17","red","0"
"95","81","18","1254.03440165","1","1","1","70","1","left","in","Female","Right-handed","1","3","no","left","d","1259.79469325","936.864389657","17","green","2"
"96","82","18","1251.94899338","1","1","1","71","0","right","in","Female","Right-handed","1","3","no","right","s","1426.19976614","873.328210499","17","green","2"
"96","82","18","1242.58595226","1","1","1","72","0","right","in","Female","Right-handed","1","3","no","right","d","620.01830622","928.849485546","17","red","0"
"96","80","18","1243.62193091","1","0","1","73","3","left","out","Female","Right-handed","1","3","no","left","d","1488.430649","1104.48303532","17","red","1"
"96","81","18","1243.01510967","1","1","1","74","3","right","in","Female","Right-handed","1","3","no","right","d","1189.99854397","1232.92226656","17","green","1"
"96","79","18","1262.99323933","1","0","1","75","0","right","out","Female","Right-handed","1","3","no","right","None","1643.53320295","3000.13501959","17","red","1"
"96","80","18","1252.31030739","1","1","1","76","1","right","out","Female","Right-handed","1","3","no","right","s","789.95826259","560.905702445","17","red","2"
"96","80","18","1242.69956979","1","1","1","77","2","right","in","Female","Right-handed","1","3","no","right","s","731.642947904","696.575056461","17","green","0"
"96","78","18","1244.31149579","1","0","1","78","1","right","in","Female","Right-handed","1","3","no","right","s","1420.06487355","1249.09382932","17","red","2"
"96","79","18","1238.30920435","1","1","1","79","2","left","in","Female","Right-handed","1","3","no","left","s","967.606202049","824.750983463","17","red","0"
"96","79","18","1236.68849455","1","1","1","80","2","left","in","Female","Right-handed","1","3","no","left","s","1484.11354987","801.261102234","17","green","2"
"96","80","18","1230.54742641","1","1","1","81","1","right","out","Female","Right-handed","1","3","no","right","s","903.717560822","832.731250718","17","green","1"
"96","80","18","1238.00276449","1","1","1","82","2","left","out","Female","Right-handed","1","3","no","left","s","930.360357991","2440.28574123","17","green","1"
"96","80","18","1234.29711072","1","1","1","83","3","right","in","Female","Right-handed","1","3","no","right","s","1007.7442235","1008.76023792","17","green","1"
"96","80","18","1230.94104507","1","1","1","84","1","left","out","Female","Right-handed","1","3","no","left","d","1181.30565549","864.424293777","17","green","3"
"96","81","18","1229.80830956","1","1","1","85","3","right","in","Female","Right-handed","1","3","no","right","d","1083.94787025","1232.94407495","17","red","1"
"100","100","18","1283.57754454","1","1","2","86","0","left","in","Female","Right-handed","1","3","no","left","s","941.646520632","1625.50856845","17","green","3"
"100","50","18","1105.10208892","1","0","2","87","1","right","out","Female","Right-handed","1","3","no","right","d","1204.0858019","649.167464704","17","green","2"
"100","33","18","1011.62355127","1","0","2","88","1","right","in","Female","Right-handed","1","3","no","right","d","887.680376233","761.652575667","17","red","1"
"100","50","18","948.405117146","1","1","2","89","3","right","in","Female","Right-handed","1","3","no","right","d","860.173902669","657.325726909","17","green","1"
"100","60","18","936.478220794","1","1","2","90","3","left","out","Female","Right-handed","1","3","no","left","s","1096.81802758","680.723243189","17","green","2"
"100","66","18","906.130728685","1","1","2","91","2","left","in","Female","Right-handed","1","3","no","left","d","763.379287032","745.407249237","17","red","0"
"100","71","18","905.249256613","1","1","2","92","1","left","in","Female","Right-handed","1","3","no","left","s","870.912931285","929.007917087","17","red","1"
"100","75","18","908.479266475","1","1","2","93","1","left","in","Female","Right-handed","1","3","no","left","d","1140.62723496","721.55143605","17","red","3"
"100","77","18","938.32508855","1","1","2","94","2","right","in","Female","Right-handed","1","3","no","right","d","1065.13364374","1289.04968657","17","green","1"
"100","80","18","917.063638165","1","1","2","95","0","right","out","Female","Right-handed","1","3","no","right","s","657.67434044","793.746828964","17","red","1"
"100","81","18","901.182524972","1","1","2","96","0","left","in","Female","Right-handed","1","3","no","left","s","723.392000041","761.350786032","17","red","3"
"100","83","18","904.12562627","1","1","2","97","2","left","out","Female","Right-handed","1","3","no","left","d","960.079741738","912.919739351","17","red","1"
"100","84","18","939.490462752","1","1","2","98","2","left","in","Female","Right-handed","1","3","no","left","d","1262.43094277","1465.30605831","17","green","2"
"100","85","18","934.060316326","1","1","2","99","1","right","out","Female","Right-handed","1","3","no","right","d","910.033334765","816.903490818","17","red","2"
"100","86","18","925.927407138","1","1","2","100","1","left","in","Female","Right-handed","1","3","no","left","d","815.614871526","808.518485497","17","green","0"
"100","87","18","931.002412633","1","1","2","101","2","right","out","Female","Right-handed","1","3","no","right","d","941.104517993","1073.15047212","17","red","1"
"100","88","18","933.277673517","1","1","2","102","3","left","in","Female","Right-handed","1","3","no","left","d","706.70697798","1232.65671734","17","green","1"
"100","83","18","928.942429556","1","0","2","103","1","right","out","Female","Right-handed","1","3","no","right","d","749.291708385","961.194856041","17","green","3"
"100","84","18","910.800654198","1","1","2","104","3","left","out","Female","Right-handed","1","3","no","left","s","743.797597614","424.699797888","17","green","1"
"100","80","18","905.659822467","1","0","2","105","0","right","in","Female","Right-handed","1","3","no","right","d","774.472060566","841.495978597","17","green","0"
"100","76","18","889.509112074","1","0","2","106","0","right","in","Female","Right-handed","1","3","no","right","s","531.975269286","601.014539141","17","red","1"
"100","77","18","906.445103821","1","1","2","107","3","left","in","Female","Right-handed","1","3","no","left","s","1283.61683172","1240.58502931","17","red","3"
"100","78","18","903.346420784","1","1","2","108","3","left","in","Female","Right-handed","1","3","no","left","s","877.124153241","793.226634715","17","green","2"
"100","75","18","899.282018886","1","0","2","109","1","left","in","Female","Right-handed","1","3","no","left","s","978.80930038","632.792250068","17","red","0"
"100","72","18","906.141210609","1","0","2","110","3","right","out","Female","Right-handed","1","3","no","right","s","1156.22825174","985.295372195","17","green","2"
"100","73","18","893.457644529","1","1","2","111","0","right","in","Female","Right-handed","1","3","no","right","d","583.935041785","568.801943257","17","green","0"
"100","74","18","884.293168574","1","1","2","112","0","right","out","Female","Right-handed","1","3","no","right","s","579.484205915","712.549381572","17","green","0"
"100","75","18","875.68028089","1","1","2","113","3","right","out","Female","Right-handed","1","3","no","right","s","445.033556057","841.231070798","17","green","0"
"100","75","18","869.200087932","1","1","2","114","0","left","in","Female","Right-handed","1","3","no","left","d","878.748878311","496.76049192","17","green","1"
