"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","18","1922.34607828","1","0","0","0","1","right","out","Female","Right-handed","1","2","yes","right","d","2029.10444554","1815.58771102","4","green","3"
"50","0","18","2021.07714254","0","0","0","1","3","left","out","Female","Right-handed","1","2","yes","None","s","3000.12604048","1239.49037314","4","green","0"
"66","0","18","2018.67943364","1","0","0","2","0","left","out","Female","Right-handed","1","2","yes","left","d","2601.94782245","1425.8202092","4","green","3"
"75","0","18","1969.95582329","1","0","0","3","2","right","out","Female","Right-handed","1","2","yes","right","s","2502.36622551","1145.20375902","4","green","0"
"80","0","18","1948.4018196","1","0","0","4","2","right","in","Female","Right-handed","1","2","yes","right","s","2258.79220512","1465.57940454","4","red","0"
"83","0","18","1905.95867839","1","0","0","5","1","left","in","Female","Right-handed","1","2","yes","left","d","2282.25914563","1105.22679909","4","red","2"
"71","14","18","1942.57793411","0","1","0","6","0","left","out","Female","Right-handed","1","2","yes","None","d","3000.13053047","1324.45640635","4","green","2"
"75","12","18","1918.63818719","1","0","0","7","3","right","in","Female","Right-handed","1","2","yes","right","d","2196.09428469","1306.02563272","4","green","2"
"77","22","18","1875.28047302","1","1","0","8","3","left","in","Female","Right-handed","1","2","yes","left","s","1775.507802","1281.32971739","4","green","3"
"80","30","18","1826.25209827","1","1","0","9","3","right","out","Female","Right-handed","1","2","yes","right","s","1704.9459822","1065.04746883","4","red","1"
"81","36","18","1766.96174463","1","1","0","10","2","right","out","Female","Right-handed","1","2","yes","right","d","1338.59763454","1009.51878196","4","green","2"
"83","41","18","1726.17710739","1","1","0","11","2","left","in","Female","Right-handed","1","2","yes","left","d","1514.06810547","1041.02409009","4","green","1"
"84","46","18","1699.01128661","1","1","0","12","1","left","in","Female","Right-handed","1","2","yes","left","d","1672.51990509","1073.52296919","4","green","3"
