"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","19","2090.82445141","1","0","0","0","3","left","out","Female","Right-handed","1","0","yes","left","None","1181.55300915","3000.09589367","27","red","0"
"100","50","19","1812.87473497","1","1","0","1","1","left","in","Female","Right-handed","1","0","yes","left","d","860.029242758","2209.8207943","27","green","3"
"100","66","19","1527.03741702","1","1","0","2","1","right","out","Female","Right-handed","1","0","yes","right","s","885.423745774","1025.3018165","27","green","0"
"100","75","19","1402.14536421","1","1","0","3","1","right","in","Female","Right-handed","1","0","yes","right","s","1005.94155874","1048.99685283","27","green","1"
"100","80","19","1301.52409994","1","1","0","4","1","left","out","Female","Right-handed","1","0","yes","left","s","868.568269075","929.509816593","27","green","3"
"100","66","19","1227.1401045","1","0","0","5","2","right","in","Female","Right-handed","1","0","yes","right","s","845.112485837","865.327768721","27","red","0"
"100","71","19","1230.73649497","1","1","0","6","3","left","in","Female","Right-handed","1","0","yes","left","d","814.888662322","1689.74101334","27","red","0"
"100","75","19","1270.67604955","1","1","0","7","3","right","out","Female","Right-handed","1","0","yes","right","d","1107.22002337","1993.28583978","27","red","1"
"100","77","19","1298.2397971","1","1","0","8","2","left","in","Female","Right-handed","1","0","yes","left","d","1483.8175429","1553.68201211","27","red","1"
"100","80","19","1257.34495774","1","1","0","9","1","left","out","Female","Right-handed","1","0","yes","left","s","961.369926014","817.212881053","27","green","2"
"100","81","19","1205.80302753","1","1","0","10","2","right","in","Female","Right-handed","1","0","yes","right","s","578.826037023","801.94141378","27","red","3"
"100","83","19","1202.18931013","1","1","0","11","0","right","in","Female","Right-handed","1","0","yes","right","d","1011.39659343","1313.48024414","27","green","2"
"100","84","19","1190.63759568","1","1","0","12","2","right","in","Female","Right-handed","1","0","yes","right","d","726.035964294","1377.9980802","27","green","2"
"100","78","19","1194.73386392","1","0","0","13","3","right","in","Female","Right-handed","1","0","yes","right","s","598.650048091","1897.32065399","27","green","2"
"100","73","19","1183.23030377","1","0","0","14","3","right","in","Female","Right-handed","1","0","yes","right","d","803.168467853","1241.19245538","27","red","1"
"100","75","19","1159.16152735","1","1","0","15","3","left","in","Female","Right-handed","1","0","yes","left","d","642.54240729","953.717354861","27","red","3"
"100","76","19","1141.48970877","1","1","0","16","1","right","out","Female","Right-handed","1","0","yes","right","s","692.153749298","1025.32747366","27","red","2"
"100","77","19","1129.67420599","1","1","0","17","2","left","in","Female","Right-handed","1","0","yes","left","d","1039.79041942","817.830898094","27","green","1"
"100","78","19","1115.84057027","1","1","0","18","0","left","out","Female","Right-handed","1","0","yes","left","d","764.376112279","969.294142436","27","red","0"
"100","75","19","1097.39734487","1","0","0","19","0","right","in","Female","Right-handed","1","0","yes","right","s","908.953614085","584.998510281","27","green","3"
"100","76","19","1131.47442415","1","1","0","20","2","left","in","Female","Right-handed","1","0","yes","left","d","2008.58296422","1617.44905529","27","green","2"
"100","77","19","1113.27376662","1","1","0","21","2","right","out","Female","Right-handed","1","0","yes","right","d","549.081040411","913.038876703","27","green","3"
"100","100","19","1161.9655251","1","1","1","22","1","left","out","Female","Right-handed","1","0","no","left","s","1426.49558039","897.435469817","27","red","1"
"100","100","19","988.801768549","1","1","1","23","3","right","in","Female","Right-handed","1","0","no","right","s","774.065541877","857.210482108","27","green","1"
"100","100","19","974.942888747","1","1","1","24","2","left","in","Female","Right-handed","1","0","no","left","s","780.671300565","1113.77895772","27","green","1"
"100","100","19","938.409927464","1","1","1","25","3","left","in","Female","Right-handed","1","0","no","left","s","872.23948914","785.38259809","27","red","1"
"100","100","19","893.694013253","1","1","1","26","2","right","out","Female","Right-handed","1","0","no","right","d","619.82843693","809.832275884","27","red","3"
"100","100","19","926.161796669","1","1","1","27","0","left","in","Female","Right-handed","1","0","no","left","d","1023.52152973","1153.47989777","27","green","1"
"100","100","19","908.653814655","1","1","1","28","3","left","in","Female","Right-handed","1","0","no","left","s","910.1508417","697.061003445","27","green","2"
"100","100","19","936.830628533","1","1","1","29","3","right","in","Female","Right-handed","1","0","no","right","s","994.578961058","1273.5576903","27","green","1"
"100","100","19","942.963348771","1","1","1","30","1","left","out","Female","Right-handed","1","0","no","left","s","1151.00750889","833.042712451","27","green","0"
"100","100","19","949.29680116","1","1","1","31","0","right","in","Female","Right-handed","1","0","no","right","d","938.779110062","1073.81663527","27","red","0"
"100","100","19","954.655678323","1","1","1","32","3","left","in","Female","Right-handed","1","0","no","left","s","1103.25406658","913.234833326","27","green","1"
"100","100","19","954.212752019","1","1","1","33","2","right","in","Female","Right-handed","1","0","no","right","d","865.884849987","1032.79627535","27","red","2"
"100","100","19","947.918168731","1","1","1","34","1","left","in","Female","Right-handed","1","0","no","left","s","919.382932274","825.383406291","27","red","1"
"100","100","19","970.817960604","1","1","1","35","1","right","out","Female","Right-handed","1","0","no","right","s","1040.00690178","1497.02360812","27","green","2"
"100","100","19","982.236697854","1","1","1","36","2","right","out","Female","Right-handed","1","0","no","right","d","994.614881093","1289.58315761","27","red","1"
"100","100","19","964.392139991","1","1","1","37","3","right","in","Female","Right-handed","1","0","no","right","s","592.173216674","801.274327405","27","green","3"
"100","100","19","974.413643622","1","1","1","38","3","left","in","Female","Right-handed","1","0","no","left","d","1155.74286001","1113.77254343","27","red","1"
"100","100","19","966.574589504","1","1","1","39","2","left","out","Female","Right-handed","1","0","no","left","d","841.292454195","825.328884808","27","red","0"
"100","100","19","982.248353861","1","1","1","40","3","left","in","Female","Right-handed","1","0","no","left","d","1719.85579389","808.896430671","27","red","2"
"100","100","19","972.606202236","1","1","1","41","1","right","in","Female","Right-handed","1","0","no","right","d","825.389499868","753.421142854","27","green","1"
"100","100","19","963.935054865","1","1","1","42","3","left","in","Female","Right-handed","1","0","no","left","d","772.063641323","808.960573592","27","red","1"
"100","100","19","987.010898203","1","1","1","43","2","right","in","Female","Right-handed","1","0","no","right","s","1101.58635064","1841.62086595","27","red","3"
"100","100","19","988.211772203","1","1","1","44","0","right","out","Female","Right-handed","1","0","no","right","d","716.07168228","1313.19031814","27","red","3"
"100","100","19","978.151384455","1","1","1","45","0","left","in","Female","Right-handed","1","0","no","left","s","659.763498637","833.761433877","27","green","1"
"100","100","19","984.651670266","1","1","1","46","2","right","out","Female","Right-handed","1","0","no","right","s","784.245985535","1497.07107388","27","red","2"
"100","100","19","980.13760186","1","1","1","47","3","right","out","Female","Right-handed","1","0","no","right","s","845.851732997","888.720050468","27","red","3"
"100","100","19","974.517140111","1","1","1","48","0","left","out","Female","Right-handed","1","0","no","left","s","943.416963943","713.353305301","27","green","3"
"100","100","19","967.662735973","1","1","1","49","0","right","out","Female","Right-handed","1","0","no","right","d","820.116310358","745.071338153","27","green","2"
"100","100","19","972.605681074","1","1","1","50","2","left","in","Female","Right-handed","1","0","no","left","s","1516.50862386","705.507663956","27","red","0"
"100","100","19","986.089720338","1","1","1","51","0","left","out","Female","Right-handed","1","0","no","left","d","1201.08901851","1553.16469946","27","red","1"
"100","100","19","979.338458263","1","1","1","52","1","right","out","Female","Right-handed","1","0","no","right","d","512.741830838","1040.85936119","27","green","3"
"100","100","19","974.177628625","1","1","1","53","0","right","in","Female","Right-handed","1","0","no","right","d","979.154512919","649.229306772","27","red","1"
"100","100","19","963.484334224","1","1","1","54","1","right","out","Female","Right-handed","1","0","no","right","d","449.82179493","792.776031843","27","green","3"
"100","100","19","961.085994546","1","1","1","55","0","right","in","Female","Right-handed","1","0","no","right","s","746.466767393","1017.41480297","27","green","1"
"100","100","19","953.330234008","1","1","1","56","0","right","out","Female","Right-handed","1","0","no","right","s","994.218477844","385.050273618","27","green","2"
"100","97","19","952.823109005","1","0","1","57","0","right","out","Female","Right-handed","1","0","no","right","s","805.514174463","1064.63329332","27","green","1"
"100","97","19","965.79249805","1","1","1","58","1","left","out","Female","Right-handed","1","0","no","left","s","1296.16935271","1569.21165464","27","green","0"
"100","97","19","986.684275699","1","1","1","59","2","left","out","Female","Right-handed","1","0","no","left","d","1038.73623052","2480.62386688","27","red","1"
"100","97","19","981.13222008","1","1","1","60","2","right","in","Female","Right-handed","1","0","no","right","d","603.198743312","937.109469836","27","green","3"
"100","95","19","992.610274509","1","0","1","61","0","right","out","Female","Right-handed","1","0","no","right","d","695.746394286","2184.76240019","27","red","3"
"100","95","19","991.67545353","1","1","1","62","1","right","out","Female","Right-handed","1","0","no","right","s","827.275622451","1081.28960625","27","red","1"
"100","95","19","1002.75045226","1","1","1","63","3","right","out","Female","Right-handed","1","0","no","right","d","1232.83719853","1680.81360163","27","red","2"
"100","95","19","995.079339236","1","1","1","64","3","right","in","Female","Right-handed","1","0","no","right","d","496.446642551","849.338542166","27","red","3"
"100","95","19","987.790876119","1","1","1","65","3","right","in","Female","Right-handed","1","0","no","right","s","475.89653362","872.877390487","27","red","3"
"100","95","19","985.663722257","1","1","1","66","1","left","out","Female","Right-handed","1","0","no","left","s","967.603655762","816.534248952","27","red","1"
"100","95","19","981.826605901","1","1","1","67","1","left","out","Female","Right-handed","1","0","no","left","d","825.185846094","793.126893619","27","green","2"
"100","95","19","980.72660814","1","1","1","68","0","left","out","Female","Right-handed","1","0","no","left","d","843.634312229","1016.61911004","27","red","2"
"100","95","19","975.40555297","1","1","1","69","0","left","in","Female","Right-handed","1","0","no","left","d","585.407100685","865.224819333","27","green","0"
"100","95","19","969.822637559","1","1","1","70","1","left","out","Female","Right-handed","1","0","no","left","s","602.813885787","800.871509863","27","green","2"
"100","96","19","967.275596794","1","1","1","71","1","right","out","Female","Right-handed","1","0","no","right","s","844.424553012","840.51664557","27","green","3"
"100","96","19","982.284159213","1","1","1","72","2","right","in","Female","Right-handed","1","0","no","right","d","992.29258665","2473.13197374","27","red","1"
"100","96","19","982.001474868","1","1","1","73","1","left","out","Female","Right-handed","1","0","no","left","d","1174.65091017","760.518236313","27","red","2"
"100","94","19","980.06939671","1","0","1","74","3","left","out","Female","Right-handed","1","0","no","left","s","854.009108936","905.193556075","27","green","0"
"100","94","19","981.072790111","1","1","1","75","2","right","in","Female","Right-handed","1","0","no","right","d","643.729692752","1424.77558797","27","red","2"
"100","94","19","980.839955628","1","1","1","76","2","left","in","Female","Right-handed","1","0","no","left","d","1232.36414449","704.16964263","27","green","1"
"100","94","19","978.528314793","1","1","1","77","1","left","out","Female","Right-handed","1","0","no","left","s","845.811322957","856.964814721","27","red","1"
