"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","100","21","1430.32767301","1","1","0","0","3","right","in","Female","Right-handed","0","2","yes","right","s","1660.53873343","1200.11661258","1","red","2"
"100","100","21","1407.70399905","1","1","0","1","0","left","in","Female","Right-handed","0","2","yes","left","s","1456.06454359","1314.09610659","1","red","0"
"100","100","21","1192.6827211","1","1","0","2","3","left","out","Female","Right-handed","0","2","yes","left","s","851.610815464","673.669514952","1","red","1"
"100","100","21","1150.33805941","1","1","0","3","1","left","in","Female","Right-handed","0","2","yes","left","s","765.220010026","1281.38813868","1","red","1"
"80","100","21","1120.93012963","0","1","0","4","0","left","out","Female","Right-handed","0","2","yes","right","d","721.851741026","1284.74507997","1","red","1"
"83","100","21","1163.50699285","1","1","0","5","1","right","out","Female","Right-handed","0","2","yes","right","d","1119.38741835","1633.39519958","1","red","0"
"85","100","21","1225.71026026","1","1","0","6","3","right","out","Female","Right-handed","0","2","yes","right","d","1787.97581925","1409.88391019","1","green","1"
"87","100","21","1270.53877513","1","1","0","7","2","right","in","Female","Right-handed","0","2","yes","right","d","1263.37380457","1905.30295377","1","red","0"
"88","88","21","1252.01851048","1","0","0","8","2","right","out","Female","Right-handed","0","2","yes","right","s","1461.87657091","745.836215776","1","red","3"
"90","90","21","1255.29636304","1","1","0","9","0","right","out","Female","Right-handed","0","2","yes","right","s","1208.37250086","1361.22157127","1","red","2"
"90","90","21","1281.25951672","1","1","0","10","1","left","out","Female","Right-handed","0","2","yes","left","s","1527.9711432","1553.81096383","1","red","1"
"91","91","21","1277.31706829","1","1","0","11","3","right","out","Female","Right-handed","0","2","yes","right","d","1306.46401222","1161.43625901","1","green","3"
"92","92","21","1272.40381652","1","1","0","12","2","right","in","Female","Right-handed","0","2","yes","right","d","1288.96442835","1137.92516205","1","green","2"
"92","92","21","1275.12592825","1","1","0","13","0","left","out","Female","Right-handed","0","2","yes","left","d","1691.60142488","929.425336681","1","red","2"
"93","93","21","1252.65604175","1","1","0","14","2","left","in","Female","Right-handed","0","2","yes","left","d","1035.12969942","841.02556208","1","red","1"
"93","93","21","1237.34425999","1","1","0","15","1","left","in","Female","Right-handed","0","2","yes","left","d","1077.68495169","937.650115442","1","green","2"
"94","88","21","1234.54102776","1","0","0","16","3","right","out","Female","Right-handed","0","2","yes","right","s","1042.18161735","1337.19700694","1","red","0"
"94","88","21","1225.9715158","1","1","0","17","2","right","out","Female","Right-handed","0","2","yes","right","s","958.881879093","1201.69774572","1","green","0"
"94","89","21","1227.51244917","1","1","0","18","2","right","in","Female","Right-handed","0","2","yes","right","s","1405.31818781","1105.18031172","1","green","1"
"95","90","21","1216.7259752","1","1","0","19","1","right","out","Female","Right-handed","0","2","yes","right","s","966.807749926","1056.75818958","1","green","3"
"95","90","21","1237.73015563","1","1","0","20","1","left","out","Female","Right-handed","0","2","yes","left","d","2258.32604505","1057.3014836","1","red","0"
"95","90","21","1229.0577706","1","1","0","21","0","right","out","Female","Right-handed","0","2","yes","right","d","1156.98471176","936.89065839","1","red","1"
"100","0","21","1206.8891863","1","0","1","22","1","left","out","Female","Right-handed","0","2","no","left","s","1172.39065727","1241.38771533","1","red","0"
"100","50","21","1265.12972829","1","1","1","23","3","right","in","Female","Right-handed","0","2","no","right","d","1644.88904326","1001.85149728","1","green","2"
"100","66","21","1176.54981783","1","1","1","24","3","right","in","Female","Right-handed","0","2","no","right","s","885.313646462","1113.46634736","1","red","0"
"100","75","21","1111.92057324","1","1","1","25","0","left","in","Female","Right-handed","0","2","no","left","d","746.977325653","1089.08835327","1","green","0"
"80","60","21","1313.38834907","0","0","1","26","2","left","in","Female","Right-handed","0","2","no","None","d","3000.16292406","1238.35598074","1","green","1"
"83","50","21","1340.39532712","1","0","1","27","2","right","out","Female","Right-handed","0","2","no","right","d","1212.93629894","1737.92413576","1","green","3"
"85","42","21","1283.32622946","1","0","1","28","0","right","in","Female","Right-handed","0","2","no","right","d","976.445606293","905.37768075","1","green","3"
"87","50","21","1237.98022108","1","1","1","29","2","left","out","Female","Right-handed","0","2","no","left","d","864.12999031","976.986334585","1","red","1"
"88","44","21","1250.05187592","1","0","1","30","0","left","in","Female","Right-handed","0","2","no","left","s","1251.62050111","1441.62972813","1","red","2"
"90","40","21","1234.46244841","1","0","1","31","1","right","in","Female","Right-handed","0","2","no","right","s","1003.20460087","1185.11060074","1","green","0"
"90","36","21","1198.65934896","1","0","1","32","2","left","out","Female","Right-handed","0","2","no","left","d","951.585254346","729.671454646","1","green","0"
"91","33","21","1234.86710464","1","0","1","33","1","right","out","Female","Right-handed","0","2","no","right","d","2041.24416256","1225.06067158","1","red","2"
"92","38","21","1198.27245477","1","1","1","34","2","right","in","Female","Right-handed","0","2","no","right","s","964.641308883","553.63200393","1","red","0"
"92","42","21","1178.80873599","1","1","1","35","3","left","out","Female","Right-handed","0","2","no","left","d","826.36592424","1025.19485943","1","green","0"
"93","46","21","1183.44397524","1","1","1","36","3","right","in","Female","Right-handed","0","2","no","right","s","1446.81443366","1049.86021564","1","green","3"
"93","50","21","1179.84604678","1","1","1","37","3","left","in","Female","Right-handed","0","2","no","left","d","1090.33690323","1161.41733673","1","green","1"
"94","52","21","1162.23155143","1","1","1","38","3","right","out","Female","Right-handed","0","2","no","right","d","991.883302753","768.915948824","1","red","1"
"94","50","21","1153.11148792","1","0","1","39","2","right","in","Female","Right-handed","0","2","no","right","d","1338.5687121","657.572104323","1","green","1"
"94","52","21","1142.00113321","1","1","1","40","1","left","out","Female","Right-handed","0","2","no","left","s","1011.03746388","872.992033077","1","red","3"
"95","55","21","1129.28231309","1","1","1","41","0","right","out","Female","Right-handed","0","2","no","right","d","821.710401195","953.539060241","1","red","1"
"95","57","21","1130.58985277","1","1","1","42","3","left","in","Female","Right-handed","0","2","no","left","d","1144.16566683","1169.31562593","1","red","0"
"95","59","21","1128.71331216","1","1","1","43","0","right","in","Female","Right-handed","0","2","no","right","d","873.851233011","1304.76068604","1","red","1"
"95","60","21","1128.63057709","1","1","1","44","1","left","in","Female","Right-handed","0","2","no","left","d","1196.30104647","1057.31976445","1","red","0"
"95","62","21","1119.18450493","1","1","1","45","1","left","out","Female","Right-handed","0","2","no","left","d","770.930690886","1032.91899948","1","green","1"
"96","64","21","1107.63650743","1","1","1","46","2","right","in","Female","Right-handed","0","2","no","right","d","851.592534615","809.376600577","1","red","3"
"96","65","21","1112.62960993","1","1","1","47","1","left","in","Female","Right-handed","0","2","no","left","d","1393.97059092","1080.94375368","1","green","3"
"96","62","21","1118.2014319","1","0","1","48","3","right","out","Female","Right-handed","0","2","no","right","d","980.706647848","1545.4309582","1","green","0"
"96","64","21","1137.83909544","1","1","1","49","2","left","out","Female","Right-handed","0","2","no","left","s","1735.18200831","1600.93001417","1","green","1"
"96","62","21","1136.55374443","1","0","1","50","3","right","out","Female","Right-handed","0","2","no","right","d","751.610398533","1449.51743368","1","red","1"
"96","63","21","1139.58593982","1","1","1","51","1","left","in","Female","Right-handed","0","2","no","left","d","1686.07451467","768.964697756","1","red","2"
"96","64","21","1134.86184721","1","1","1","52","0","right","in","Female","Right-handed","0","2","no","right","d","856.650877786","1129.62725989","1","red","1"
"96","62","21","1126.88880565","1","0","1","53","2","right","out","Female","Right-handed","0","2","no","right","s","1006.35949066","753.08954377","1","red","0"
"96","60","21","1163.31494917","1","0","1","54","0","left","out","Female","Right-handed","0","2","no","left","None","1657.77159008","3000.13149383","1","red","0"
"97","61","21","1154.6477485","1","1","1","55","0","left","out","Female","Right-handed","0","2","no","left","s","648.111604267","1089.148648","1","red","0"
"97","62","21","1139.94925529","1","1","1","56","1","left","out","Female","Right-handed","0","2","no","left","s","719.627570985","560.773401812","1","green","1"
"97","63","21","1140.14010258","1","1","1","57","3","left","in","Female","Right-handed","0","2","no","left","d","1564.26953413","729.369980983","1","red","2"
"97","64","21","1137.3504638","1","1","1","58","1","left","in","Female","Right-handed","0","2","no","left","d","1072.94957019","1000.89736522","1","green","3"
"97","65","21","1129.76209593","1","1","1","59","0","right","out","Female","Right-handed","0","2","no","right","d","800.478637544","897.506331748","1","red","0"
"97","66","21","1132.7951716","1","1","1","60","0","right","out","Female","Right-handed","0","2","no","right","s","927.049467658","1569.05462671","1","green","3"
"97","67","21","1133.92810639","1","1","1","61","1","left","in","Female","Right-handed","0","2","no","left","s","731.659577224","1624.56554919","1","green","0"
"97","65","21","1126.48172173","1","0","1","62","1","right","in","Female","Right-handed","0","2","no","right","d","752.137336005","905.115334523","1","green","0"
"97","66","21","1130.54402465","1","1","1","63","2","left","out","Female","Right-handed","0","2","no","left","s","1857.6406094","736.5562792","1","green","0"
"97","67","21","1127.45307317","1","1","1","64","1","right","out","Female","Right-handed","0","2","no","right","s","1018.13973433","977.126487765","1","red","1"
"97","68","21","1122.50535283","1","1","1","65","0","left","in","Female","Right-handed","0","2","no","left","s","1146.81254143","672.694215587","1","red","3"
"97","66","21","1117.36715996","1","0","1","66","3","left","out","Female","Right-handed","0","2","no","left","s","853.286560015","929.286787083","1","red","3"
"97","67","21","1119.05261107","1","1","1","67","0","left","out","Female","Right-handed","0","2","no","left","d","1276.98085033","1112.81497182","1","green","1"
"97","68","21","1122.61409749","1","1","1","68","0","left","in","Female","Right-handed","0","2","no","left","d","1731.51653759","841.36840819","1","green","2"
"97","68","21","1136.78763685","1","1","1","69","2","left","in","Female","Right-handed","0","2","no","left","s","2069.007321","1536.88065203","1","red","2"
"97","69","21","1131.61761112","1","1","1","70","0","right","in","Female","Right-handed","0","2","no","right","d","693.487880277","1073.42487228","1","red","0"
"98","68","21","1131.11743457","1","0","1","71","0","right","out","Female","Right-handed","0","2","no","right","s","772.129209046","1441.0883584","1","green","3"
"98","66","21","1126.15426319","1","0","1","72","1","left","in","Female","Right-handed","0","2","no","left","d","683.467088216","1072.5242999","1","red","3"
"98","67","21","1116.97209193","1","1","1","73","1","right","out","Female","Right-handed","0","2","no","right","s","584.247616354","713.115098473","1","green","0"
"98","67","21","1111.82690128","1","1","1","74","3","right","in","Female","Right-handed","0","2","no","right","s","887.726397899","800.82757727","1","green","1"
"98","68","21","1105.49351826","1","1","1","75","3","left","out","Female","Right-handed","0","2","no","left","s","890.315864217","649.332572593","1","red","3"
"98","69","21","1104.3098488","1","1","1","76","2","right","out","Female","Right-handed","0","2","no","right","s","1111.99489932","968.788496022","1","green","3"
"98","69","21","1098.34035027","1","1","1","77","2","right","in","Female","Right-handed","0","2","no","right","s","907.40236503","632.633497509","1","green","0"
"98","70","21","1098.72932397","1","1","1","78","2","right","in","Female","Right-handed","0","2","no","right","d","1008.00829502","1233.01540691","1","red","0"
"98","70","21","1090.11508342","1","1","1","79","3","right","in","Female","Right-handed","0","2","no","right","s","525.584369809","672.622375054","1","red","3"
"98","71","21","1089.82904024","1","1","1","80","3","right","out","Female","Right-handed","0","2","no","right","s","953.187554782","1193.28951702","1","red","0"
"98","71","21","1092.50241954","1","1","1","81","0","right","out","Female","Right-handed","0","2","no","right","d","547.730496659","1952.73309927","1","green","0"
"98","72","21","1089.45669898","1","1","1","82","2","right","out","Female","Right-handed","0","2","no","right","d","1045.33394141","768.092989873","1","green","2"
"98","72","21","1085.25364503","1","1","1","83","2","left","in","Female","Right-handed","0","2","no","left","s","784.907522955","872.827184714","1","green","3"
"98","73","21","1082.78840391","1","1","1","84","3","left","out","Female","Right-handed","0","2","no","left","d","931.511598557","928.375310334","1","red","0"
"98","71","21","1080.25234117","1","0","1","85","1","left","out","Female","Right-handed","0","2","no","left","d","663.958855901","1177.00192141","1","green","1"
"100","100","21","1708.45540611","1","1","2","86","2","right","in","Female","Right-handed","0","2","no","right","d","1263.97995906","2152.93085317","1","green","0"
"100","100","21","1247.21561813","1","1","2","87","3","right","in","Female","Right-handed","0","2","no","right","d","826.541997687","745.409662615","1","red","0"
"100","100","21","1221.83191005","1","1","2","88","2","right","out","Female","Right-handed","0","2","no","right","s","1229.06257407","1113.06641369","1","red","1"
"100","100","21","1171.63224254","1","1","2","89","1","right","in","Female","Right-handed","0","2","no","right","s","1432.51945066","609.547029409","1","red","3"
"100","100","21","1095.63289745","1","1","2","90","0","left","out","Female","Right-handed","0","2","no","left","d","766.024688128","817.246345994","1","green","1"
"100","100","21","1064.33017631","1","1","2","91","3","left","in","Female","Right-handed","0","2","no","left","s","846.843362304","968.789778888","1","red","1"
"100","100","21","1007.41146422","1","1","2","92","0","left","in","Female","Right-handed","0","2","no","left","d","650.433913604","681.364469789","1","green","1"
"100","100","21","1119.83367554","1","1","2","93","1","right","out","Female","Right-handed","0","2","no","right","s","2612.82571583","1200.75259372","1","green","0"
"88","100","21","1110.7265362","0","1","2","94","1","left","out","Female","Right-handed","0","2","no","right","s","871.416993557","1204.32184943","1","green","3"
"90","90","21","1132.93865941","1","0","2","95","3","left","out","Female","Right-handed","0","2","no","left","d","1880.78993796","784.905598655","1","red","2"
"90","90","21","1105.93202784","1","1","2","96","2","right","in","Female","Right-handed","0","2","no","right","d","862.372783728","809.358640443","1","green","1"
"91","91","21","1123.51685917","1","1","2","97","1","right","in","Female","Right-handed","0","2","no","right","s","1529.05741053","1104.84259707","1","green","2"
"92","92","21","1098.94496307","1","1","2","98","3","right","in","Female","Right-handed","0","2","no","right","d","758.587589484","849.576830404","1","green","1"
"92","92","21","1086.74486518","1","1","2","99","1","left","out","Female","Right-handed","0","2","no","left","d","1039.07708008","817.210105013","1","red","3"
"93","93","21","1088.24391699","1","1","2","100","0","right","in","Female","Right-handed","0","2","no","right","d","1073.75200328","1144.70928157","1","red","3"
"93","93","21","1071.59311912","1","1","2","101","0","left","out","Female","Right-handed","0","2","no","left","d","802.368300108","841.294001924","1","green","0"
