"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","18","1357.87837027","1","0","0","0","0","left","in","Female","Right-handed","2","0","yes","left","s","1292.65560351","1423.10113703","30","red","0"
"100","50","18","1162.96022145","1","1","0","1","2","right","out","Female","Right-handed","2","0","yes","right","s","1167.02303404","769.061111205","30","red","3"
"100","66","18","1232.68240028","1","1","0","2","1","right","in","Female","Right-handed","2","0","yes","right","s","1590.69376021","1153.5597557","30","green","1"
"100","50","18","1135.81561893","1","0","0","3","3","right","out","Female","Right-handed","2","0","yes","right","d","1121.2432694","569.187280331","30","red","0"
"100","60","18","1151.11613493","1","1","0","4","0","left","in","Female","Right-handed","2","0","yes","left","s","1454.75759268","969.878805157","30","red","3"
"100","66","18","1098.98645098","1","1","0","5","3","left","in","Female","Right-handed","2","0","yes","left","d","1067.36417817","609.311884369","30","green","1"
"100","71","18","1133.01688576","1","1","0","6","0","right","in","Female","Right-handed","2","0","yes","right","d","1728.76909414","945.629894706","30","red","2"
"100","75","18","1089.14300488","1","1","0","7","3","right","out","Female","Right-handed","2","0","yes","right","d","786.489063472","777.562613914","30","red","3"
"100","77","18","1081.461634","1","1","0","8","0","left","out","Female","Right-handed","2","0","yes","left","s","910.995603965","1129.02572997","30","green","3"
"100","80","18","1167.61555427","1","1","0","9","1","left","in","Female","Right-handed","2","0","yes","left","d","1796.59798777","2089.40368572","30","green","0"
"100","81","18","1126.71028716","1","1","0","10","1","right","in","Female","Right-handed","2","0","yes","right","d","842.131122883","593.184109104","30","green","3"
"100","83","18","1098.2913689","1","1","0","11","0","right","in","Female","Right-handed","2","0","yes","right","s","793.662487007","777.704049055","30","green","0"
"100","84","18","1070.6041111","1","1","0","12","1","right","in","Female","Right-handed","2","0","yes","right","s","643.405771001","833.308264142","30","green","3"
"100","85","18","1039.73467235","1","1","0","13","1","right","out","Female","Right-handed","2","0","yes","right","s","658.965239989","617.898697161","30","green","0"
"100","86","18","1019.92621212","1","1","0","14","2","left","out","Female","Right-handed","2","0","yes","left","d","675.627646497","809.587891355","30","green","0"
"100","87","18","1029.46898161","1","1","0","15","0","right","in","Female","Right-handed","2","0","yes","right","s","1160.13183936","1185.08920837","30","red","1"
"100","88","18","1014.59133536","1","1","0","16","3","left","out","Female","Right-handed","2","0","yes","left","d","799.571332862","753.526657958","30","green","3"
"100","88","18","996.239478734","1","1","0","17","3","left","in","Female","Right-handed","2","0","yes","left","d","751.285504308","617.230327927","30","green","2"
"100","89","18","1003.61026741","1","1","0","18","2","right","out","Female","Right-handed","2","0","yes","right","s","1318.77684582","953.792081364","30","red","1"
"100","90","18","1012.94379284","1","1","0","19","1","left","out","Female","Right-handed","2","0","yes","left","d","795.387931574","1585.17362045","30","red","2"
"100","90","18","1002.18222616","1","1","0","20","0","right","out","Female","Right-handed","2","0","yes","right","s","852.906492129","720.995292871","30","green","1"
