"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","100","26","2124.0235443","0","1","0","0","3","left","out","Female","Right-handed","1","3","yes","None","s","3000.1164194","1247.9306692","29","green","2"
"50","50","26","1691.67588454","1","0","0","1","0","right","in","Female","Right-handed","1","3","yes","right","s","1436.76005128","1081.89639828","29","red","1"
"66","33","26","1509.89837516","1","0","0","2","1","left","in","Female","Right-handed","1","3","yes","left","s","1187.26718124","1105.41953158","29","green","0"
"75","50","26","1337.68353294","1","1","0","3","1","left","in","Female","Right-handed","1","3","yes","left","s","935.99370373","706.084308813","29","red","1"
"80","60","26","1375.96494205","1","1","0","4","2","right","out","Female","Right-handed","1","3","yes","right","d","1272.64012582","1785.5410311","29","red","2"
"83","50","26","1322.22287078","1","0","0","5","0","left","out","Female","Right-handed","1","3","yes","left","s","1384.92294992","722.102078969","29","red","1"
"85","57","26","1273.90014478","1","1","0","6","3","left","in","Female","Right-handed","1","3","yes","left","d","1102.49653869","865.431038825","29","red","1"
"87","62","26","1253.99870977","1","1","0","7","0","right","in","Female","Right-handed","1","3","yes","right","s","1268.16198781","961.215341576","29","red","2"
"88","66","26","1238.68136694","1","1","0","8","2","left","in","Female","Right-handed","1","3","yes","left","d","1398.79321509","833.492033609","29","green","0"
"90","70","26","1242.42505782","1","1","0","9","2","right","in","Female","Right-handed","1","3","yes","right","d","1119.13104303","1433.10550837","29","green","1"
"90","72","26","1207.32337511","1","1","0","10","3","left","in","Female","Right-handed","1","3","yes","left","d","822.770544415","889.84255158","29","green","2"
"91","75","26","1169.2388646","1","1","0","11","0","right","in","Female","Right-handed","1","3","yes","right","s","651.186948711","849.431549401","29","green","2"
"92","76","26","1164.36488973","1","1","0","12","3","left","out","Female","Right-handed","1","3","yes","left","d","1089.88828548","1121.86609716","29","green","1"
"92","78","26","1184.9802914","1","1","0","13","3","right","in","Female","Right-handed","1","3","yes","right","d","832.467671165","2073.49335495","29","red","0"
"93","80","26","1154.65355286","1","1","0","14","2","right","in","Female","Right-handed","1","3","yes","right","d","571.060895045","889.097531555","29","green","3"
"93","81","26","1138.8677195","1","1","0","15","1","left","in","Female","Right-handed","1","3","yes","left","d","738.614711756","1065.54572637","29","red","1"
"94","82","26","1126.88971411","1","1","0","16","0","left","out","Female","Right-handed","1","3","yes","left","d","941.28292897","929.200327","29","red","0"
"94","83","26","1123.5178041","1","1","0","17","1","left","out","Female","Right-handed","1","3","yes","left","d","1218.52947864","913.861188947","29","red","2"
