"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","0","19","1171.68159417","0","0","0","0","2","left","out","Female","Right-handed","3","1","yes","right","s","756.912697349","1586.450491","10","green","1"
"50","0","19","1119.00561201","1","0","0","1","1","left","out","Female","Right-handed","3","1","yes","left","s","1307.36430702","825.294952658","10","green","1"
"66","33","19","1192.21688255","1","1","0","2","3","left","out","Female","Right-handed","3","1","yes","left","d","1291.70149181","1385.57735544","10","red","0"
"75","50","19","1149.11257624","1","1","0","3","0","left","out","Female","Right-handed","3","1","yes","left","d","1038.23784669","1001.36146799","10","green","2"
"80","60","19","1122.17111327","1","1","0","4","3","right","in","Female","Right-handed","3","1","yes","right","s","1195.01577635","833.794746433","10","red","2"
"83","66","19","1104.07399116","1","1","0","5","0","left","in","Female","Right-handed","3","1","yes","left","d","809.747276904","1217.4294843","10","green","1"
"85","57","19","1088.14289902","1","0","0","6","2","right","in","Female","Right-handed","3","1","yes","right","d","1127.1479603","857.964732046","10","red","1"
"87","62","19","1035.00726678","1","1","0","7","1","right","out","Female","Right-handed","3","1","yes","right","s","876.657735607","449.457946515","10","red","3"
"88","66","19","1076.30392855","1","1","0","8","1","left","in","Female","Right-handed","3","1","yes","left","d","1756.12788883","1057.22655661","10","red","0"
"90","70","19","1077.1977044","1","1","0","9","1","left","in","Female","Right-handed","3","1","yes","left","s","1272.82663846","897.656735593","10","green","0"
"90","72","19","1119.71593996","1","1","0","10","2","left","out","Female","Right-handed","3","1","yes","left","d","1520.50604915","1569.29054208","10","red","0"
"91","75","19","1088.66465381","1","1","0","11","0","right","out","Female","Right-handed","3","1","yes","right","s","596.475321348","897.72569098","10","red","0"
"92","76","19","1063.49234388","1","1","0","12","0","right","in","Female","Right-handed","3","1","yes","right","s","1041.33570754","481.513541876","10","red","1"
"92","78","19","1088.30528781","1","1","0","13","2","left","in","Female","Right-handed","3","1","yes","left","d","1355.93263283","1465.81448499","10","red","2"
"93","73","19","1079.84651065","1","0","0","14","2","right","out","Female","Right-handed","3","1","yes","right","d","1169.60812173","753.239139205","10","red","2"
"93","75","19","1063.32826645","1","1","0","15","0","right","out","Female","Right-handed","3","1","yes","right","d","845.011061727","786.098145003","10","red","3"
"94","76","19","1038.67167135","1","1","0","16","1","right","in","Female","Right-handed","3","1","yes","right","s","486.681667937","801.6506316","10","green","3"
"94","77","19","1022.56135622","1","1","0","17","2","right","out","Female","Right-handed","3","1","yes","right","d","576.109748752","921.262249203","10","red","3"
"94","78","19","1028.7840294","1","1","0","18","3","right","in","Female","Right-handed","3","1","yes","right","d","1215.80021283","1065.78408048","10","red","2"
"95","80","19","1010.78920082","1","1","0","19","2","left","out","Female","Right-handed","3","1","yes","left","d","544.451528855","793.323386652","10","red","3"
"95","80","19","986.731227236","1","1","0","20","3","right","out","Female","Right-handed","3","1","yes","right","d","473.0490276","538.094483634","10","green","3"
"95","77","19","991.904812526","1","0","0","21","0","right","out","Female","Right-handed","3","1","yes","right","d","839.477311753","1361.6228955","10","green","2"
"100","100","19","663.224616881","1","1","1","22","0","left","in","Female","Right-handed","3","1","no","left","d","796.650884971","529.798348791","10","green","1"
"100","100","19","707.344518432","1","1","1","23","2","right","in","Female","Right-handed","3","1","no","right","d","589.434495269","913.494344697","10","red","3"
"100","100","19","714.431742399","1","1","1","24","2","left","out","Female","Right-handed","3","1","no","left","s","959.119077293","498.093303373","10","red","2"
"100","100","19","716.621222929","1","1","1","25","1","right","in","Female","Right-handed","3","1","no","right","d","684.703899155","761.675429882","10","red","0"
"100","100","19","822.367010717","1","1","1","26","3","right","in","Female","Right-handed","3","1","no","right","s","1345.37604419","1145.32427955","10","green","2"
"100","100","19","800.70947075","1","1","1","27","0","right","out","Female","Right-handed","3","1","no","right","s","862.863130293","521.980411539","10","red","3"
"100","100","19","764.883481891","1","1","1","28","1","left","out","Female","Right-handed","3","1","no","left","s","506.554289697","593.300807774","10","green","3"
"100","100","19","723.652387236","1","1","1","29","1","right","out","Female","Right-handed","3","1","no","right","s","452.98974521","417.079704088","10","red","3"
"100","88","19","696.973966794","1","0","1","30","2","left","in","Female","Right-handed","3","1","no","left","s","525.590466581","441.502739935","10","green","2"
"100","80","19","827.440523573","1","0","1","31","2","right","out","Female","Right-handed","3","1","no","right","None","1003.1847767","3000.09429248","10","red","0"
"100","81","19","813.231448275","1","1","1","32","1","left","in","Female","Right-handed","3","1","no","left","s","932.706277634","409.575112943","10","red","2"
"100","83","19","831.859866297","1","1","1","33","0","right","in","Female","Right-handed","3","1","no","right","d","1536.1778446","537.367084484","10","green","1"
"100","84","19","833.889236284","1","1","1","34","1","left","in","Female","Right-handed","3","1","no","left","s","1186.79597352","529.687378727","10","red","3"
"100","85","19","828.926083766","1","1","1","35","0","right","in","Female","Right-handed","3","1","no","right","s","735.463081928","793.347120136","10","red","0"
"100","80","19","813.800859409","1","0","1","36","0","right","out","Female","Right-handed","3","1","no","right","s","635.010478012","569.08495881","10","red","3"
"100","81","19","799.606505283","1","1","1","37","2","right","in","Female","Right-handed","3","1","no","right","d","659.656416155","513.725970652","10","green","0"
"100","82","19","793.793547308","1","1","1","38","1","left","in","Female","Right-handed","3","1","no","left","s","896.401106109","505.171333289","10","green","1"
"100","83","19","798.328692476","1","1","1","39","1","left","out","Female","Right-handed","3","1","no","left","s","765.898706781","984.953613872","10","red","1"
"100","84","19","803.336544387","1","1","1","40","0","left","out","Female","Right-handed","3","1","no","left","d","649.533444646","1137.42231294","10","green","3"
"100","85","19","807.088421332","1","1","1","41","1","right","out","Female","Right-handed","3","1","no","right","d","915.835620621","840.912545967","10","green","2"
"100","85","19","788.590718058","1","1","1","42","2","right","in","Female","Right-handed","3","1","no","right","s","507.606901698","329.666403461","10","red","3"
"100","86","19","794.810534214","1","1","1","43","3","left","in","Female","Right-handed","3","1","no","left","s","841.449115092","1009.40423187","10","green","3"
"100","86","19","796.525552105","1","1","1","44","2","left","in","Female","Right-handed","3","1","no","left","d","722.818267597","945.693623838","10","green","0"
"100","87","19","801.732502758","1","1","1","45","3","right","in","Female","Right-handed","3","1","no","right","d","881.548757232","961.435978292","10","red","2"
"100","88","19","801.403213257","1","1","1","46","2","left","in","Female","Right-handed","3","1","no","left","s","705.873523633","881.127006842","10","red","2"
"100","88","19","801.775787477","1","1","1","47","0","left","in","Female","Right-handed","3","1","no","left","d","580.600829131","1041.57945681","10","green","2"
"100","85","19","801.005046442","1","0","1","48","2","right","in","Female","Right-handed","3","1","no","right","s","552.962868647","1008.9686904","10","green","3"
"100","85","19","793.441807793","1","1","1","49","2","left","out","Female","Right-handed","3","1","no","left","s","480.629309312","697.839419261","10","red","3"
"100","86","19","796.280726703","1","1","1","50","2","left","in","Female","Right-handed","3","1","no","left","d","950.235378412","801.305533942","10","red","1"
"100","83","19","795.703127923","1","0","1","51","1","right","out","Female","Right-handed","3","1","no","right","s","596.899316797","961.006209835","10","red","3"
"100","83","19","794.261852396","1","1","1","52","3","right","in","Female","Right-handed","3","1","no","right","d","588.544168972","913.503004209","10","red","3"
"100","81","19","833.522888819","1","0","1","53","3","right","out","Female","Right-handed","3","1","no","right","None","1101.09404937","3000.13598644","10","green","2"
"100","81","19","828.262964531","1","1","1","54","0","right","out","Female","Right-handed","3","1","no","right","s","854.488418383","465.402356285","10","red","0"
"100","82","19","820.699934531","1","1","1","55","2","left","in","Female","Right-handed","3","1","no","left","s","589.150976377","553.088912678","10","red","3"
"100","82","19","822.130505194","1","1","1","56","3","right","out","Female","Right-handed","3","1","no","right","s","988.834038175","752.705777308","10","green","2"
"100","83","19","829.125210581","1","1","1","57","3","right","in","Female","Right-handed","3","1","no","right","d","962.474799211","1185.40499904","10","red","1"
"100","83","19","825.144473021","1","1","1","58","2","left","out","Female","Right-handed","3","1","no","left","s","634.927731548","728.748110141","10","green","3"
"100","84","19","818.849670707","1","1","1","59","0","left","in","Female","Right-handed","3","1","no","left","s","562.437659519","609.446310695","10","red","2"
"100","84","19","821.010261466","1","1","1","60","2","right","out","Female","Right-handed","3","1","no","right","d","1005.05747672","801.167943891","10","green","2"
"100","85","19","818.112595648","1","1","1","61","0","left","out","Female","Right-handed","3","1","no","left","s","545.621846093","864.585411349","10","green","3"
"100","85","19","830.738305757","1","1","1","62","0","left","out","Female","Right-handed","3","1","no","left","s","1366.27048857","1305.2629317","10","red","2"
"100","85","19","824.181029165","1","1","1","63","3","left","out","Female","Right-handed","3","1","no","left","s","725.80323404","384.862143748","10","red","3"
"100","86","19","828.80499442","1","1","1","64","3","left","in","Female","Right-handed","3","1","no","left","s","1285.58466791","760.438402314","10","red","0"
"100","86","19","826.605309104","1","1","1","65","1","left","out","Female","Right-handed","3","1","no","left","s","719.013213134","745.024467937","10","red","3"
"100","86","19","824.395475073","1","1","1","66","1","left","out","Female","Right-handed","3","1","no","left","d","581.721755072","872.603800308","10","red","2"
"100","86","19","824.055073447","1","1","1","67","2","right","out","Female","Right-handed","3","1","no","right","d","856.251431225","761.222569386","10","green","0"
"100","85","19","822.081774934","1","0","1","68","0","right","in","Female","Right-handed","3","1","no","right","d","589.713844767","872.906241841","10","green","0"
"100","85","19","819.089749605","1","1","1","69","1","right","out","Female","Right-handed","3","1","no","right","d","507.504911868","849.424206483","10","green","3"
"100","85","19","817.098889853","1","1","1","70","3","right","out","Female","Right-handed","3","1","no","right","d","578.037292356","865.037951122","10","green","0"
"100","84","19","814.057427971","1","0","1","71","0","left","in","Female","Right-handed","3","1","no","left","d","521.659047363","808.392544095","10","red","3"
"100","84","19","818.627366083","1","1","1","72","3","left","in","Female","Right-handed","3","1","no","left","s","1389.16014905","705.088394392","10","green","1"
"100","84","19","816.217389221","1","1","1","73","0","right","out","Female","Right-handed","3","1","no","right","d","553.927602618","832.689535908","10","green","3"
"100","84","19","814.069684359","1","1","1","74","0","right","in","Female","Right-handed","3","1","no","right","d","627.321792019","777.45627106","10","green","0"
"100","85","19","812.364926732","1","1","1","75","1","right","in","Female","Right-handed","3","1","no","right","d","651.026408952","792.999135972","10","red","0"
"100","85","19","810.031842519","1","1","1","76","3","left","out","Female","Right-handed","3","1","no","left","d","711.652305772","656.438284288","10","green","0"
"100","83","19","811.249822801","1","0","1","77","3","left","out","Female","Right-handed","3","1","no","left","s","547.158107967","1209.31936864","10","red","3"
"100","84","19","810.32618987","1","1","1","78","3","right","out","Female","Right-handed","3","1","no","right","d","604.657920343","912.547571199","10","red","0"
"100","82","19","829.789699231","1","0","1","79","1","right","in","Female","Right-handed","3","1","no","right","None","878.331587533","3000.08787803","10","green","0"
"100","83","19","829.434088767","1","1","1","80","3","left","out","Female","Right-handed","3","1","no","left","d","768.947817771","848.669545901","10","green","3"
"100","83","19","831.49239823","1","1","1","81","0","right","out","Female","Right-handed","3","1","no","right","d","1225.46134361","680.403969522","10","red","2"
