"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","0","24","3000.09204509","0","0","0","0","1","right","in","Female","Right-handed","3","0","yes","None","None","3000.10230796","3000.08178222","33","red","1"
"50","0","24","2241.91919467","1","0","0","1","1","right","in","Female","Right-handed","3","0","yes","right","s","1869.83252604","1097.66016247","33","red","3"
"66","33","24","2013.02411314","1","1","0","2","1","left","in","Female","Right-handed","3","0","yes","left","s","1493.28792442","1617.17997573","33","red","1"
"75","50","24","1859.82458675","1","1","0","3","2","left","in","Female","Right-handed","3","0","yes","left","s","1526.70125467","1273.75076049","33","green","2"
"80","60","24","1792.70544256","1","1","0","4","1","right","out","Female","Right-handed","3","0","yes","right","s","1695.32337172","1353.13435986","33","red","2"
"83","66","24","1746.12942908","1","1","0","5","2","right","out","Female","Right-handed","3","0","yes","right","d","1696.76979459","1329.72892881","33","red","0"
"85","71","24","1694.30262877","1","1","0","6","0","right","out","Female","Right-handed","3","0","yes","right","s","1493.4566203","1273.22703355","33","red","1"
"87","75","24","1647.00256524","1","1","0","7","0","left","in","Female","Right-handed","3","0","yes","left","s","1469.96331346","1161.84092748","33","red","3"
"88","77","24","1613.18800543","1","1","0","8","3","right","in","Female","Right-handed","3","0","yes","right","s","1596.13243845","1089.21061553","33","green","3"
"90","80","24","1567.4147709","1","1","0","9","1","left","in","Female","Right-handed","3","0","yes","left","s","1349.03819294","961.873127226","33","green","2"
"90","72","24","1524.28676935","1","0","0","10","3","left","out","Female","Right-handed","3","0","yes","left","s","1168.51018766","1017.5033202","33","red","2"
"91","75","24","1524.92295901","1","1","0","11","0","right","in","Female","Right-handed","3","0","yes","right","d","1542.95635363","1520.88573676","33","green","0"
"92","76","24","1495.89294112","1","1","0","12","0","left","in","Female","Right-handed","3","0","yes","left","d","1245.5391004","1049.52635264","33","green","0"
"92","71","24","1479.72100945","1","0","0","13","3","left","out","Female","Right-handed","3","0","yes","left","d","1177.94112129","1361.03067411","33","red","1"
"93","73","24","1451.8325579","1","1","0","14","3","right","out","Female","Right-handed","3","0","yes","right","d","969.455141167","1153.33333119","33","green","0"
"93","68","24","1458.59528367","1","0","0","15","0","left","out","Female","Right-handed","3","0","yes","left","d","1503.02802693","1617.04431346","33","green","3"
"94","64","24","1429.01124688","1","0","0","16","0","right","in","Female","Right-handed","3","0","yes","right","s","1221.65997389","689.673342555","33","red","2"
"94","66","24","1418.15837265","1","1","0","17","1","left","out","Female","Right-handed","3","0","yes","left","s","1338.19836006","1129.12066149","33","red","3"
"94","68","24","1394.42379933","1","1","0","18","3","right","in","Female","Right-handed","3","0","yes","right","d","1100.67744546","833.725513841","33","green","1"
"95","70","24","1372.58950904","1","1","0","19","2","left","in","Female","Right-handed","3","0","yes","left","d","1010.27922375","905.19676322","33","red","1"
"95","71","24","1368.21420015","1","1","0","20","1","left","in","Female","Right-handed","3","0","yes","left","s","1455.79702871","1105.61901607","33","red","0"
"95","72","24","1351.22108587","1","1","0","21","2","right","out","Female","Right-handed","3","0","yes","right","d","1099.33782056","889.393551135","33","red","1"
"100","100","24","1003.90277601","1","1","1","22","3","right","in","Female","Right-handed","3","0","no","right","d","1093.95109808","913.85445394","33","green","3"
"100","100","24","1220.37454976","1","1","1","23","0","left","out","Female","Right-handed","3","0","no","left","d","2048.33008717","825.362559841","33","green","3"
"100","66","24","1100.39965316","1","0","1","24","1","right","in","Female","Right-handed","3","0","no","right","d","950.904687788","769.995032131","33","green","1"
"100","75","24","1029.68201628","1","1","1","25","3","right","out","Female","Right-handed","3","0","no","right","d","857.438510191","777.619701114","33","red","3"
"100","80","24","959.265108143","1","1","1","26","1","right","out","Female","Right-handed","3","0","no","right","s","842.098730707","513.096220475","33","red","3"
"100","66","24","1005.77641745","1","0","1","27","1","right","in","Female","Right-handed","3","0","no","right","d","1690.86543874","785.800489217","33","red","0"
"100","57","24","979.27308569","1","0","1","28","3","right","in","Female","Right-handed","3","0","no","right","d","871.295305347","769.210884926","33","red","3"
"100","50","24","974.339584488","1","0","1","29","2","right","in","Female","Right-handed","3","0","no","right","s","813.864299878","1065.74585228","33","red","3"
"100","55","24","975.671623596","1","1","1","30","1","left","in","Female","Right-handed","3","0","no","left","d","1243.32456607","729.331306844","33","red","3"
