"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","19","1154.49420905","1","0","0","0","0","right","out","Female","Right-handed","3","2","yes","right","s","1109.22883109","1199.75958701","35","red","3"
"50","50","19","1402.90366995","0","1","0","1","3","left","out","Female","Right-handed","3","2","yes","right","d","1456.80680494","1845.81945677","35","red","2"
"66","33","19","1509.04884207","1","0","0","2","2","right","in","Female","Right-handed","3","2","yes","right","s","2385.42602105","1057.25235153","35","green","2"
"75","25","19","1423.36551401","1","0","0","3","2","right","out","Female","Right-handed","3","2","yes","right","s","1266.86226414","1065.76879558","35","green","1"
"80","40","19","1334.94028803","1","1","0","4","1","left","in","Female","Right-handed","3","2","yes","left","d","1017.22628327","945.252484951","35","green","3"
"83","50","19","1245.51532173","1","1","0","5","2","right","in","Female","Right-handed","3","2","yes","right","d","722.937182163","873.843798272","35","green","3"
"85","57","19","1206.0139809","1","1","0","6","2","left","out","Female","Right-handed","3","2","yes","left","s","784.557763262","1153.45410857","35","green","0"
"87","62","19","1211.5304142","1","1","0","7","0","left","in","Female","Right-handed","3","2","yes","left","s","1434.16000421","1066.13089038","35","green","2"
"88","66","19","1172.48193909","1","1","0","8","0","right","out","Female","Right-handed","3","2","yes","right","s","854.608514266","865.579762201","35","green","1"
"90","60","19","1160.69335862","1","0","0","9","1","right","in","Female","Right-handed","3","2","yes","right","d","1188.09141082","921.100857995","35","green","1"
"90","63","19","1120.70129415","1","1","0","10","1","left","in","Female","Right-handed","3","2","yes","left","s","727.748007677","713.813291219","35","red","1"
"91","66","19","1095.17619595","1","1","0","11","0","right","in","Female","Right-handed","3","2","yes","right","d","827.436009608","801.364221825","35","red","0"
"92","69","19","1090.6922393","1","1","0","12","3","left","out","Female","Right-handed","3","2","yes","left","s","1119.96402786","953.805491266","35","red","0"
"85","71","19","1076.28556941","0","1","0","13","2","left","in","Female","Right-handed","3","2","yes","right","d","893.399483255","884.598238339","35","red","2"
"86","73","19","1057.1033763","1","1","0","14","0","right","in","Female","Right-handed","3","2","yes","right","d","696.075456835","881.029888697","35","red","3"
"87","75","19","1038.67108923","1","1","0","15","1","right","out","Female","Right-handed","3","2","yes","right","d","778.684707475","745.6888589","35","green","0"
"88","70","19","1025.72860613","1","0","0","16","3","left","out","Female","Right-handed","3","2","yes","left","d","876.159729669","761.138023223","35","red","2"
"88","72","19","1022.75471468","1","1","0","17","3","right","out","Female","Right-handed","3","2","yes","right","s","950.715979125","993.681141052","35","red","1"
"89","68","19","1005.55187832","1","0","0","18","2","left","out","Female","Right-handed","3","2","yes","left","d","646.330238156","745.471409584","35","red","3"
"90","70","19","989.503388104","1","1","0","19","1","left","in","Female","Right-handed","3","2","yes","left","d","640.041527047","729.122620884","35","red","3"
"90","71","19","996.935443059","1","1","0","20","2","right","in","Female","Right-handed","3","2","yes","right","s","1065.60137885","1225.55170547","35","red","1"
"90","72","19","989.443102629","1","1","0","21","1","left","in","Female","Right-handed","3","2","yes","left","s","927.013362547","737.194544654","35","green","2"
"100","100","19","678.630601724","1","1","1","22","1","left","in","Female","Right-handed","3","2","no","left","s","635.480864461","721.780338987","35","green","3"
"100","100","19","749.056757478","1","1","1","23","0","left","out","Female","Right-handed","3","2","no","left","s","909.499391913","729.46643455","35","red","1"
"100","66","19","695.263710211","1","0","1","24","3","right","in","Female","Right-handed","3","2","no","right","d","485.147698757","690.2075326","35","red","3"
"100","75","19","719.870521442","1","1","1","25","0","right","in","Female","Right-handed","3","2","no","right","s","809.733454607","777.648455663","35","green","3"
"100","80","19","702.15524983","1","1","1","26","2","right","out","Female","Right-handed","3","2","no","right","s","605.224941373","657.363385388","35","green","3"
"100","66","19","716.100090401","1","0","1","27","2","right","in","Female","Right-handed","3","2","no","right","d","857.865763854","713.782822659","35","green","0"
"100","71","19","758.58345197","1","1","1","28","0","left","out","Female","Right-handed","3","2","no","left","s","1225.49525845","801.47198432","35","green","2"
"100","75","19","821.963835903","1","1","1","29","3","right","in","Female","Right-handed","3","2","no","right","s","1842.16515372","689.087893141","35","red","2"
"100","77","19","810.204220613","1","1","1","30","3","left","in","Female","Right-handed","3","2","no","left","d","670.601815029","761.652781555","35","red","3"
"100","80","19","825.064192449","1","1","1","31","1","right","in","Female","Right-handed","3","2","no","right","d","1116.36424748","801.243630467","35","red","0"
"100","81","19","837.628093332","1","1","1","32","0","right","out","Female","Right-handed","3","2","no","right","s","892.777924597","1033.75627973","35","red","2"
"100","83","19","834.570878106","1","1","1","33","2","left","out","Female","Right-handed","3","2","no","left","s","808.405987489","793.47703376","35","red","0"
"100","84","19","908.212385068","1","1","1","34","1","right","in","Female","Right-handed","3","2","no","right","d","2533.99810389","1049.82283333","35","red","1"
"100","85","19","951.040858754","1","1","1","35","2","left","in","Female","Right-handed","3","2","no","left","d","2366.34981501","649.272218317","35","red","2"
"100","86","19","949.564246116","1","1","1","36","0","left","out","Female","Right-handed","3","2","no","left","d","1152.80817507","704.975163313","35","green","3"
"100","87","19","933.092482027","1","1","1","37","3","right","in","Female","Right-handed","3","2","no","right","s","666.390097653","705.641943729","35","green","3"
"100","88","19","931.621906998","1","1","1","38","2","right","in","Female","Right-handed","3","2","no","right","s","1079.04507038","737.140342684","35","green","1"
