"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","21","2278.20266859","1","0","0","0","2","right","in","Female","Right-handed","2","0","yes","right","d","1615.02134663","2941.38399054","6","red","3"
"100","50","21","1811.52238767","1","1","0","1","0","left","in","Female","Right-handed","2","0","yes","left","s","1232.34124082","1457.34297267","6","green","2"
"100","66","21","1550.48690594","1","1","0","2","3","right","out","Female","Right-handed","2","0","yes","right","s","1014.82654577","1042.00533922","6","red","2"
"100","50","21","1394.11347166","1","0","0","3","2","right","in","Female","Right-handed","2","0","yes","right","s","1032.53501541","817.451322234","6","red","0"
"100","60","21","1338.18972462","1","1","0","4","1","right","in","Female","Right-handed","2","0","yes","right","s","1218.95373271","1010.03574022","6","red","1"
"100","66","21","1255.08799927","1","1","0","5","0","right","out","Female","Right-handed","2","0","yes","right","s","933.531341323","745.627403741","6","green","0"
"100","71","21","1263.95209982","1","1","0","6","0","left","out","Female","Right-handed","2","0","yes","left","d","1384.16789179","1250.10551446","6","green","3"
"100","75","21","1229.85415432","1","1","0","7","0","left","in","Female","Right-handed","2","0","yes","left","d","1132.53578512","849.801286442","6","green","0"
"100","77","21","1185.16654822","1","1","0","8","1","right","in","Female","Right-handed","2","0","yes","right","d","902.081617521","753.249781274","6","green","0"
"100","80","21","1148.07788892","1","1","0","9","0","left","in","Female","Right-handed","2","0","yes","left","s","930.873916312","697.685994094","6","red","1"
"100","81","21","1190.00410979","1","1","0","10","2","left","out","Female","Right-handed","2","0","yes","left","s","2073.35884923","1145.17378777","6","red","3"
"100","83","21","1154.70495345","1","1","0","11","1","right","out","Female","Right-handed","2","0","yes","right","d","578.746180312","954.082287169","6","red","3"
"100","84","21","1131.14548345","1","1","0","12","2","left","out","Female","Right-handed","2","0","yes","left","s","903.392370118","793.471316743","6","green","0"
"100","85","21","1103.89490851","1","1","0","13","1","left","out","Female","Right-handed","2","0","yes","left","s","858.169320884","641.105547816","6","green","1"
"100","80","21","1168.98046945","1","0","0","14","2","left","out","Female","Right-handed","2","0","yes","left","s","1438.7409976","2721.6156477","6","red","2"
"100","81","21","1134.67099974","1","1","0","15","1","left","out","Female","Right-handed","2","0","yes","left","d","694.972765082","545.085142794","6","green","2"
"100","82","21","1123.6443099","1","1","0","16","3","right","out","Female","Right-handed","2","0","yes","right","s","692.619375663","1201.81516945","6","red","2"
"100","77","21","1113.34899943","1","0","0","17","1","left","in","Female","Right-handed","2","0","yes","left","d","1251.35276595","625.304677017","6","green","3"
"100","78","21","1101.79409357","1","1","0","18","3","right","in","Female","Right-handed","2","0","yes","right","s","866.887573539","920.724002391","6","green","3"
"100","80","21","1092.20155122","1","1","0","19","3","left","in","Female","Right-handed","2","0","yes","left","d","970.493474139","849.39301924","6","green","1"
"100","80","21","1084.1892314","1","1","0","20","2","right","out","Female","Right-handed","2","0","yes","right","s","903.01008064","944.875589149","6","green","1"
"100","81","21","1066.89140897","1","1","0","21","0","left","in","Female","Right-handed","2","0","yes","left","s","749.641763971","657.632512052","6","green","2"
"100","0","21","755.998288677","1","0","1","22","1","right","in","Female","Right-handed","2","0","no","right","s","718.518525645","793.478051709","6","red","3"
"100","50","21","679.046174924","1","1","1","23","1","right","in","Female","Right-handed","2","0","no","right","s","834.128700703","370.05942164","6","red","2"
"100","66","21","734.793997713","1","1","1","24","3","left","in","Female","Right-handed","2","0","no","left","d","650.818330395","1041.76095619","6","green","2"
"100","75","21","807.900459453","1","1","1","25","1","right","out","Female","Right-handed","2","0","no","right","s","1069.19439548","985.245293863","6","red","1"
"100","60","21","825.210611997","1","0","1","26","1","right","in","Female","Right-handed","2","0","no","right","s","706.927329079","1081.97511526","6","green","2"
"100","50","21","883.331018857","1","0","1","27","2","right","in","Female","Right-handed","2","0","no","right","s","938.5078395","1409.35826682","6","red","1"
"100","57","21","920.777080335","1","1","1","28","2","left","out","Female","Right-handed","2","0","no","left","s","1288.9165557","1001.9903427","6","green","0"
"100","50","21","978.746933987","1","0","1","29","1","left","in","Female","Right-handed","2","0","no","left","s","1471.55182588","1297.51999323","6","green","1"
"100","55","21","989.604651816","1","1","1","30","0","left","in","Female","Right-handed","2","0","no","left","s","1112.04673681","1040.88605208","6","red","0"
"100","60","21","975.149083275","1","1","1","31","2","right","out","Female","Right-handed","2","0","no","right","d","1160.54426219","529.553670621","6","red","1"
"100","63","21","979.051253846","1","1","1","32","0","right","in","Female","Right-handed","2","0","no","right","s","1155.0652073","881.080711828","6","green","2"
"100","66","21","993.434584455","1","1","1","33","3","right","out","Female","Right-handed","2","0","no","right","d","957.726224288","1345.576218","6","red","1"
"100","69","21","972.188181453","1","1","1","34","2","right","out","Female","Right-handed","2","0","no","right","s","713.222276957","721.240413899","6","green","2"
"100","71","21","972.737477637","1","1","1","35","0","right","out","Female","Right-handed","2","0","no","right","d","685.884730743","1273.87192533","6","green","2"
"100","73","21","960.179066701","1","1","1","36","1","left","in","Female","Right-handed","2","0","no","left","d","815.293888243","753.428738933","6","green","2"
"100","68","21","944.729805206","1","0","1","37","3","left","in","Female","Right-handed","2","0","no","left","s","752.979420511","673.002345051","6","red","2"
"100","64","21","929.636795566","1","0","1","38","1","right","out","Female","Right-handed","2","0","no","right","s","686.656044664","689.641238002","6","red","2"
"100","66","21","925.307226682","1","1","1","39","0","right","out","Female","Right-handed","2","0","no","right","s","838.170000795","865.239110522","6","green","2"
"100","63","21","937.959690944","1","0","1","40","0","left","in","Female","Right-handed","2","0","no","left","s","1361.7497569","969.658338401","6","green","1"
"100","65","21","934.028694481","1","1","1","41","0","right","out","Female","Right-handed","2","0","no","right","s","685.434450183","1033.24507321","6","green","2"
"100","66","21","935.495889563","1","1","1","42","3","left","out","Female","Right-handed","2","0","no","left","d","1216.79309159","712.886490814","6","green","3"
"100","68","21","927.243383523","1","1","1","43","3","left","in","Female","Right-handed","2","0","no","left","s","786.382925772","721.498587582","6","green","2"
"100","69","21","930.799594642","1","1","1","44","1","right","out","Female","Right-handed","2","0","no","right","s","1025.16022804","992.912250453","6","green","1"
"100","70","21","926.458959258","1","1","1","45","3","left","out","Female","Right-handed","2","0","no","left","d","619.676490736","1033.57220011","6","green","3"
"100","72","21","930.728601411","1","1","1","46","2","right","in","Female","Right-handed","2","0","no","right","s","937.149300718","1129.25072545","6","red","1"
"100","73","21","927.252959487","1","1","1","47","3","right","out","Female","Right-handed","2","0","no","right","s","950.970091621","729.753731171","6","green","0"
"100","74","21","926.12665641","1","1","1","48","1","left","in","Female","Right-handed","2","0","no","left","d","760.43919673","1033.24635606","6","red","2"
"100","75","21","937.83506454","1","1","1","49","0","left","out","Female","Right-handed","2","0","no","left","s","1003.02015102","1504.90401712","6","red","3"
"100","72","21","959.629637273","1","0","1","50","0","right","in","Female","Right-handed","2","0","no","right","d","1306.38224586","1833.3731017","6","red","1"
"100","73","21","981.321449433","1","1","1","51","0","right","in","Female","Right-handed","2","0","no","right","s","1947.91209651","1272.85590766","6","green","1"
"100","74","21","978.308320643","1","1","1","52","2","right","out","Female","Right-handed","2","0","no","right","s","934.38571982","841.443194093","6","red","2"
"100","75","21","972.250969434","1","1","1","53","2","right","in","Female","Right-handed","2","0","no","right","s","728.01033721","840.935826682","6","green","0"
"100","72","21","987.972435001","1","0","1","54","1","left","in","Female","Right-handed","2","0","no","left","s","836.623845114","2145.49482113","6","red","0"
"100","70","21","988.695680899","1","0","1","55","1","left","out","Female","Right-handed","2","0","no","left","s","1120.10528355","905.020307525","6","red","1"
"100","71","21","999.691676022","1","1","1","56","3","left","in","Female","Right-handed","2","0","no","left","d","1770.58333782","976.527682633","6","green","2"
"100","72","21","988.845587336","1","1","1","57","3","left","in","Female","Right-handed","2","0","no","left","d","833.097288823","385.367677809","6","red","2"
"100","72","21","982.828862738","1","1","1","58","0","right","in","Female","Right-handed","2","0","no","right","d","859.66993537","672.783619024","6","green","2"
"100","71","21","985.620147871","1","0","1","59","3","left","in","Female","Right-handed","2","0","no","left","d","1288.42426178","889.371133809","6","red","1"
"100","71","21","996.972040863","1","1","1","60","2","left","in","Female","Right-handed","2","0","no","left","d","1831.92348053","1024.76446863","6","red","3"
"100","72","21","999.196755126","1","1","1","61","3","right","in","Female","Right-handed","2","0","no","right","s","1586.54013911","585.381083598","6","green","1"
"100","73","21","1010.07975607","1","1","1","62","1","right","in","Female","Right-handed","2","0","no","right","s","1705.88629582","1184.91329213","6","red","2"
"100","71","21","1018.32800248","1","0","1","63","0","right","out","Female","Right-handed","2","0","no","right","s","1472.53224445","1240.47996572","6","red","2"
"100","72","21","1023.27246118","1","1","1","64","0","left","in","Female","Right-handed","2","0","no","left","d","708.986304287","1752.89314881","6","green","3"
"100","72","21","1025.24559956","1","1","1","65","0","right","out","Female","Right-handed","2","0","no","right","d","731.547156305","1488.63394371","6","green","3"
"100","73","21","1021.5850232","1","1","1","66","2","right","in","Female","Right-handed","2","0","no","right","s","599.976716262","1121.06261081","6","red","3"
"100","73","21","1022.02265436","1","1","1","67","0","left","out","Female","Right-handed","2","0","no","left","d","938.673327227","1144.7587856","6","red","1"
"100","72","21","1027.63169089","1","0","1","68","2","right","in","Female","Right-handed","2","0","no","right","d","1346.19615555","1225.09858707","6","green","2"
"100","72","21","1021.7916528","1","1","1","69","1","right","out","Female","Right-handed","2","0","no","right","s","469.73338516","1024.88633944","6","green","3"
"100","73","21","1022.49718728","1","1","1","70","1","left","out","Female","Right-handed","2","0","no","left","s","1048.2496145","1064.47607099","6","red","0"
"100","74","21","1016.47491257","1","1","1","71","1","right","in","Female","Right-handed","2","0","no","right","d","641.868843921","800.89805956","6","red","3"
"98","74","21","1017.84770923","0","1","1","72","2","left","out","Female","Right-handed","2","0","no","right","s","721.518151053","1451.45693342","6","green","2"
"98","75","21","1014.32433752","1","1","1","73","1","left","in","Female","Right-handed","2","0","no","left","d","860.176340643","809.088419195","6","red","3"
"98","75","21","1010.72551446","1","1","1","74","3","left","out","Female","Right-handed","2","0","no","left","d","790.633651224","856.539779914","6","green","3"
"98","75","21","1010.62273345","1","1","1","75","3","left","in","Female","Right-handed","2","0","no","left","s","977.181936437","1033.1687436","6","green","1"
"98","76","21","1004.07323141","1","1","1","76","2","right","out","Female","Right-handed","2","0","no","right","s","539.839566704","760.960675498","6","red","3"
"98","76","21","1004.69427964","1","1","1","77","2","left","out","Female","Right-handed","2","0","no","left","s","1261.31281799","816.391046216","6","red","1"
"98","77","21","1004.00662655","1","1","1","78","3","right","out","Female","Right-handed","2","0","no","right","d","666.01818569","1264.97792214","6","red","2"
"98","77","21","995.85279285","1","1","1","79","2","left","out","Female","Right-handed","2","0","no","left","s","557.596143238","504.572400239","6","green","3"
"98","77","21","991.816119848","1","1","1","80","2","right","in","Female","Right-handed","2","0","no","right","s","882.133932168","633.244239359","6","green","2"
"98","76","21","998.38188709","1","0","1","81","0","left","out","Female","Right-handed","2","0","no","left","s","746.728410266","2024.79589847","6","red","3"
"98","77","21","997.855436576","1","1","1","82","3","left","out","Female","Right-handed","2","0","no","left","s","996.285506097","936.251305301","6","green","0"
"98","77","21","991.94448193","1","1","1","83","3","left","out","Female","Right-handed","2","0","no","left","d","597.855843513","664.896653556","6","green","3"
"98","76","21","990.538969214","1","0","1","84","0","left","out","Female","Right-handed","2","0","no","left","s","702.31259477","1104.48176684","6","red","0"
"98","76","21","989.966179047","1","1","1","85","2","left","out","Female","Right-handed","2","0","no","left","s","858.942238369","1048.81855874","6","red","2"
"100","100","21","1013.16749924","1","1","2","86","1","right","in","Female","Right-handed","2","0","no","right","d","1017.22707995","1009.10791852","6","green","2"
"100","50","21","814.197371696","1","0","2","87","0","left","in","Female","Right-handed","2","0","no","left","s","628.77959857","601.674889739","6","green","1"
"100","66","21","891.216407488","1","1","2","88","0","right","out","Female","Right-handed","2","0","no","right","s","1409.18187486","681.327083285","6","red","2"
"100","75","21","859.542051201","1","1","2","89","2","right","out","Female","Right-handed","2","0","no","right","d","527.981857927","1001.05610675","6","green","2"
"100","80","21","890.235165757","1","1","2","90","2","left","out","Female","Right-handed","2","0","no","left","d","936.446298591","1089.56894937","6","green","1"
"100","66","21","882.371820775","1","0","2","91","1","right","out","Female","Right-handed","2","0","no","right","s","917.093855915","769.016335819","6","green","1"
"100","71","21","859.623294587","1","1","2","92","2","right","in","Female","Right-handed","2","0","no","right","d","645.647480353","800.616794567","6","red","3"
"100","62","21","880.139500381","1","0","2","93","2","right","in","Female","Right-handed","2","0","no","right","d","798.239993124","1249.26588875","6","red","2"
"100","66","21","868.642584425","1","1","2","94","1","left","in","Female","Right-handed","2","0","no","left","d","696.689539893","856.644973663","6","red","2"
"100","70","21","868.624457033","1","1","2","95","1","right","in","Female","Right-handed","2","0","no","right","d","975.404546935","761.518074082","6","green","1"
"100","72","21","879.069202092","1","1","2","96","1","right","out","Female","Right-handed","2","0","no","right","s","590.037510552","1376.99579482","6","green","0"
"100","75","21","873.151893359","1","1","2","97","0","right","out","Female","Right-handed","2","0","no","right","d","575.59581996","1040.52717462","6","green","2"
"100","69","21","908.763949273","1","0","2","98","2","left","out","Female","Right-handed","2","0","no","left","s","1391.19438522","1281.02285527","6","green","2"
"100","64","21","935.498443811","1","0","2","99","1","right","in","Female","Right-handed","2","0","no","right","s","1109.60515141","1456.48859418","6","red","1"
"100","60","21","935.474902738","1","0","2","100","3","right","in","Female","Right-handed","2","0","no","right","d","1045.13164613","825.159009331","6","red","0"
"100","62","21","926.73456835","1","1","2","101","0","right","in","Female","Right-handed","2","0","no","right","d","622.593372281","968.665732752","6","red","3"
"100","64","21","927.943413913","1","1","2","102","3","left","out","Female","Right-handed","2","0","no","left","d","1053.17800578","841.391880069","6","green","1"
"100","61","21","968.269964434","1","0","2","103","2","right","in","Female","Right-handed","2","0","no","right","d","1402.85036574","1904.79228083","6","red","2"
"100","63","21","972.400338713","1","1","2","104","2","right","out","Female","Right-handed","2","0","no","right","s","668.303263315","1425.19088817","6","red","2"
"100","65","21","969.902344602","1","1","2","105","1","right","out","Female","Right-handed","2","0","no","right","s","724.018747579","1120.8621654","6","green","2"
"100","66","21","953.693163457","1","1","2","106","2","left","out","Female","Right-handed","2","0","no","left","s","721.426747948","537.592333172","6","green","2"
"100","63","21","962.665862378","1","0","2","107","3","left","in","Female","Right-handed","2","0","no","left","s","1157.11327827","1145.07180115","6","green","0"
"100","65","21","947.684585747","1","1","2","108","3","left","in","Female","Right-handed","2","0","no","left","s","699.598724333","536.594275407","6","red","3"
