"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_shape","gender","hand","high_loc","low_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","100","20","1944.51541146","0","1","0","0","1","right","in","Female","Right-handed","0","2","yes","None","s","3000.12539941","888.905423511","25","green","1"
"50","50","20","2047.95525197","1","0","0","1","2","left","out","Female","Right-handed","0","2","yes","left","d","1948.83800289","2353.95218209","25","red","1"
"66","66","20","1810.40475145","1","1","0","2","0","left","out","Female","Right-handed","0","2","yes","left","d","1245.37393238","1425.23356843","25","red","1"
"75","50","20","1636.93198638","1","0","0","3","2","right","out","Female","Right-handed","0","2","yes","right","s","1078.99970398","1154.02767831","25","red","0"
"80","60","20","1587.73228156","1","1","0","4","3","right","in","Female","Right-handed","0","2","yes","right","s","1668.48725657","1113.37966804","25","red","3"
"83","66","20","1481.9421108","1","1","0","5","0","left","in","Female","Right-handed","0","2","yes","left","s","1343.97827864","562.004235355","25","green","3"
"85","71","20","1439.02610612","1","1","0","6","3","left","out","Female","Right-handed","0","2","yes","left","s","1321.45000204","1041.61015408","25","green","3"
"87","75","20","1373.90590218","1","1","0","7","3","right","in","Female","Right-handed","0","2","yes","right","d","994.021238363","842.107710716","25","red","0"
"88","66","20","1325.49444481","1","0","0","8","1","left","in","Female","Right-handed","0","2","yes","left","d","770.662759936","1105.7428119","25","red","3"
"90","70","20","1271.12070832","1","1","0","9","3","right","in","Female","Right-handed","0","2","yes","right","s","826.348115817","737.166043891","25","green","0"
"90","72","20","1249.23198328","1","1","0","10","3","right","in","Female","Right-handed","0","2","yes","right","d","1082.91915715","977.770308691","25","red","1"
"91","66","20","1237.65947667","1","0","0","11","3","right","out","Female","Right-handed","0","2","yes","right","d","1315.26437948","905.459428479","25","green","2"
"92","69","20","1214.98913481","1","1","0","12","0","left","out","Female","Right-handed","0","2","yes","left","s","1179.8981218","705.991943007","25","red","0"
"92","71","20","1198.63310062","1","1","0","13","1","left","out","Female","Right-handed","0","2","yes","left","d","850.444686832","1121.56462543","25","green","3"
"93","73","20","1161.69668074","1","1","0","14","2","right","out","Female","Right-handed","0","2","yes","right","d","551.993129011","737.180476051","25","red","3"
"93","75","20","1150.69731774","1","1","0","15","1","left","in","Female","Right-handed","0","2","yes","left","s","1185.7113947","785.702350549","25","red","2"
"94","76","20","1132.48707063","1","1","0","16","0","right","out","Female","Right-handed","0","2","yes","right","d","921.12922329","761.117010476","25","green","1"
"94","77","20","1097.03256853","1","1","0","17","0","left","out","Female","Right-handed","0","2","yes","left","s","578.814491295","409.797574564","25","green","3"
"94","78","20","1075.8440242","1","1","0","18","0","left","in","Female","Right-handed","0","2","yes","left","d","803.451979562","585.44847287","25","green","2"
