"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","18","1450.73251679","1","0","0","0","1","left","3","out","Female","Right-handed","3","yes","left","s","1949.98122163","951.483811954","7","green","0"
"100","0","18","1367.38221183","1","0","0","1","3","right","3","out","Female","Right-handed","3","yes","right","s","1110.52522027","1457.53859348","7","red","0"
"100","0","18","1687.37889341","1","0","0","2","1","left","1","out","Female","Right-handed","3","yes","left","s","2180.96030435","2473.78420879","7","red","3"
"100","25","18","1584.75567593","1","1","0","3","1","right","0","in","Female","Right-handed","3","yes","right","s","1512.46829246","1041.30375449","7","red","1"
"100","40","18","1495.29427839","1","1","0","4","0","right","1","in","Female","Right-handed","3","yes","right","s","1200.9757055","1073.92167094","7","red","3"
"100","50","18","1543.39214657","1","1","0","5","2","right","0","out","Female","Right-handed","3","yes","right","d","2462.4469483","1105.31602666","7","red","1"
"100","57","18","1481.25127402","1","1","0","6","0","right","0","in","Female","Right-handed","3","yes","right","d","1062.98531502","1153.8267624","7","red","3"
"100","62","18","1429.46757628","1","1","0","7","2","left","1","out","Female","Right-handed","3","yes","left","s","772.509428472","1361.45395579","7","red","2"
"100","66","18","1496.14069662","1","1","0","8","2","right","2","out","Female","Right-handed","3","yes","right","s","1513.10717398","2545.94414469","7","green","0"
"100","70","18","1440.37519536","1","1","0","9","3","left","2","in","Female","Right-handed","3","yes","left","s","835.38698035","1041.58438769","7","red","3"
"100","72","18","1379.11979375","1","1","0","10","1","left","1","in","Female","Right-handed","3","yes","left","d","947.115555769","586.015999619","7","red","2"
"100","66","18","1329.82825141","1","0","0","11","3","right","3","out","Female","Right-handed","3","yes","right","s","861.656172052","713.586399266","7","red","2"
"100","69","18","1321.16757374","1","1","0","12","0","left","1","in","Female","Right-handed","3","yes","left","d","1393.35152692","1041.12735648","7","green","0"
"100","71","18","1302.92671102","1","1","0","13","2","left","2","out","Female","Right-handed","3","yes","left","d","1081.806662","1049.78432938","7","green","1"
"100","66","18","1321.45640184","1","0","0","14","0","right","1","in","Female","Right-handed","3","yes","right","d","1536.3599597","1625.38418685","7","red","2"
"100","68","18","1300.29214517","1","1","0","15","3","right","0","out","Female","Right-handed","3","yes","right","s","963.820447352","1001.83614292","7","red","1"
"100","70","18","1309.62141912","1","1","0","16","0","right","1","out","Female","Right-handed","3","yes","right","d","1828.44138888","1089.3382156","7","red","0"
"100","72","18","1336.85755176","1","1","0","17","0","left","0","in","Female","Right-handed","3","yes","left","s","1381.79360855","2217.95000495","7","red","1"
"100","73","18","1369.64245271","1","1","0","18","0","left","2","in","Female","Right-handed","3","yes","left","d","1494.33040759","2425.21093193","7","green","0"
"100","75","18","1358.05150277","1","1","0","19","1","right","0","in","Female","Right-handed","3","yes","right","d","1105.81603483","1169.83087279","7","red","2"
"100","76","18","1348.09047016","1","1","0","20","1","left","3","in","Female","Right-handed","3","yes","left","d","1200.33650326","1097.40313264","7","green","0"
"100","72","18","1346.56255967","1","0","0","21","2","right","0","in","Female","Right-handed","3","yes","right","d","1810.9962671","817.956611863","7","red","2"
"100","100","18","1068.89208258","1","1","1","22","3","right","2","out","Female","Right-handed","3","no","right","d","1248.38860417","889.395560993","7","red","0"
"100","100","18","1082.37530505","1","1","1","23","0","left","3","out","Female","Right-handed","3","no","left","s","1141.87884407","1049.83821095","7","red","1"
"66","66","18","1378.15211217","0","0","1","24","0","left","3","out","Female","Right-handed","3","no","None","d","3000.22578945","939.185663396","7","red","2"
"75","50","18","1409.83159122","1","0","1","25","1","left","3","in","Female","Right-handed","3","no","left","d","2119.88169146","889.85836523","7","red","2"
"80","60","18","1306.54664332","1","1","1","26","1","right","0","in","Female","Right-handed","3","no","right","s","737.486405327","1049.32729817","7","green","3"
"83","66","18","1283.53967624","1","1","1","27","2","right","3","out","Female","Right-handed","3","no","right","d","774.983170024","1562.02651166","7","red","2"
"85","71","18","1266.81502579","1","1","1","28","1","right","3","out","Female","Right-handed","3","no","right","s","715.47866883","1617.45557737","7","red","2"
"87","75","18","1226.84409286","1","1","1","29","2","left","3","in","Female","Right-handed","3","no","left","d","1149.07524145","745.019883263","7","green","1"
"88","77","18","1184.43951457","1","1","1","30","3","left","3","out","Female","Right-handed","3","no","left","s","744.729628357","945.676148007","7","red","2"
"90","80","18","1178.66902249","1","1","1","31","1","right","3","out","Female","Right-handed","3","no","right","s","1404.28243054","849.186757066","7","red","0"
"90","81","18","1151.58886936","1","1","1","32","0","right","3","in","Female","Right-handed","3","no","right","s","783.866253103","977.70842307","7","green","2"
"91","83","18","1158.82557465","1","1","1","33","3","left","0","in","Female","Right-handed","3","no","left","d","859.368450219","1617.49021552","7","red","3"
"92","84","18","1125.2566992","1","1","1","34","1","left","3","out","Female","Right-handed","3","no","left","s","970.898497701","473.961889693","7","red","1"
"92","85","18","1142.59335911","1","1","1","35","3","right","3","in","Female","Right-handed","3","no","right","d","1694.48024968","1041.45962619","7","green","1"
"93","86","18","1147.05183867","1","1","1","36","1","left","3","in","Female","Right-handed","3","no","left","d","777.929337521","1641.01176767","7","red","1"
"93","87","18","1153.51831645","1","1","1","37","1","right","1","in","Female","Right-handed","3","no","right","d","1011.5001881","1489.53077809","7","green","3"
"94","82","18","1211.81370302","1","0","1","38","0","left","3","in","Female","Right-handed","3","no","left","None","1288.99831267","3000.08146381","7","red","0"
"94","83","18","1190.93554948","1","1","1","39","2","left","1","out","Female","Right-handed","3","no","left","s","494.569025985","1177.44485237","7","green","3"
"94","84","18","1193.41627427","1","1","1","40","3","left","1","out","Female","Right-handed","3","no","left","s","1243.16241221","1232.97622893","7","green","0"
