"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","100","18","1874.02202091","1","1","0","0","3","right","0","in","Female","Right-handed","1","yes","right","d","1564.76526738","2183.27877444","13","red","3"
"100","100","18","1448.92708137","1","1","0","1","3","left","0","out","Female","Right-handed","1","yes","left","s","710.310365142","1337.35391851","13","green","3"
"100","66","18","1408.06486047","1","0","0","2","1","right","0","in","Female","Right-handed","1","yes","right","s","1090.87801075","1561.80282659","13","green","2"
"100","75","18","1402.40871099","1","1","0","3","1","right","0","out","Female","Right-handed","1","yes","right","s","1249.55027795","1521.3302472","13","green","1"
"100","60","18","1440.39009159","1","0","0","4","0","left","2","in","Female","Right-handed","1","yes","left","d","1270.84059618","1913.79063173","13","green","3"
"100","66","18","1369.70731372","1","1","0","5","3","left","0","in","Female","Right-handed","1","yes","left","d","959.201253867","1073.38559485","13","red","1"
"100","71","18","1343.35435129","1","1","0","6","3","left","1","in","Female","Right-handed","1","yes","left","s","1064.5736404","1305.89951306","13","green","2"
"100","75","18","1321.36547369","1","1","0","7","0","right","3","in","Female","Right-handed","1","yes","right","s","1149.42029232","1185.46636874","13","red","1"
"100","77","18","1316.49472979","1","1","0","8","2","right","3","in","Female","Right-handed","1","yes","right","s","1329.04484456","1226.01271248","13","green","1"
"100","80","18","1307.04396709","1","1","0","9","1","right","3","in","Female","Right-handed","1","yes","right","s","818.430634405","1625.54357116","13","green","2"
"100","81","18","1279.04691025","1","1","0","10","3","left","2","out","Female","Right-handed","1","yes","left","d","1013.02646505","985.126218835","13","red","1"
"100","83","18","1270.27124758","1","1","0","11","0","right","0","in","Female","Right-handed","1","yes","right","d","649.711661536","1697.76625486","13","green","3"
"100","76","18","1278.34936384","1","0","0","12","2","right","3","in","Female","Right-handed","1","yes","right","d","1397.36571439","1353.2078035","13","green","0"
"100","78","18","1277.48006427","1","1","0","13","1","right","1","in","Female","Right-handed","1","yes","right","s","1186.65750278","1345.70083678","13","green","0"
"100","80","18","1290.96373776","1","1","0","14","0","left","3","in","Female","Right-handed","1","yes","left","d","1854.25381418","1105.21651924","13","red","0"
"100","81","18","1291.07858967","1","1","0","15","2","right","0","out","Female","Right-handed","1","yes","right","s","1167.88447347","1417.71826313","13","red","3"
"100","82","18","1261.88325426","1","1","0","16","3","left","3","out","Female","Right-handed","1","yes","left","s","708.387681098","881.128094374","13","red","2"
"100","83","18","1254.29786967","1","1","0","17","3","left","2","in","Female","Right-handed","1","yes","left","s","1160.8508815","1089.84178186","13","green","0"
"100","84","18","1234.11733087","1","1","0","18","3","right","1","out","Female","Right-handed","1","yes","right","d","780.382978137","961.352286711","13","green","2"
"100","85","18","1241.60885519","1","1","0","19","2","left","2","in","Female","Right-handed","1","yes","left","d","1127.08797234","1640.807662","13","green","0"
"100","85","18","1225.93874959","1","1","0","20","3","left","2","out","Female","Right-handed","1","yes","left","d","967.630595787","857.44267948","13","red","1"
"100","86","18","1202.63223158","1","1","0","21","1","right","2","out","Female","Right-handed","1","yes","right","d","705.165461477","721.225245245","13","red","1"
"100","0","18","1066.74616113","1","0","1","22","2","left","1","in","Female","Right-handed","1","no","left","d","1203.76281616","929.729506097","13","red","0"
"100","0","18","980.245904716","1","0","1","23","1","right","1","in","Female","Right-handed","1","no","right","d","826.236827852","961.254468755","13","green","3"
"100","33","18","956.566476494","1","1","1","24","1","left","1","in","Female","Right-handed","1","no","left","d","1208.64409242","609.77114768","13","red","0"
"100","50","18","908.737492532","1","1","1","25","2","left","1","out","Female","Right-handed","1","no","left","d","833.302170562","697.198910726","13","green","0"
"100","60","18","855.770858396","1","1","1","26","0","left","1","out","Female","Right-handed","1","no","left","s","773.853228809","513.955414895","13","green","2"
"100","66","18","896.067167687","1","1","1","27","0","right","2","out","Female","Right-handed","1","no","right","s","1377.49327541","817.604152868","13","green","1"
"100","71","18","852.294568666","1","1","1","28","0","left","3","out","Female","Right-handed","1","no","left","d","658.180130642","521.137818439","13","green","1"
"100","75","18","824.534815494","1","1","1","29","2","right","0","in","Female","Right-handed","1","no","right","s","538.737032304","721.696054279","13","green","2"
"100","77","18","834.964309631","1","1","1","30","2","left","1","out","Female","Right-handed","1","no","left","s","835.436846963","1001.36367849","13","red","0"
"100","80","18","809.514832569","1","1","1","31","2","left","2","in","Female","Right-handed","1","no","left","d","519.872278615","641.066799399","13","red","3"
"100","72","18","830.982981221","1","0","1","32","3","left","1","out","Female","Right-handed","1","no","left","d","761.754591109","1329.57434437","13","red","3"
"100","75","18","809.455569855","1","1","1","33","3","left","2","out","Female","Right-handed","1","no","left","s","656.193303672","489.114786","13","red","0"
"100","69","18","789.591915584","1","0","1","34","2","left","3","out","Female","Right-handed","1","no","left","d","532.793228558","569.662900089","13","red","2"
"100","71","18","811.743941093","1","1","1","35","3","left","2","out","Female","Right-handed","1","no","left","d","750.075448112","1449.36509733","13","green","3"
"100","73","18","807.323624874","1","1","1","36","0","left","2","in","Female","Right-handed","1","no","left","s","1065.04028015","425.838115454","13","red","1"
"100","75","18","812.899369859","1","1","1","37","3","right","0","in","Female","Right-handed","1","no","right","s","607.497922571","1185.57316671","13","green","3"
"100","76","18","803.912478569","1","1","1","38","0","right","1","in","Female","Right-handed","1","no","right","s","663.069745486","657.174690357","13","green","3"
"100","77","18","826.123660138","1","1","1","39","0","right","1","in","Female","Right-handed","1","no","right","s","1653.82995776","753.597535888","13","green","2"
"100","78","18","833.627704326","1","1","1","40","0","left","0","in","Female","Right-handed","1","no","left","s","920.281574592","1017.11942482","13","green","3"
"100","80","18","828.86243813","1","1","1","41","0","left","1","out","Female","Right-handed","1","no","left","s","835.783218739","640.861542051","13","red","0"
"100","76","18","818.889447186","1","0","1","42","1","left","3","out","Female","Right-handed","1","no","left","s","437.346317573","801.51293907","13","green","1"
"100","77","18","825.306019314","1","1","1","43","2","left","1","in","Female","Right-handed","1","no","left","d","863.121252249","1056.98681574","13","green","0"
"100","78","18","820.118450779","1","1","1","44","0","left","3","in","Female","Right-handed","1","no","left","d","666.434683102","745.549202911","13","red","2"
"100","79","18","825.51950955","1","1","1","45","1","right","1","out","Female","Right-handed","1","no","right","d","1002.27386654","897.213856028","13","red","0"
"100","80","18","822.059975555","1","1","1","46","0","left","1","in","Female","Right-handed","1","no","left","s","1044.5469377","433.515381632","13","red","0"
"100","80","18","820.463206374","1","1","1","47","3","left","0","out","Female","Right-handed","1","no","left","d","743.594126689","817.493827046","13","red","1"
"100","81","18","821.885817547","1","1","1","48","2","left","0","in","Female","Right-handed","1","no","left","d","1156.80763249","560.939783591","13","green","1"
"100","82","18","821.640855861","1","1","1","49","3","left","3","in","Female","Right-handed","1","no","left","s","692.59056259","937.463218044","13","green","1"
"100","82","18","818.035043998","1","1","1","50","2","right","2","in","Female","Right-handed","1","no","right","d","833.096592505","601.048031182","13","green","0"
"100","83","18","821.741392635","1","1","1","51","3","right","1","out","Female","Right-handed","1","no","right","d","865.694345513","992.756660682","13","green","0"
"100","83","18","824.340116512","1","1","1","52","0","left","1","in","Female","Right-handed","1","no","left","s","1043.26407929","761.33958641","13","green","3"
"100","84","18","821.920024321","1","1","1","53","1","right","2","out","Female","Right-handed","1","no","right","d","748.934986983","744.859345799","13","red","0"
"100","84","18","821.100452274","1","1","1","54","0","right","0","out","Female","Right-handed","1","no","right","s","772.408409521","817.339884034","13","red","2"
"100","85","18","819.645260784","1","1","1","55","1","left","1","in","Female","Right-handed","1","no","left","s","910.16495314","633.082930064","13","green","3"
"100","85","18","813.931255924","1","1","1","56","3","right","1","in","Female","Right-handed","1","no","right","d","526.626528168","712.683653208","13","red","3"
"100","86","18","810.730530672","1","1","1","57","2","right","3","out","Female","Right-handed","1","no","right","s","876.219236652","521.191057065","13","red","0"
"100","86","18","814.084561467","1","1","1","58","3","right","3","out","Female","Right-handed","1","no","right","s","876.821538681","992.837801478","13","red","1"
