"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","100","18","847.37592915","1","1","0","0","3","left","2","in","Female","Right-handed","3","yes","left","s","925.129817253","769.622041047","27","green","3"
"100","100","18","812.349805342","1","1","0","1","2","left","2","in","Female","Right-handed","3","yes","left","s","920.765212215","633.882150853","27","green","1"
"100","100","18","890.325066701","1","1","0","2","2","left","3","out","Female","Right-handed","3","yes","left","s","707.352093641","1385.19908519","27","green","0"
"100","100","18","982.815189493","1","1","0","3","2","left","0","in","Female","Right-handed","3","yes","left","d","1366.77242765","1153.79868808","27","red","1"
"100","100","18","939.742376373","1","1","0","4","3","left","0","out","Female","Right-handed","3","yes","left","s","893.409539399","641.492708393","27","red","3"
"100","100","18","928.12825826","1","1","0","5","1","left","0","in","Female","Right-handed","3","yes","left","d","954.017864445","786.097470941","27","green","3"
"100","100","18","999.541561383","1","1","0","6","3","right","3","out","Female","Right-handed","3","yes","right","d","1814.52080267","1041.52195757","27","green","2"
"100","100","18","984.109834168","1","1","0","7","0","left","0","in","Female","Right-handed","3","yes","left","d","767.125277859","985.050209475","27","red","3"
"100","100","18","939.956168291","1","1","0","8","2","left","2","out","Female","Right-handed","3","yes","left","s","827.662083548","345.791599009","27","green","3"
"100","100","18","965.291095006","1","1","0","9","2","right","3","in","Female","Right-handed","3","yes","right","s","1833.29800127","553.312869604","27","red","1"
"100","100","18","983.52270413","1","1","0","10","1","right","3","out","Female","Right-handed","3","yes","right","d","1537.87206502","793.80552572","27","red","1"
"100","100","18","963.977068478","1","1","0","11","3","left","0","in","Female","Right-handed","3","yes","left","d","840.453144077","657.497008534","27","red","2"
"100","100","18","932.022652517","1","1","0","12","3","left","1","out","Female","Right-handed","3","yes","left","s","487.075361838","610.063960113","27","red","3"
"100","100","18","937.529686145","1","1","0","13","0","left","0","out","Female","Right-handed","3","yes","left","s","1008.68046146","1009.56178519","27","green","3"
"100","93","18","942.567476482","1","0","0","14","2","right","1","out","Female","Right-handed","3","yes","right","s","1433.00384184","593.189240538","27","green","0"
"100","93","18","951.076079678","1","1","0","15","0","left","0","in","Female","Right-handed","3","yes","left","d","1139.70263983","1017.7076154","27","red","2"
"100","94","18","950.886142939","1","1","0","16","2","right","2","in","Female","Right-handed","3","yes","right","d","838.365933438","1057.3283768","27","red","1"
"100","94","18","934.741723006","1","1","0","17","3","left","2","in","Female","Right-handed","3","yes","left","d","814.713552148","505.859616162","27","green","0"
"100","89","18","926.519448311","1","0","0","18","0","right","1","out","Female","Right-handed","3","yes","right","s","947.457326517","609.579681062","27","green","2"
"100","90","18","923.896060246","1","1","0","19","1","right","1","in","Female","Right-handed","3","yes","right","d","1123.08513337","625.018240643","27","green","2"
"100","90","18","927.548547524","1","1","0","20","1","right","1","in","Female","Right-handed","3","yes","right","d","1119.62975423","881.566831952","27","red","2"
"100","90","18","914.626654527","1","1","0","21","3","right","3","out","Female","Right-handed","3","yes","right","s","677.150720148","609.38308301","27","red","0"
"100","0","18","538.574750717","1","0","1","22","2","left","3","in","Female","Right-handed","3","no","left","s","563.098513584","514.050987849","27","green","0"
"100","50","18","648.683530696","1","1","1","23","2","left","0","out","Female","Right-handed","3","no","left","d","771.730739565","745.853881785","27","green","1"
"100","33","18","628.725915269","1","0","1","24","0","left","3","in","Female","Right-handed","3","no","left","s","856.265336171","321.356032658","27","red","1"
