"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","23","2267.95769261","1","0","0","0","0","right","2","out","Female","Right-handed","2","yes","right","None","1535.71429717","3000.20108806","26","red","0"
"100","0","23","1635.3244846","1","0","0","1","1","left","3","out","Female","Right-handed","2","yes","left","s","1364.22948156","641.153071628","26","green","1"
"100","33","23","1520.72137053","1","1","0","2","3","right","2","in","Female","Right-handed","2","yes","right","s","1597.31138534","985.718899423","26","green","1"
"100","50","23","1331.85566752","1","1","0","3","0","left","2","out","Female","Right-handed","2","yes","left","s","873.253909431","657.263207589","26","green","3"
"80","40","23","1551.26725565","0","0","0","4","3","right","3","in","Female","Right-handed","2","yes","left","None","1857.73260548","3000.09461081","26","green","2"
"83","50","23","1488.59776733","1","1","0","5","3","left","1","out","Female","Right-handed","2","yes","left","s","1133.1748148","1217.32583674","26","red","0"
"85","57","23","1430.90753665","1","1","0","6","2","left","0","in","Female","Right-handed","2","yes","left","d","1111.76583216","1057.76647294","26","red","3"
"87","50","23","1423.81286287","1","0","0","7","1","left","1","out","Female","Right-handed","2","yes","left","s","1794.9998669","953.300425877","26","green","2"
"88","55","23","1452.23440617","1","1","0","8","2","right","1","in","Female","Right-handed","2","yes","right","s","2581.69963987","777.513865294","26","red","0"
"90","60","23","1399.493303","1","1","0","9","0","left","1","out","Female","Right-handed","2","yes","left","s","872.290482762","977.356266138","26","green","0"
"90","54","23","1385.47223199","1","0","0","10","2","right","1","out","Female","Right-handed","2","yes","right","s","1617.59690472","872.926139106","26","green","2"
"91","58","23","1348.50155723","1","1","0","11","2","left","0","in","Female","Right-handed","2","yes","left","s","1250.34244302","633.305826711","26","green","1"
"92","61","23","1306.76602224","1","1","0","12","1","left","1","out","Female","Right-handed","2","yes","left","s","961.940156579","649.93904819","26","green","0"
"92","64","23","1292.92490069","1","1","0","13","0","right","1","in","Female","Right-handed","2","yes","right","d","1520.50184138","705.478799642","26","red","3"
"93","60","23","1264.73143199","1","0","0","14","1","left","0","out","Female","Right-handed","2","yes","left","s","963.035076236","777.010664081","26","red","3"
"93","62","23","1263.47297996","1","1","0","15","2","left","1","in","Female","Right-handed","2","yes","left","s","1927.59354684","561.598852098","26","red","2"
