"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","100","20","1676.86188722","0","1","0","0","0","right","3","in","Female","Right-handed","1","yes","left","s","1279.16393793","2074.55983651","5","red","1"
"50","100","20","1415.73552796","1","1","0","1","3","left","1","in","Female","Right-handed","1","yes","left","s","971.660456584","1337.5578808","5","red","0"
"66","100","20","1210.39918376","1","1","0","2","2","left","1","in","Female","Right-handed","1","yes","left","d","925.210853205","674.242137542","5","red","2"
"75","75","20","1297.22665252","1","0","0","3","2","left","3","out","Female","Right-handed","1","yes","left","d","745.757439112","2369.66067851","5","red","2"
"80","60","20","1185.3286321","1","0","0","4","2","right","2","out","Female","Right-handed","1","yes","right","s","834.204819301","641.268281481","5","green","0"
"83","66","20","1107.66948809","1","1","0","5","0","right","0","out","Female","Right-handed","1","yes","right","s","708.859330491","729.888205628","5","red","2"
"85","71","20","1079.47605648","1","1","0","6","3","left","0","out","Female","Right-handed","1","yes","left","d","707.305472723","1113.32546088","5","red","3"
"87","75","20","1092.97050541","1","1","0","7","0","left","3","in","Female","Right-handed","1","yes","left","d","1300.89742101","1073.96587478","5","green","1"
"88","77","20","1040.26189621","1","1","0","8","0","left","1","in","Female","Right-handed","1","yes","left","d","603.650812081","633.535233286","5","red","2"
"90","70","20","1130.40069005","1","0","0","9","1","left","0","in","Female","Right-handed","1","yes","left","None","883.131935832","3000.16773325","5","red","2"
"90","72","20","1112.15414164","1","1","0","10","1","left","2","in","Female","Right-handed","1","yes","left","d","1161.8090304","697.568284755","5","red","0"
"91","75","20","1081.70198312","1","1","0","11","2","left","2","out","Female","Right-handed","1","yes","left","d","684.22916147","809.227317364","5","green","1"
"92","69","20","1101.78168043","1","0","0","12","1","right","0","out","Female","Right-handed","1","yes","right","d","1011.76024985","1673.7158464","5","green","1"
"92","64","20","1088.88746808","1","0","0","13","0","left","0","in","Female","Right-handed","1","yes","left","d","889.227740707","953.297674248","5","green","3"
"93","60","20","1075.37507999","1","0","0","14","1","right","1","in","Female","Right-handed","1","yes","right","s","1514.66302935","257.740264253","5","red","2"
"93","62","20","1070.8087092","1","1","0","15","3","right","3","in","Female","Right-handed","1","yes","right","s","1083.29992566","921.326369142","5","red","2"
"94","64","20","1062.8719359","1","1","0","16","1","left","2","out","Female","Right-handed","1","yes","left","s","861.799344846","1009.9677811","5","red","0"
"94","61","20","1045.32579592","1","0","0","17","1","right","1","out","Female","Right-handed","1","yes","right","d","692.468616562","801.614216085","5","green","3"
"94","57","20","1093.86510351","1","0","0","18","3","right","1","out","Female","Right-handed","1","yes","right","None","935.036558152","3000.10872194","5","red","0"
"95","60","20","1097.1932983","1","1","0","19","1","left","0","in","Female","Right-handed","1","yes","left","d","1039.45034807","1281.40765082","5","green","1"
"95","61","20","1086.61075222","1","1","0","20","1","right","3","in","Female","Right-handed","1","yes","right","d","652.995818535","1096.92384269","5","red","2"
"95","59","20","1065.43301769","1","0","0","21","1","right","0","out","Female","Right-handed","1","yes","right","s","575.755457103","665.645728124","5","green","2"
"100","100","20","772.893344099","1","1","1","22","0","left","1","in","Female","Right-handed","1","no","left","d","912.46280523","633.323882968","5","green","0"
"100","100","20","758.192791254","1","1","1","23","1","right","1","in","Female","Right-handed","1","no","right","d","653.007043515","833.977433304","5","green","2"
"100","100","20","729.956677996","1","1","1","24","2","left","1","in","Female","Right-handed","1","no","left","d","777.420859089","569.54804387","5","green","0"
"100","75","20","729.630672542","1","0","1","25","1","right","1","out","Female","Right-handed","1","no","right","d","704.144198","753.161114364","5","red","3"
"100","80","20","716.041777446","1","1","1","26","1","left","1","out","Female","Right-handed","1","no","left","s","497.765587807","825.606806313","5","red","2"
"100","83","20","732.170430883","1","1","1","27","0","left","0","out","Female","Right-handed","1","no","left","s","864.295138686","761.332257447","5","green","3"
"100","85","20","702.27271915","1","1","1","28","1","left","1","out","Female","Right-handed","1","no","left","s","444.782084676","600.990812833","5","green","3"
"100","87","20","680.940603505","1","1","1","29","2","left","1","out","Female","Right-handed","1","no","left","d","437.653902474","625.577685511","5","red","3"
"100","88","20","693.744397755","1","1","1","30","3","right","2","out","Female","Right-handed","1","no","right","d","1071.19779503","521.151708475","5","red","0"
"100","90","20","688.954075725","1","1","1","31","1","left","1","out","Female","Right-handed","1","no","left","s","681.858766678","609.823588235","5","red","0"
"100","90","20","677.760833081","1","1","1","32","0","right","2","in","Female","Right-handed","1","no","right","d","458.311391172","673.345422099","5","green","1"
"100","91","20","654.617199896","1","1","1","33","0","right","1","out","Female","Right-handed","1","no","right","s","511.048586199","289.025883521","5","red","0"
"100","84","20","669.260899047","1","0","1","34","0","left","1","in","Female","Right-handed","1","no","left","d","728.396245595","961.57433213","5","red","2"
"100","85","20","650.470244139","1","1","1","35","2","left","1","in","Female","Right-handed","1","no","left","s","435.182803591","377.200657076","5","red","2"
"93","80","20","653.919741188","0","0","1","36","2","right","3","in","Female","Right-handed","1","no","left","d","496.712364089","907.713035664","5","green","1"
"93","81","20","659.763608763","1","1","1","37","0","left","1","in","Female","Right-handed","1","no","left","d","421.404943994","1073.43830078","5","red","2"
"94","76","20","651.043068413","1","0","1","38","3","left","2","out","Female","Right-handed","1","no","left","d","469.988255463","553.040590166","5","green","3"
"88","77","20","666.045079015","0","1","1","39","3","right","3","in","Female","Right-handed","1","no","left","d","501.559309901","1340.59920861","5","red","0"
"89","73","20","666.866592259","1","0","1","40","0","left","2","in","Female","Right-handed","1","no","left","d","490.150562244","873.157099028","5","green","3"
"90","75","20","662.935457013","1","1","1","41","3","left","1","out","Female","Right-handed","1","no","left","s","542.593983537","633.893791175","5","green","3"
"90","76","20","658.049044329","1","1","1","42","3","right","1","in","Female","Right-handed","1","no","right","d","503.324517984","617.317063312","5","green","3"
"90","72","20","657.685760423","1","0","1","43","2","left","2","in","Female","Right-handed","1","no","left","d","651.074102178","649.039494609","5","red","1"
"91","69","20","670.83302087","1","0","1","44","2","left","2","in","Female","Right-handed","1","no","left","d","590.582691853","1329.56280953","5","green","3"
"91","66","20","675.220454573","1","0","1","45","1","right","2","in","Female","Right-handed","1","no","right","s","783.096208332","769.166651164","5","green","1"
"92","68","20","685.820100152","1","1","1","46","2","right","1","in","Female","Right-handed","1","no","right","d","1158.69810773","721.725080388","5","red","0"
"92","69","20","677.24604053","1","1","1","47","2","right","1","out","Female","Right-handed","1","no","right","s","652.398970378","273.390129587","5","green","2"
"92","70","20","672.195853618","1","1","1","48","2","left","0","out","Female","Right-handed","1","no","left","s","488.823128329","592.958859488","5","red","2"
"92","71","20","679.264284656","1","1","1","49","3","right","1","in","Female","Right-handed","1","no","right","s","1074.64482564","665.579019678","5","red","0"
"93","72","20","681.088163592","1","1","1","50","0","right","1","in","Female","Right-handed","1","no","right","d","655.066346037","809.247201614","5","green","3"
"93","73","20","684.543776241","1","1","1","51","2","left","1","out","Female","Right-handed","1","no","left","d","648.744117312","920.768968772","5","red","2"
"93","74","20","693.327348126","1","1","1","52","0","left","1","out","Female","Right-handed","1","no","left","d","992.279138922","921.389870451","5","green","3"
"93","71","20","722.718982096","1","0","1","53","0","left","2","in","Female","Right-handed","1","no","left","d","1514.91799672","1752.80127362","5","red","1"
"93","72","20","721.647773812","1","1","1","54","3","right","1","in","Female","Right-handed","1","no","right","d","653.304024378","721.434193081","5","red","0"
"94","73","20","718.451952054","1","1","1","55","2","left","3","out","Female","Right-handed","1","no","left","s","680.955636959","545.024031078","5","red","2"
"94","74","20","713.055626138","1","1","1","56","2","left","1","out","Female","Right-handed","1","no","left","d","497.553275352","561.607814638","5","red","3"
"94","75","20","710.575447108","1","1","1","57","1","left","1","in","Female","Right-handed","1","no","left","d","502.261993566","745.276368594","5","green","2"
"94","75","20","707.624470148","1","1","1","58","2","left","2","out","Female","Right-handed","1","no","left","d","513.959062824","688.819536335","5","green","1"
"94","76","20","706.080173456","1","1","1","59","3","right","1","out","Female","Right-handed","1","no","right","d","585.421125921","712.461265804","5","green","3"
"94","74","20","699.268897811","1","0","1","60","3","left","1","out","Female","Right-handed","1","no","left","d","511.897836015","368.983010514","5","red","2"
"95","75","20","701.091825617","1","1","1","61","1","right","2","out","Female","Right-handed","1","no","right","d","927.682593523","616.689426646","5","green","0"
"95","73","20","702.010204389","1","0","1","62","0","left","0","in","Female","Right-handed","1","no","left","d","924.285273533","553.205436998","5","green","1"
"95","73","20","700.864702109","1","1","1","63","1","right","0","in","Female","Right-handed","1","no","right","d","578.973498145","728.824719074","5","green","1"
"95","74","20","714.854863859","1","1","1","64","1","right","3","in","Female","Right-handed","1","no","right","d","1435.46054163","1169.42277311","5","red","2"
"95","75","20","713.188830295","1","1","1","65","0","right","0","out","Female","Right-handed","1","no","right","d","761.999983322","521.098790719","5","red","2"
"95","75","20","712.207962579","1","1","1","66","3","right","1","in","Female","Right-handed","1","no","right","d","729.570057658","608.529508543","5","red","0"
"95","76","20","714.707380561","1","1","1","67","2","left","0","out","Female","Right-handed","1","no","left","s","877.169547854","777.192831665","5","green","1"
"95","76","20","715.827271856","1","1","1","68","2","right","1","in","Female","Right-handed","1","no","right","d","837.827601004","696.856941817","5","red","3"
"95","75","20","725.701605936","1","0","1","69","1","right","3","in","Female","Right-handed","1","no","right","s","722.281197901","1657.3094175","5","red","0"
"95","75","20","726.002824872","1","1","1","70","3","left","1","out","Female","Right-handed","1","no","left","s","1207.9545972","272.968070389","5","red","0"
"94","74","20","736.332311967","0","0","1","71","3","right","3","out","Female","Right-handed","1","no","left","s","753.432758851","1731.52160038","5","red","1"
"94","72","20","735.944613024","1","0","1","72","0","left","3","out","Female","Right-handed","1","no","left","s","656.137850434","776.981481351","5","red","0"
"94","73","20","740.967376807","1","1","1","73","1","right","1","out","Female","Right-handed","1","no","right","s","1241.63915478","752.617504681","5","red","0"
"94","73","20","741.349946681","1","1","1","74","3","right","1","out","Female","Right-handed","1","no","right","s","545.272584175","977.214576054","5","green","3"
"94","74","20","745.727574137","1","1","1","75","3","right","1","in","Female","Right-handed","1","no","right","d","1066.74660989","888.737048779","5","green","2"
"94","74","20","742.010392522","1","1","1","76","3","left","3","in","Female","Right-handed","1","no","left","d","562.203379937","520.361790685","5","green","2"
"94","75","20","748.413260489","1","1","1","77","2","right","3","out","Female","Right-handed","1","no","right","s","720.088157774","1481.05383949","5","red","0"
"94","75","20","748.160656419","1","1","1","78","1","left","2","in","Female","Right-handed","1","no","left","s","851.515660772","616.513996269","5","green","3"
"94","75","20","749.264946369","1","1","1","79","2","left","2","in","Female","Right-handed","1","no","left","s","1207.20541006","417.213536937","5","red","0"
"94","76","20","753.485043333","1","1","1","80","2","left","3","out","Female","Right-handed","1","no","left","s","1091.73469538","904.766639109","5","green","1"
"95","76","20","752.340245034","1","1","1","81","0","right","1","out","Female","Right-handed","1","no","right","d","545.295034135","824.299256648","5","green","0"
"95","77","20","750.720020608","1","1","1","82","2","right","1","out","Female","Right-handed","1","no","right","s","858.056936941","448.956173194","5","green","2"
"95","77","20","750.345548296","1","1","1","83","3","right","0","out","Female","Right-handed","1","no","right","s","886.494298029","568.511176549","5","green","1"
"95","76","20","755.350255022","1","0","1","84","3","left","0","in","Female","Right-handed","1","no","left","d","1146.19412286","985.09002112","5","red","1"
"95","76","20","753.886846822","1","1","1","85","2","left","1","out","Female","Right-handed","1","no","left","d","610.610298885","712.773961641","5","green","3"
"95","75","20","755.231612263","1","0","1","86","1","right","3","in","Female","Right-handed","1","no","right","s","1170.38908342","512.204117582","5","green","1"
"95","75","20","751.285884483","1","1","1","87","0","left","1","in","Female","Right-handed","1","no","left","s","460.679220254","528.947937266","5","green","2"
"95","76","20","754.683508685","1","1","1","88","0","left","3","out","Female","Right-handed","1","no","left","d","597.412931049","1360.44048099","5","red","2"
"95","76","20","755.902296615","1","1","1","89","2","left","1","in","Female","Right-handed","1","no","left","d","994.029914891","681.092260987","5","red","0"
"95","76","20","753.869468622","1","1","1","90","2","right","0","in","Female","Right-handed","1","no","right","d","534.73970557","696.534624567","5","red","1"
"95","77","20","752.945610809","1","1","1","91","1","right","3","out","Female","Right-handed","1","no","right","d","770.212498468","608.186344907","5","red","1"
"95","77","20","756.485117399","1","1","1","92","0","left","3","in","Female","Right-handed","1","no","left","s","959.750112732","1048.75104472","5","red","1"
"95","77","20","764.05382926","1","1","1","93","3","left","1","in","Female","Right-handed","1","no","left","d","626.567407919","1976.29733494","5","green","2"
"95","78","20","761.798408186","1","1","1","94","0","right","1","out","Female","Right-handed","1","no","right","d","701.961741423","496.854440251","5","red","3"
"95","77","20","761.566452108","1","0","1","95","1","left","1","in","Female","Right-handed","1","no","left","d","520.587893829","968.679422949","5","red","2"
"96","76","20","773.013684425","1","0","1","96","2","right","1","in","Female","Right-handed","1","no","right","d","472.156279928","2768.06147183","5","red","0"
