"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","22","2640.37074787","1","0","0","0","2","right","3","in","Female","Right-handed","3","yes","right","None","2280.62026294","3000.1212328","31","green","1"
"50","0","22","2433.19583459","0","0","0","1","2","right","0","in","Female","Right-handed","3","yes","escape","None","1451.86191776","3000.17992487","31","green","2"
"66","0","22","2106.53883127","1","0","0","2","2","right","2","out","Female","Right-handed","3","yes","right","s","2440.74538289","465.704266368","31","green","1"
"75","25","22","1898.71704905","1","1","0","3","2","left","3","out","Female","Right-handed","3","yes","left","d","1557.27512277","993.228282008","31","red","1"
"80","40","22","1727.01830166","1","1","0","4","0","left","2","in","Female","Right-handed","3","yes","left","d","1006.74509809","1073.70152612","31","green","0"
"83","33","22","1566.42456455","1","0","0","5","3","left","1","in","Female","Right-handed","3","yes","left","d","789.463522397","737.448235515","31","green","0"
"85","28","22","1518.49166783","1","0","0","6","1","left","2","in","Female","Right-handed","3","yes","left","d","1595.83132348","865.957251644","31","red","0"
"87","37","22","1446.79892481","1","1","0","7","0","left","0","in","Female","Right-handed","3","yes","left","s","1384.46417667","505.435270665","31","red","3"
"88","44","22","1421.38475015","1","1","0","8","2","left","0","in","Female","Right-handed","3","yes","left","s","1506.10942768","930.033278084","31","red","2"
"90","50","22","1352.0153831","1","1","0","9","1","right","2","in","Female","Right-handed","3","yes","right","d","597.764633891","857.61752526","31","green","0"
"90","54","22","1295.08882067","1","1","0","10","1","right","1","in","Female","Right-handed","3","yes","right","d","554.265149611","897.381243169","31","red","0"
"91","58","22","1258.81238999","1","1","0","11","3","left","3","in","Female","Right-handed","3","yes","left","d","829.891454949","889.651850182","31","green","0"
"92","53","22","1244.38395332","1","0","0","12","3","left","2","in","Female","Right-handed","3","yes","left","s","1005.24379981","1137.2416266","31","green","1"
"92","50","22","1223.14237533","1","0","0","13","2","right","1","out","Female","Right-handed","3","yes","right","d","939.980782357","954.022940583","31","green","3"
"93","53","22","1210.42687631","1","1","0","14","3","left","3","out","Female","Right-handed","3","yes","left","s","1191.45161207","873.368167988","31","green","2"
"93","56","22","1196.21094171","1","1","0","15","0","left","0","out","Female","Right-handed","3","yes","left","s","1403.00606035","562.937785122","31","green","2"
"94","58","22","1173.05675099","1","1","0","16","2","right","2","in","Female","Right-handed","3","yes","right","s","803.664117142","801.515281746","31","red","0"
"94","61","22","1167.76488904","1","1","0","17","3","right","2","out","Female","Right-handed","3","yes","right","s","1458.31932849","697.287143419","31","red","1"
"94","63","22","1172.24151316","1","1","0","18","0","left","1","in","Female","Right-handed","3","yes","left","d","1543.88338816","961.758106561","31","green","3"
"95","65","22","1164.11410412","1","1","0","19","0","right","1","in","Female","Right-handed","3","yes","right","d","1026.23695945","993.149705191","31","green","3"
"95","66","22","1144.70073519","1","1","0","20","1","left","2","in","Female","Right-handed","3","yes","left","s","695.875967936","816.990745254","31","green","1"
"95","68","22","1142.23858732","1","1","0","21","2","left","1","in","Female","Right-handed","3","yes","left","d","1035.49555351","1145.57141061","31","green","2"
"100","100","22","1070.88366526","1","1","1","22","1","left","3","out","Female","Right-handed","3","no","left","d","1475.85318387","665.914146648","31","green","0"
"100","50","22","1011.34336529","1","0","1","23","1","right","3","in","Female","Right-handed","3","no","right","s","1422.30260221","481.30352845","31","green","1"
"100","33","22","1040.70487574","1","0","1","24","1","left","3","in","Female","Right-handed","3","no","left","d","1340.91081114","857.944982115","31","red","2"
"100","50","22","980.266354562","1","1","1","25","1","right","2","in","Female","Right-handed","3","no","right","s","980.444635738","617.456946318","31","green","0"
"100","60","22","936.43959784","1","1","1","26","2","left","3","in","Female","Right-handed","3","no","left","s","1233.1945036","289.070638311","31","red","0"
"100","66","22","911.586702193","1","1","1","27","2","left","2","out","Female","Right-handed","3","no","left","d","932.735679133","641.908768786","31","red","0"
"100","71","22","934.902726941","1","1","1","28","3","right","1","out","Female","Right-handed","3","no","right","d","1372.32101163","777.276739213","31","red","3"
"100","75","22","885.21580802","1","1","1","29","3","right","3","in","Female","Right-handed","3","no","right","s","568.985634236","505.829116912","31","red","0"
"100","77","22","893.356435274","1","1","1","30","0","right","0","out","Female","Right-handed","3","no","right","s","1147.53294453","769.429962078","31","red","1"
"100","80","22","905.715549358","1","1","1","31","0","right","0","out","Female","Right-handed","3","no","right","d","1369.00891863","664.886233601","31","green","3"
"100","81","22","900.204993649","1","1","1","32","1","right","2","out","Female","Right-handed","3","no","right","s","1008.59437942","681.604493697","31","red","3"
"100","83","22","916.489026935","1","1","1","33","0","right","3","out","Female","Right-handed","3","no","right","s","1366.09772775","825.129058412","31","red","2"
"100","84","22","905.506505421","1","1","1","34","1","left","3","in","Female","Right-handed","3","no","left","d","1025.72669123","521.705803269","31","green","0"
"100","85","22","895.599347762","1","1","1","35","1","right","3","in","Female","Right-handed","3","no","right","d","644.395003412","889.217592998","31","red","2"
"100","80","22","869.458752196","1","0","1","36","0","right","0","in","Female","Right-handed","3","no","right","s","516.962008591","490.01881995","31","green","2"
"100","81","22","860.406841892","1","1","1","37","1","right","0","out","Female","Right-handed","3","no","right","d","967.700438232","481.555936429","31","green","2"
"100","82","22","867.9252566","1","1","1","38","2","right","3","in","Female","Right-handed","3","no","right","d","911.272662197","1065.16712167","31","red","0"
"100","83","22","858.914470365","1","1","1","39","3","right","2","in","Female","Right-handed","3","no","right","d","705.688448375","705.773760346","31","red","1"
"100","84","22","873.808569522","1","1","1","40","0","right","3","in","Female","Right-handed","3","no","right","d","1002.36147388","1281.44323482","31","red","2"
"100","85","22","862.088626311","1","1","1","41","1","left","1","out","Female","Right-handed","3","no","left","s","541.836221539","736.983189054","31","red","3"
"100","85","22","856.754516617","1","1","1","42","3","left","1","in","Female","Right-handed","3","no","left","s","978.528323576","521.616321912","31","green","0"
"100","86","22","844.181982975","1","1","1","43","0","left","3","in","Female","Right-handed","3","no","left","s","847.113568838","313.203984133","31","red","1"
"100","86","22","843.510560334","1","1","1","44","3","right","3","out","Female","Right-handed","3","no","right","s","1183.73889662","473.739627861","31","green","2"
"100","87","22","848.418511939","1","1","1","45","1","right","1","in","Female","Right-handed","3","no","right","d","841.229608515","1081.3731892","31","red","3"
"100","88","22","841.89724205","1","1","1","46","2","left","1","out","Female","Right-handed","3","no","left","s","969.785450008","400.988079415","31","green","0"
"100","88","22","837.537725507","1","1","1","47","0","right","2","out","Female","Right-handed","3","no","right","d","975.441056482","481.658567372","31","red","1"
"100","88","22","827.515833674","1","1","1","48","1","right","2","out","Female","Right-handed","3","no","right","d","532.844788657","601.048503384","31","red","3"
"100","89","22","817.757567933","1","1","1","49","0","left","1","out","Female","Right-handed","3","no","left","s","523.765157308","584.803628517","31","green","0"
"100","86","22","804.048546339","1","0","1","50","2","left","0","in","Female","Right-handed","3","no","left","d","479.168163365","361.223720065","31","green","3"
"100","86","22","805.845372157","1","1","1","51","3","left","1","in","Female","Right-handed","3","no","left","s","867.037442334","848.869199428","31","green","2"
"100","87","22","795.0630543","1","1","1","52","2","right","2","out","Female","Right-handed","3","no","right","s","421.708304897","521.478732302","31","green","3"
"100","87","22","788.209886415","1","1","1","53","3","right","1","out","Female","Right-handed","3","no","right","s","526.245939662","625.277424271","31","red","3"
"100","87","22","782.349200738","1","1","1","54","1","right","3","in","Female","Right-handed","3","no","right","d","708.858461665","480.756056506","31","green","0"
"100","88","22","785.408171","1","1","1","55","1","right","3","out","Female","Right-handed","3","no","right","s","1163.35639108","609.35198822","31","green","2"
"100","88","22","784.281901363","1","1","1","56","2","right","3","in","Female","Right-handed","3","no","right","d","1010.99786784","480.979599535","31","red","1"
"100","88","22","781.385380194","1","1","1","57","2","left","1","in","Female","Right-handed","3","no","left","s","974.411860545","385.602417984","31","red","3"
"100","89","22","777.528284707","1","1","1","58","2","left","0","in","Female","Right-handed","3","no","left","s","996.175072996","281.17062138","31","red","2"
"100","89","22","769.312780496","1","1","1","59","2","right","1","in","Female","Right-handed","3","no","right","d","569.821434983","360.856814437","31","green","2"
"100","89","22","767.85223746","1","1","1","60","2","left","3","in","Female","Right-handed","3","no","left","s","895.305532318","529.397671817","31","red","2"
"100","87","22","759.557013574","1","0","1","61","3","left","3","in","Female","Right-handed","3","no","left","d","590.999971777","281.086592295","31","green","0"
"100","87","22","762.631107902","1","1","1","62","3","right","3","out","Female","Right-handed","3","no","right","d","962.616037112","808.573724939","31","red","1"
"100","88","22","758.124609941","1","1","1","63","2","left","3","in","Female","Right-handed","3","no","left","s","513.384678739","633.331708341","31","red","0"
"100","86","22","753.641761349","1","0","1","64","0","right","3","in","Female","Right-handed","3","no","right","d","513.880193768","616.844047148","31","green","0"
"100","86","22","752.900771067","1","1","1","65","0","right","3","in","Female","Right-handed","3","no","right","d","577.571995607","864.504382342","31","green","0"
"100","86","22","750.272638391","1","1","1","66","1","left","0","out","Female","Right-handed","3","no","left","d","796.117535523","473.152065704","31","red","3"
"100","86","22","747.79389835","1","1","1","67","2","right","3","out","Female","Right-handed","3","no","right","s","495.785716848","776.715476233","31","red","0"
"100","87","22","745.984062752","1","1","1","68","1","right","3","in","Female","Right-handed","3","no","right","s","868.334440893","457.128809532","31","red","1"
"100","85","22","743.91043034","1","0","1","69","3","right","0","out","Female","Right-handed","3","no","right","d","452.026768715","840.872645258","31","green","1"
"100","85","22","743.58836739","1","1","1","70","0","left","3","in","Female","Right-handed","3","no","left","s","711.646495412","744.612196147","31","green","1"
"100","86","22","740.887972551","1","1","1","71","1","left","3","in","Female","Right-handed","3","no","left","s","528.077260576","689.059990353","31","green","0"
"100","86","22","739.050529691","1","1","1","72","0","right","3","out","Female","Right-handed","3","no","right","s","757.669418032","536.687355358","31","red","2"
"100","86","22","736.920518797","1","1","1","73","1","right","1","out","Female","Right-handed","3","no","right","d","536.121922996","720.45800342","31","red","0"
"100","84","22","736.845000358","1","0","1","74","2","left","2","in","Female","Right-handed","3","no","left","s","784.934290539","680.90179245","31","red","1"
"100","85","22","733.877251799","1","1","1","75","3","left","3","out","Female","Right-handed","3","no","left","d","696.507468965","456.665687398","31","red","0"
"100","85","22","734.218215197","1","1","1","76","3","right","0","out","Female","Right-handed","3","no","right","d","952.193864723","553.066612614","31","green","2"
"100","85","22","729.531125835","1","1","1","77","2","left","3","in","Female","Right-handed","3","no","left","d","454.642574907","488.839846974","31","red","2"
"100","84","22","725.475894174","1","0","1","78","2","right","1","out","Female","Right-handed","3","no","right","s","468.237967805","528.527874561","31","green","3"
"100","82","22","721.096322547","1","0","1","79","0","left","1","in","Female","Right-handed","3","no","left","s","445.858007523","497.06347211","31","red","3"
"100","81","22","721.44306207","1","0","1","80","0","left","3","in","Female","Right-handed","3","no","left","s","834.546730435","648.561178306","31","green","1"
"100","80","22","721.946932532","1","0","1","81","2","left","3","in","Female","Right-handed","3","no","left","d","734.249998717","769.100580892","31","red","2"
"100","80","22","721.722995527","1","1","1","82","0","left","1","in","Female","Right-handed","3","no","left","d","983.850379478","432.72317099","31","red","3"
"100","79","22","723.01557017","1","0","1","83","2","left","2","out","Female","Right-handed","3","no","left","d","731.358051144","872.36719556","31","green","3"
"98","77","22","730.116682526","0","0","1","84","2","right","3","in","Female","Right-handed","3","no","left","s","1391.94501034","948.826286865","31","red","1"
"98","76","22","726.536877343","1","0","1","85","3","left","2","out","Female","Right-handed","3","no","left","s","497.441923715","504.576377949","31","green","3"
"98","76","22","726.315205682","1","1","1","86","0","right","3","out","Female","Right-handed","3","no","right","s","511.146361987","913.110076821","31","green","0"
"98","77","22","723.873052947","1","1","1","87","2","right","0","out","Female","Right-handed","3","no","right","d","641.617553487","488.648696843","31","green","1"
"98","76","22","723.448371867","1","0","1","88","3","left","3","out","Female","Right-handed","3","no","left","d","590.430370037","800.408471157","31","green","2"
"98","76","22","727.181278282","1","1","1","89","0","right","3","in","Female","Right-handed","3","no","right","d","1185.72929549","768.842720645","31","red","2"
"98","76","22","727.92619647","1","1","1","90","0","left","3","out","Female","Right-handed","3","no","left","s","604.614928699","952.54633787","31","green","0"
"98","77","22","727.621455475","1","1","1","91","3","left","3","out","Female","Right-handed","3","no","left","d","732.056583005","681.132070629","31","red","1"
"98","77","22","724.860554722","1","1","1","92","1","left","1","out","Female","Right-handed","3","no","left","s","550.469729002","512.725274923","31","red","2"
"98","76","22","723.115668246","1","0","1","93","3","left","2","out","Female","Right-handed","3","no","left","d","502.221318497","696.23613841","31","green","3"
"98","76","22","721.180879377","1","1","1","94","0","left","2","out","Female","Right-handed","3","no","left","d","746.822610108","416.929551557","31","green","3"
"98","75","22","722.961227624","1","0","1","95","1","right","2","in","Female","Right-handed","3","no","right","s","785.394846902","920.458452427","31","green","1"
"98","76","22","723.796299385","1","1","1","96","1","right","3","in","Female","Right-handed","3","no","right","s","850.140540249","721.042679081","31","red","2"
"98","76","22","721.834884889","1","1","1","97","3","right","2","in","Female","Right-handed","3","no","right","d","524.652594253","624.805001207","31","green","0"
"98","76","22","720.373368293","1","1","1","98","3","left","3","in","Female","Right-handed","3","no","left","s","946.275587175","272.320626765","31","green","2"
"98","76","22","718.540862724","1","1","1","99","0","right","3","in","Female","Right-handed","3","no","right","s","785.897097085","368.978770788","31","green","1"
"98","77","22","717.217936794","1","1","1","100","2","left","3","in","Female","Right-handed","3","no","left","d","739.479045329","488.58038312","31","green","1"
"98","77","22","719.210542331","1","1","1","101","3","left","0","out","Female","Right-handed","3","no","left","d","873.1289096","880.123849893","31","red","3"
"98","76","22","715.959255959","1","0","1","102","0","right","2","in","Female","Right-handed","3","no","right","d","462.817771062","448.894921308","31","red","0"
"98","76","22","716.854521059","1","1","1","103","3","right","3","out","Female","Right-handed","3","no","right","s","706.442785813","872.299202558","31","red","1"
"98","77","22","719.601635903","1","1","1","104","3","left","3","out","Female","Right-handed","3","no","left","d","800.785319156","1088.94478712","31","red","1"
"98","77","22","717.373542641","1","1","1","105","0","left","0","out","Female","Right-handed","3","no","left","s","776.574679407","288.308924271","31","green","3"
"98","76","22","713.553389674","1","0","1","106","1","left","3","in","Female","Right-handed","3","no","left","s","529.180863945","256.140216963","31","green","1"
"98","76","22","710.579141048","1","1","1","107","1","left","0","out","Female","Right-handed","3","no","left","d","370.842805314","544.69321045","31","red","1"
"98","77","22","709.811799548","1","1","1","108","0","left","2","in","Female","Right-handed","3","no","left","s","919.345548129","368.295312848","31","green","3"
"98","77","22","709.081319512","1","1","1","109","1","left","3","out","Female","Right-handed","3","no","left","s","522.907547482","768.151565379","31","red","1"
"98","77","22","712.968676027","1","1","1","110","1","right","0","in","Female","Right-handed","3","no","right","d","701.601171018","1408.51092763","31","green","3"
"98","77","22","717.793164223","1","1","1","111","0","left","1","out","Female","Right-handed","3","no","left","d","1478.16013506","816.185092343","31","red","2"
"98","78","22","717.072509199","1","1","1","112","3","right","3","out","Female","Right-handed","3","no","right","d","527.702016185","776.725097883","31","green","2"
"98","78","22","714.478522063","1","1","1","113","3","right","3","in","Female","Right-handed","3","no","right","s","596.365325109","360.486060152","31","green","0"
"98","78","22","712.592089891","1","1","1","114","2","right","0","out","Female","Right-handed","3","no","right","s","622.003176428","456.077483799","31","green","3"
"98","77","22","712.326522656","1","0","1","115","2","left","3","out","Female","Right-handed","3","no","left","s","854.685808194","520.571731333","31","green","1"
"98","76","22","717.018663235","1","0","1","116","3","left","0","out","Female","Right-handed","3","no","left","d","1452.13132399","864.028431337","31","red","3"
"97","76","22","716.514945591","0","0","1","117","2","left","3","out","Female","Right-handed","3","no","right","s","629.616468159","707.707070756","31","green","2"
"100","100","22","767.803101251","1","1","2","118","1","right","3","in","Female","Right-handed","3","no","right","s","878.736728537","656.869473965","31","red","2"
"100","100","22","636.557847932","1","1","2","119","0","left","2","in","Female","Right-handed","3","no","left","d","625.257860247","385.367328978","31","green","3"
"100","100","22","658.19036629","1","1","2","120","3","right","3","out","Female","Right-handed","3","no","right","s","905.956058563","496.95474745","31","red","1"
"75","100","22","635.424617892","0","1","2","121","1","left","3","out","Female","Right-handed","3","no","right","s","506.691537565","627.563207832","31","red","2"
"80","100","22","593.385820509","1","1","2","122","3","left","3","in","Female","Right-handed","3","no","left","s","489.210921987","361.250339963","31","green","2"
"83","100","22","615.205212711","1","1","2","123","3","left","3","out","Female","Right-handed","3","no","left","d","759.875021169","688.729326281","31","red","1"
"85","100","22","589.032481594","1","1","2","124","2","left","3","in","Female","Right-handed","3","no","left","s","542.492097415","321.500092366","31","green","1"
"87","100","22","587.794318287","1","1","2","125","0","left","3","in","Female","Right-handed","3","no","left","s","573.027689829","585.226660442","31","green","1"
"88","100","22","593.835525787","1","1","2","126","2","left","3","in","Female","Right-handed","3","no","left","d","867.572406129","416.757965446","31","red","2"
"90","90","22","597.334305548","1","0","2","127","1","right","1","in","Female","Right-handed","3","no","right","s","976.300269918","281.346376869","31","red","3"
"90","81","22","615.470877186","1","0","2","128","1","right","1","out","Female","Right-handed","3","no","right","s","840.924602177","752.748584975","31","red","0"
"91","75","22","601.480021069","1","0","2","129","3","left","0","in","Female","Right-handed","3","no","left","s","470.519902705","424.641304849","31","red","1"
"92","69","22","585.29573896","1","0","2","130","1","left","2","out","Female","Right-handed","3","no","left","d","453.033514135","329.135193177","31","red","3"
"92","71","22","578.257618423","1","1","2","131","3","right","2","in","Female","Right-handed","3","no","right","d","564.750183454","408.773919426","31","red","1"
"93","73","22","586.060782749","1","1","2","132","3","left","2","in","Female","Right-handed","3","no","left","s","645.338245933","745.271920685","31","red","3"
"93","75","22","601.46173325","1","1","2","133","1","right","0","in","Female","Right-handed","3","no","right","s","856.037650159","808.914331384","31","green","3"
"94","76","22","607.115850489","1","1","2","134","0","left","3","in","Female","Right-handed","3","no","left","s","770.500851835","624.66260077","31","red","0"
"94","72","22","612.06517799","1","0","2","135","3","right","3","in","Female","Right-handed","3","no","right","d","487.213467233","905.194023802","31","green","1"
"94","73","22","626.051249775","1","1","2","136","2","left","1","out","Female","Right-handed","3","no","left","d","810.697544042","944.903539741","31","green","2"
"95","75","22","644.190791887","1","1","2","137","0","left","1","in","Female","Right-handed","3","no","left","s","1025.31424312","952.369940933","31","green","2"
"95","76","22","636.962690353","1","1","2","138","2","right","2","out","Female","Right-handed","3","no","right","s","607.887572933","376.913746386","31","red","1"
"95","77","22","629.534990271","1","1","2","139","0","right","3","in","Female","Right-handed","3","no","right","d","474.462855295","472.643721809","31","green","2"
"95","78","22","622.060055724","1","1","2","140","3","left","3","in","Female","Right-handed","3","no","left","s","546.131968","369.091023386","31","red","1"
"95","79","22","630.736087573","1","1","2","141","3","right","3","out","Female","Right-handed","3","no","right","d","627.772318381","1032.79732184","31","red","0"
"96","80","22","628.44321045","1","1","2","142","0","right","0","in","Female","Right-handed","3","no","right","s","626.430739507","520.397579446","31","green","3"
"96","80","22","626.867315754","1","1","2","143","0","right","0","out","Female","Right-handed","3","no","right","s","494.046122345","680.89377441","31","green","1"
"96","81","22","629.674411882","1","1","2","144","0","right","2","in","Female","Right-handed","3","no","right","s","556.556385443","848.761436933","31","red","0"
"96","82","22","627.834990838","1","1","2","145","3","right","3","in","Female","Right-handed","3","no","right","d","660.143080364","496.198164958","31","green","2"
"96","82","22","623.457876058","1","1","2","146","3","left","2","in","Female","Right-handed","3","no","left","s","568.91732051","432.8800039","31","green","3"
"96","83","22","619.724699975","1","1","2","147","2","left","3","in","Female","Right-handed","3","no","left","s","478.342625709","544.582561462","31","green","2"
"93","83","22","619.783999521","0","1","2","148","0","left","1","in","Female","Right-handed","3","no","right","d","424.015576813","819.110394976","31","red","0"
"93","84","22","617.720303937","1","1","2","149","2","left","3","out","Female","Right-handed","3","no","left","s","794.664986941","312.826494694","31","green","2"
"93","84","22","612.935202826","1","1","2","150","3","right","1","out","Female","Right-handed","3","no","right","s","631.266260592","288.357673973","31","red","0"
"94","85","22","612.408456593","1","1","2","151","1","right","0","out","Female","Right-handed","3","no","right","s","749.016346541","441.035315311","31","red","2"
"94","85","22","608.040002793","1","1","2","152","0","right","3","out","Female","Right-handed","3","no","right","s","502.516703185","416.508443959","31","red","2"
"94","83","22","603.572164449","1","0","2","153","2","left","3","in","Female","Right-handed","3","no","left","s","638.181982624","256.213662233","31","green","0"
"94","83","22","605.106252672","1","1","2","154","2","right","0","out","Female","Right-handed","3","no","right","s","1047.78208115","272.884776237","31","red","3"
"94","81","22","609.496705445","1","0","2","155","1","left","3","in","Female","Right-handed","3","no","left","s","927.43575303","616.451163063","31","green","1"
"94","82","22","614.485681799","1","1","2","156","1","left","3","in","Female","Right-handed","3","no","left","s","591.08977385","1017.04379262","31","red","2"
"95","80","22","620.238649819","1","0","2","157","2","right","3","out","Female","Right-handed","3","no","right","s","1088.60482211","600.603983108","31","green","1"
"95","78","22","616.394453993","1","0","2","158","2","right","2","in","Female","Right-handed","3","no","right","s","533.027600028","392.22564183","31","green","3"
"95","78","22","613.045686592","1","1","2","159","0","right","1","in","Female","Right-handed","3","no","right","s","598.738986417","352.753459945","31","green","3"
"95","79","22","613.601427686","1","1","2","160","1","right","3","out","Female","Right-handed","3","no","right","s","697.384642819","576.500464405","31","green","1"
"95","79","22","618.545340922","1","1","2","161","0","left","0","in","Female","Right-handed","3","no","left","s","1246.06410329","416.2031169","31","red","3"
"95","80","22","615.094567288","1","1","2","162","0","right","3","out","Female","Right-handed","3","no","right","s","549.647077842","376.873976897","31","green","2"
"95","80","22","619.752170254","1","1","2","163","2","left","1","in","Female","Right-handed","3","no","left","d","906.380052653","752.308554802","31","red","3"
"95","78","22","613.766872554","1","0","2","164","2","right","3","out","Female","Right-handed","3","no","right","s","403.971753396","272.914603356","31","red","0"
"95","79","22","612.679412387","1","1","2","165","0","left","3","in","Female","Right-handed","3","no","left","d","562.546825371","560.590743713","31","green","0"
"95","79","22","614.239047314","1","1","2","166","2","left","3","out","Female","Right-handed","3","no","left","d","578.082584554","800.120463071","31","red","0"
"96","80","22","620.179896009","1","1","2","167","3","left","1","out","Female","Right-handed","3","no","left","d","1341.78028768","480.782676412","31","green","3"
"96","78","22","624.378174076","1","0","2","168","0","right","2","in","Female","Right-handed","3","no","right","s","1004.36887101","664.215283803","31","red","3"
"96","78","22","628.830203492","1","1","2","169","1","right","3","in","Female","Right-handed","3","no","right","s","1143.80712053","567.960286953","31","red","2"
"96","79","22","631.060184795","1","1","2","170","0","left","1","in","Female","Right-handed","3","no","left","s","1093.5038461","400.53457893","31","red","3"
"96","77","22","642.615710688","1","0","2","171","2","left","0","out","Female","Right-handed","3","no","left","s","1061.98941105","1448.127755","31","green","1"
"96","78","22","647.55044136","1","1","2","172","3","left","3","out","Female","Right-handed","3","no","left","d","1107.64254155","720.409253718","31","red","2"
"96","76","22","648.858481595","1","0","2","173","3","right","3","in","Female","Right-handed","3","no","right","s","673.35168289","768.249706216","31","red","0"
"96","77","22","657.181946929","1","1","2","174","1","left","2","out","Female","Right-handed","3","no","left","s","701.783661665","1544.80834954","31","green","0"
"94","75","22","680.974388912","0","0","2","175","2","right","1","in","Female","Right-handed","3","no","None","s","3000.1802456","1074.10691835","31","green","3"
"94","76","22","681.199229211","1","1","2","176","1","left","2","out","Female","Right-handed","3","no","left","s","523.81262412","864.667308964","31","red","3"
"95","76","22","681.101989608","1","1","2","177","0","right","3","in","Female","Right-handed","3","no","right","d","590.255255986","760.474450028","31","red","1"
"95","75","22","683.796410954","1","0","2","178","2","right","1","in","Female","Right-handed","3","no","right","s","522.993500897","1167.92988254","31","red","0"
"95","74","22","686.071792642","1","0","2","179","1","right","2","out","Female","Right-handed","3","no","right","d","497.330633287","1152.40951799","31","green","1"
"95","74","22","683.969258794","1","1","2","180","2","right","3","out","Female","Right-handed","3","no","right","d","451.117522694","656.10679776","31","green","1"
"95","75","22","683.309435223","1","1","2","181","2","left","3","out","Female","Right-handed","3","no","left","s","978.764695468","304.716405044","31","red","2"
"93","75","22","683.278473475","0","1","2","182","1","right","1","in","Female","Right-handed","3","no","left","s","1071.36570997","291.228133196","31","green","2"
"93","74","22","685.953511545","1","0","2","183","2","left","2","in","Female","Right-handed","3","no","left","d","799.830851374","919.83112078","31","green","0"
"94","74","22","693.467903244","1","1","2","184","0","right","2","in","Female","Right-handed","3","no","right","d","802.478409016","1576.3571018","31","red","1"
"94","73","22","692.717594958","1","0","2","185","2","left","0","out","Female","Right-handed","3","no","left","s","812.929767082","471.964112527","31","red","2"
"94","73","22","696.709693295","1","1","2","186","2","left","2","out","Female","Right-handed","3","no","left","d","1223.70563136","712.639129073","31","red","3"
"94","74","22","707.594490569","1","1","2","187","3","right","0","in","Female","Right-handed","3","no","right","s","1365.14293925","1552.14806566","31","green","3"
"94","73","22","708.334291734","1","0","2","188","0","left","3","out","Female","Right-handed","3","no","left","s","704.625576658","815.615169879","31","red","0"
"94","73","22","712.852930177","1","1","2","189","1","right","1","out","Female","Right-handed","3","no","right","d","683.142995695","1384.20952364","31","green","3"
"94","73","22","714.358709227","1","1","2","190","2","left","0","out","Female","Right-handed","3","no","left","d","605.712438355","1039.83716318","31","red","3"
"94","74","22","721.999374575","1","1","2","191","3","right","0","out","Female","Right-handed","3","no","right","s","551.268646763","2008.26724328","31","green","3"
"94","74","22","725.85879436","1","1","2","192","2","left","3","out","Female","Right-handed","3","no","left","d","1151.00539839","871.906318476","31","green","1"
"94","75","22","730.615377842","1","1","2","193","1","left","3","out","Female","Right-handed","3","no","left","s","1366.36777542","808.350502633","31","green","0"
"94","74","22","739.451477839","1","0","2","194","1","right","0","out","Female","Right-handed","3","no","right","s","1773.92423527","1048.06591985","31","green","1"
"94","74","22","740.170406183","1","1","2","195","3","right","3","out","Female","Right-handed","3","no","right","s","655.539761792","935.516015557","31","green","0"
"94","74","22","742.923009757","1","1","2","196","0","right","3","out","Female","Right-handed","3","no","right","s","395.17339498","1520.07878208","31","red","0"
"95","75","22","740.552154079","1","1","2","197","1","right","3","in","Female","Right-handed","3","no","right","d","778.769057284","327.740053781","31","red","1"
"95","75","22","741.320368004","1","1","2","198","1","right","3","out","Female","Right-handed","3","no","right","d","589.26166016","1016.29330384","31","green","1"
"95","75","22","744.711334355","1","1","2","199","3","left","1","in","Female","Right-handed","3","no","left","d","862.796860009","1175.96235753","31","green","3"
"95","74","22","744.353253948","1","0","2","200","1","left","3","in","Female","Right-handed","3","no","left","d","534.477903559","895.503417611","31","red","0"
"95","75","22","752.088285811","1","1","2","201","0","right","3","in","Female","Right-handed","3","no","right","d","836.087477488","1952.10438337","31","green","1"
"95","75","22","757.07703373","1","1","2","202","3","left","3","out","Female","Right-handed","3","no","left","s","1440.676107","911.587610906","31","green","2"
"95","75","22","766.391409256","1","1","2","203","1","left","0","out","Female","Right-handed","3","no","left","d","2316.24121864","799.985439233","31","green","3"
