"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","0","19","3000.11497618","0","0","0","0","3","right","1","in","Female","Right-handed","3","yes","None","None","3000.09396938","3000.13598299","11","red","3"
"0","0","19","2526.18746987","0","0","0","1","2","left","0","out","Female","Right-handed","3","yes","None","d","3000.09204509","1104.42788203","11","red","1"
"33","0","19","2354.14872669","1","0","0","2","1","right","1","out","Female","Right-handed","3","yes","right","None","1020.01194983","3000.13053084","11","green","3"
"25","0","19","2515.63126897","0","0","0","3","0","right","0","out","Female","Right-handed","3","yes","None","None","3000.03110932","3000.12668227","11","red","3"
"40","20","19","2196.98185108","1","1","0","4","2","left","2","out","Female","Right-handed","3","yes","left","d","1242.83483487","601.933524202","11","red","1"
"50","33","19","2010.20441707","1","1","0","5","0","right","0","in","Female","Right-handed","3","yes","right","s","1047.27846398","1105.35603009","11","red","1"
"57","42","19","1906.87192432","1","1","0","6","2","left","1","out","Female","Right-handed","3","yes","left","s","947.872972643","1625.88096293","11","green","3"
"62","37","19","1781.95119237","1","0","0","7","2","left","0","out","Female","Right-handed","3","yes","left","s","1133.46666509","681.545472358","11","red","2"
"55","44","19","1750.60366506","0","1","0","8","2","left","0","in","Female","Right-handed","3","yes","right","s","1858.95805598","1140.68883724","11","red","3"
"60","40","19","1671.99581018","1","0","0","9","1","right","2","in","Female","Right-handed","3","yes","right","s","1207.50876273","721.54146984","11","red","1"
"63","45","19","1597.36288919","1","1","0","10","2","left","2","in","Female","Right-handed","3","yes","left","s","1156.06806462","545.999293787","11","green","3"
"66","50","19","1529.09989255","1","1","0","11","0","left","1","out","Female","Right-handed","3","yes","left","s","978.750733233","577.66312587","11","green","2"
"69","46","19","1473.91547951","1","0","0","12","3","left","2","in","Female","Right-handed","3","yes","left","s","854.326937109","769.078109079","11","red","3"
"71","50","19","1413.58734449","1","1","0","13","0","left","1","out","Female","Right-handed","3","yes","left","s","680.882234561","577.760943825","11","green","0"
"73","53","19","1369.38371803","1","1","0","14","0","right","0","out","Female","Right-handed","3","yes","right","s","827.57869775","673.487197235","11","red","1"
"75","56","19","1323.41752599","1","1","0","15","1","left","3","in","Female","Right-handed","3","yes","left","d","745.072300297","522.77699078","11","red","0"
"76","58","19","1290.16645258","1","1","0","16","0","left","0","out","Female","Right-handed","3","yes","left","d","1034.73403298","481.564522806","11","green","3"
"77","61","19","1266.30503244","1","1","0","17","0","left","1","in","Female","Right-handed","3","yes","left","s","1127.95069462","593.371085717","11","red","3"
"78","63","19","1235.30224473","1","1","0","18","1","right","1","in","Female","Right-handed","3","yes","right","s","472.786243396","881.717888529","11","green","0"
"80","65","19","1206.95925032","1","1","0","19","0","right","3","in","Female","Right-handed","3","yes","right","s","903.455924352","433.42878869","11","red","1"
"80","61","19","1183.91082656","1","0","0","20","1","right","1","out","Female","Right-handed","3","yes","right","s","996.924026238","448.96067622","11","green","2"
"81","63","19","1163.37620287","1","1","0","21","2","left","3","in","Female","Right-handed","3","yes","left","d","1038.64065757","425.657553134","11","green","2"
"100","100","19","493.94234257","1","1","1","22","0","left","3","in","Female","Right-handed","3","no","left","s","625.949595853","361.935089288","11","red","0"
"100","50","19","544.964588297","1","0","1","23","3","right","2","in","Female","Right-handed","3","no","right","d","574.47650557","617.497162479","11","red","0"
"100","66","19","586.007104256","1","1","1","24","2","right","3","out","Female","Right-handed","3","no","right","s","831.053961194","505.130311154","11","green","1"
"100","75","19","578.559122294","1","1","1","25","0","right","2","in","Female","Right-handed","3","no","right","s","686.768951105","425.661401709","11","green","3"
"100","60","19","568.431676725","1","0","1","26","2","right","0","out","Female","Right-handed","3","no","right","s","718.381468852","337.462320043","11","red","3"
"100","66","19","571.353386762","1","1","1","27","2","left","2","in","Female","Right-handed","3","no","left","s","617.991062967","553.932810932","11","green","0"
"100","57","19","558.112936349","1","0","1","28","1","left","3","out","Female","Right-handed","3","no","left","s","611.681965289","345.658502449","11","red","0"
"100","62","19","558.619613879","1","1","1","29","3","right","3","in","Female","Right-handed","3","no","right","s","795.172411361","329.160301819","11","red","1"
"100","55","19","580.750128651","1","0","1","30","3","left","0","out","Female","Right-handed","3","no","left","d","897.757146564","617.831347095","11","green","3"
"100","60","19","572.462866861","1","1","1","31","2","right","3","in","Female","Right-handed","3","no","right","d","546.398262753","449.356758754","11","red","0"
"100","63","19","566.933662546","1","1","1","32","0","right","1","out","Female","Right-handed","3","no","right","s","422.198004706","601.085234075","11","green","0"
"100","58","19","584.539661225","1","0","1","33","2","right","3","in","Female","Right-handed","3","no","right","d","1026.68922787","529.722065517","11","green","2"
"100","61","19","591.13622301","1","1","1","34","1","right","3","in","Female","Right-handed","3","no","right","s","827.30127962","513.288649236","11","red","1"
"100","64","19","591.403524534","1","1","1","35","1","left","1","out","Female","Right-handed","3","no","left","d","667.870201669","521.886687042","11","red","3"
"100","66","19","592.507657863","1","1","1","36","3","left","1","in","Female","Right-handed","3","no","left","s","750.603344348","465.327704578","11","green","3"
"100","68","19","580.483710585","1","1","1","37","3","right","3","in","Female","Right-handed","3","no","right","s","431.065763492","369.183239325","11","red","0"
"100","70","19","571.736650146","1","1","1","38","0","right","3","out","Female","Right-handed","3","no","right","s","469.846894055","393.720472206","11","red","0"
"100","72","19","571.158900081","1","1","1","39","2","right","3","in","Female","Right-handed","3","no","right","s","753.353792788","369.320505177","11","green","1"
"100","73","19","564.885349678","1","1","1","40","3","right","1","out","Female","Right-handed","3","no","right","s","574.894075984","329.02880883","11","red","3"
"100","75","19","566.699048151","1","1","1","41","3","left","0","in","Female","Right-handed","3","no","left","s","632.701921113","569.616717185","11","red","3"
"100","76","19","565.915800474","1","1","1","42","2","left","3","out","Female","Right-handed","3","no","left","s","723.274932272","377.22676158","11","green","0"
"100","77","19","560.164849639","1","1","1","43","1","right","2","in","Female","Right-handed","3","no","right","d","533.896486795","344.893277404","11","red","0"
"100","78","19","559.136133463","1","1","1","44","1","left","0","out","Female","Right-handed","3","no","left","d","631.604756454","441.403998735","11","red","1"
"100","75","19","557.531783352","1","0","1","45","1","right","3","in","Female","Right-handed","3","no","right","s","464.163510567","577.099951026","11","red","0"
"100","76","19","562.716529663","1","1","1","46","1","right","0","out","Female","Right-handed","3","no","right","d","924.705832549","449.595049708","11","red","3"
"100","76","19","573.928478324","1","1","1","47","2","right","1","out","Female","Right-handed","3","no","right","d","1187.26493624","521.189453493","11","red","2"
"100","77","19","573.446886971","1","1","1","48","3","left","3","out","Female","Right-handed","3","no","left","d","640.936268557","480.914755021","11","green","0"
"100","75","19","575.058539578","1","0","1","49","2","left","1","out","Female","Right-handed","3","no","left","d","523.635543774","713.510776171","11","red","0"
"100","75","19","579.648028551","1","1","1","50","1","left","0","out","Female","Right-handed","3","no","left","d","927.181749286","489.125690297","11","green","3"
"100","76","19","590.033766972","1","1","1","51","0","left","1","in","Female","Right-handed","3","no","left","d","1053.60776668","728.832595636","11","red","2"
"100","77","19","587.850356263","1","1","1","52","0","left","3","out","Female","Right-handed","3","no","left","d","635.477385291","409.218684705","11","red","1"
"100","78","19","586.760486245","1","1","1","53","1","right","3","out","Female","Right-handed","3","no","right","d","649.056441602","456.892589793","11","red","1"
"100","78","19","585.34772475","1","1","1","54","0","left","1","out","Female","Right-handed","3","no","left","d","718.586084769","361.692629049","11","red","3"
"100","79","19","586.340384898","1","1","1","55","2","right","3","in","Female","Right-handed","3","no","right","s","573.004104826","665.19223473","11","red","1"
"100","80","19","582.798330213","1","1","1","56","2","left","2","in","Female","Right-handed","3","no","left","d","571.870378704","352.866563162","11","red","1"
"100","80","19","582.927656086","1","1","1","57","2","right","3","in","Female","Right-handed","3","no","right","d","693.521276367","481.386846917","11","red","2"
"100","81","19","583.215753148","1","1","1","58","1","left","3","out","Female","Right-handed","3","no","left","d","618.095295215","569.079199509","11","green","0"
"100","78","19","581.482545623","1","0","1","59","1","right","1","in","Female","Right-handed","3","no","right","s","345.861194079","688.846540308","11","green","0"
"100","76","19","582.914144956","1","0","1","60","1","left","3","in","Female","Right-handed","3","no","left","d","785.239559376","489.390279845","11","red","1"
"100","77","19","581.266149985","1","1","1","61","0","right","0","out","Female","Right-handed","3","no","right","s","720.902927065","313.085765179","11","green","3"
"100","78","19","580.298457323","1","1","1","62","3","right","2","out","Female","Right-handed","3","no","right","s","673.607785926","409.573715771","11","red","3"
"100","78","19","582.045614566","1","1","1","63","1","left","1","in","Female","Right-handed","3","no","left","d","922.206503643","385.151619432","11","green","2"
"100","79","19","596.108291628","1","1","1","64","1","left","2","in","Female","Right-handed","3","no","left","d","652.659990885","1720.82146556","11","red","3"
"100","79","19","597.15759904","1","1","1","65","2","right","3","out","Female","Right-handed","3","no","right","d","843.339254792","441.21638069","11","red","2"
"100","80","19","593.306949925","1","1","1","66","3","left","3","in","Female","Right-handed","3","no","left","s","526.956543492","320.800234251","11","green","1"
"100","78","19","590.074174455","1","0","1","67","3","left","1","in","Female","Right-handed","3","no","left","s","520.499917095","368.69863956","11","red","0"
"100","78","19","586.491354875","1","1","1","68","1","right","1","out","Female","Right-handed","3","no","right","s","530.211796717","313.151511671","11","green","3"
"100","79","19","588.279550964","1","1","1","69","3","left","0","out","Female","Right-handed","3","no","left","d","759.811060612","584.838473695","11","red","2"
"100","79","19","590.996887871","1","1","1","70","3","left","2","out","Female","Right-handed","3","no","left","d","489.462440631","953.395678114","11","red","3"
"100","78","19","592.407270985","1","0","1","71","3","right","3","in","Female","Right-handed","3","no","right","d","849.97002922","473.062057956","11","green","1"
"100","78","19","594.831701773","1","1","1","72","0","left","0","out","Female","Right-handed","3","no","left","d","887.624168669","544.482313711","11","green","2"
"100","78","19","594.626695726","1","1","1","73","0","right","3","out","Female","Right-handed","3","no","right","s","823.127820484","345.214954152","11","green","1"
