"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","0","19","1870.64775465","0","0","0","0","2","left","1","out","Female","Right-handed","1","yes","right","None","741.151507513","3000.14400178","25","green","2"
"50","50","19","1443.11031659","1","1","0","1","3","left","0","out","Female","Right-handed","1","yes","left","s","1101.57385287","929.571904194","25","red","1"
"66","33","19","1160.27563886","1","0","0","2","2","left","3","in","Female","Right-handed","1","yes","left","s","524.082132971","665.130433862","25","green","2"
"75","50","19","1107.76212092","1","1","0","3","1","right","2","in","Female","Right-handed","1","yes","right","s","986.767872016","913.675262194","25","red","1"
"80","60","19","1070.58935214","1","1","0","4","0","left","0","in","Female","Right-handed","1","yes","left","s","1202.4020395","641.394514526","25","red","3"
"83","66","19","978.393372027","1","1","0","5","0","left","2","in","Female","Right-handed","1","yes","left","s","536.863974763","497.96296813","25","green","3"
"85","71","19","917.76504105","1","1","0","6","2","left","3","out","Female","Right-handed","1","yes","left","s","618.448841042","489.541269339","25","green","0"
"87","62","19","871.619205412","1","0","0","7","3","left","0","out","Female","Right-handed","1","yes","left","s","520.058742464","577.137969421","25","red","3"
"88","66","19","832.530918066","1","1","0","8","3","left","0","in","Female","Right-handed","1","yes","left","s","565.880493917","473.768744686","25","red","3"
"90","70","19","840.108280359","1","1","0","9","3","right","3","out","Female","Right-handed","1","yes","right","d","831.318430913","985.290651077","25","red","0"
"90","63","19","820.684472331","1","0","0","10","0","left","2","out","Female","Right-handed","1","yes","left","s","755.891003801","497.001780298","25","red","0"
"91","66","19","815.469522242","1","1","0","11","1","left","3","out","Female","Right-handed","1","yes","left","s","842.61503385","673.595108686","25","green","1"
"92","69","19","787.099164925","1","1","0","12","2","right","2","in","Female","Right-handed","1","yes","right","s","572.113942932","321.195811312","25","green","3"
"85","64","19","788.506181516","0","0","0","13","1","right","1","out","Female","Right-handed","1","yes","left","s","985.771084635","627.823709749","25","green","2"
"86","60","19","778.866771199","1","0","0","14","1","right","0","in","Female","Right-handed","1","yes","right","s","654.472698513","633.357355011","25","green","1"
"87","62","19","759.745977973","1","1","0","15","3","right","2","out","Female","Right-handed","1","yes","right","s","576.908977725","368.959181429","25","green","0"
"88","64","19","754.440638167","1","1","0","16","3","left","1","in","Female","Right-handed","1","yes","left","d","857.609179167","481.501223374","25","red","2"
"88","61","19","746.480214829","1","0","0","17","0","right","0","out","Female","Right-handed","1","yes","right","s","405.138907196","817.16712898","25","green","1"
