"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","0","26","3000.16613121","0","0","0","0","1","left","2","out","Male","Right-handed","3","yes","None","None","3000.13181454","3000.20044789","3","green","0"
"0","0","26","3000.13101275","0","0","0","1","0","left","2","in","Male","Right-handed","3","yes","None","None","3000.10872295","3000.08306562","3","green","3"
"33","0","26","2549.81055801","1","0","0","2","1","left","3","out","Male","Right-handed","3","yes","left","s","1688.73774583","1609.60155126","3","green","0"
"50","25","26","2302.15454245","1","1","0","3","1","right","3","out","Male","Right-handed","3","yes","right","s","1717.14554474","1401.2274468","3","green","1"
"40","40","26","2242.08960374","0","1","0","4","0","right","3","in","Male","Right-handed","3","yes","None","s","3000.12283446","1003.53686334","3","red","1"
"50","50","26","2066.43768566","1","1","0","5","0","right","3","out","Male","Right-handed","3","yes","right","s","1463.08246558","913.27372496","3","red","2"
"57","57","26","1907.76067426","1","1","0","6","0","left","2","out","Male","Right-handed","3","yes","left","s","1213.71756474","697.679647012","3","green","1"
"62","62","26","1917.32267255","1","1","0","7","2","right","3","out","Male","Right-handed","3","yes","right","s","1399.26883017","2569.24449097","3","red","1"
"66","66","26","1803.52854608","1","1","0","8","3","left","3","in","Male","Right-handed","3","yes","left","d","976.729761256","809.621307388","3","green","1"
"70","60","26","1724.1977834","1","0","0","9","3","right","1","in","Male","Right-handed","3","yes","right","d","1243.24819268","777.193645859","3","red","2"
"72","54","26","1683.98191135","1","0","0","10","0","left","1","out","Male","Right-handed","3","yes","left","d","1185.89218726","1377.7541944","3","red","3"
"75","50","26","1639.04911359","1","0","0","11","1","right","0","out","Male","Right-handed","3","yes","right","d","1240.2552648","1049.32141167","3","red","2"
"76","46","26","1678.09084083","1","0","0","12","1","left","3","out","Male","Right-handed","3","yes","left","None","1292.94580501","3000.23733033","3","red","1"
"78","50","26","1667.16849661","1","1","0","13","2","left","0","in","Male","Right-handed","3","yes","left","d","1921.0713091","1129.28473452","3","red","3"
"80","46","26","1638.46655316","1","0","0","14","2","left","1","out","Male","Right-handed","3","yes","left","s","1423.64842782","1049.63026178","3","red","3"
"81","50","26","1590.89548141","1","1","0","15","1","left","3","in","Male","Right-handed","3","yes","left","d","984.195724392","770.463085995","3","red","0"
"82","52","26","1563.30614845","1","1","0","16","0","right","0","in","Male","Right-handed","3","yes","right","d","1457.83650313","785.917139001","3","red","2"
"83","55","26","1579.1358115","1","1","0","17","0","left","0","out","Male","Right-handed","3","yes","left","s","999.222582817","2697.25758393","3","green","3"
"84","57","26","1549.27777731","1","1","0","18","3","right","2","out","Male","Right-handed","3","yes","right","d","1190.75681755","832.90950628","3","green","1"
"85","60","26","1526.58568732","1","1","0","19","3","right","0","out","Male","Right-handed","3","yes","right","d","1421.43804862","769.433906215","3","red","1"
"85","61","26","1498.91437411","1","1","0","20","2","left","1","out","Male","Right-handed","3","yes","left","s","1002.01570423","888.960515615","3","green","0"
"86","63","26","1465.14949901","1","1","0","21","3","right","0","out","Male","Right-handed","3","yes","right","d","774.606103805","737.568140263","3","green","3"
"100","100","26","1221.15113548","1","1","1","22","3","left","3","out","Male","Right-handed","3","no","left","d","1809.12612085","633.176150121","3","green","0"
"100","100","26","1149.70861288","1","1","1","23","1","right","0","out","Male","Right-handed","3","no","right","d","986.830732494","1169.70144806","3","red","3"
"100","100","26","1037.19698557","1","1","1","24","2","right","0","out","Male","Right-handed","3","no","right","s","679.240363359","945.107098523","3","green","3"
"100","100","26","998.226116157","1","1","1","25","2","left","1","out","Male","Right-handed","3","no","left","d","1088.72690561","673.90011024","3","red","0"
"100","100","26","977.981678743","1","1","1","26","0","right","3","in","Male","Right-handed","3","no","right","d","1104.50199596","689.505862218","3","red","0"
"100","100","26","968.302930999","1","1","1","27","2","left","1","in","Male","Right-handed","3","no","left","d","926.902579435","912.915805122","3","red","3"
"100","100","26","1010.96232455","1","1","1","28","3","right","3","in","Male","Right-handed","3","no","right","s","1532.41916257","1001.41820908","3","red","1"
"100","100","26","1098.15216691","1","1","1","29","3","right","3","out","Male","Right-handed","3","no","right","s","736.011702305","2680.9504246","3","green","2"
"100","100","26","1048.58110852","1","1","1","30","0","left","3","out","Male","Right-handed","3","no","left","s","694.509362831","609.515919903","3","green","2"
"100","100","26","1076.42995532","1","1","1","31","1","right","1","out","Male","Right-handed","3","no","right","d","1036.95810508","1617.18104809","3","red","3"
"100","100","26","1063.25918918","1","1","1","32","3","left","3","in","Male","Right-handed","3","no","left","d","1053.67417817","809.428877372","3","green","1"
"100","100","26","1052.3017514","1","1","1","33","0","right","3","in","Male","Right-handed","3","no","right","s","702.184753958","1161.35511769","3","green","2"
"100","100","26","1033.64954269","1","1","1","34","2","right","2","out","Male","Right-handed","3","no","right","s","658.98838907","960.657687247","3","green","3"
"100","100","26","1089.67041965","1","1","1","35","0","left","1","out","Male","Right-handed","3","no","left","d","1258.39339555","2377.4902446","3","red","0"
"100","100","26","1063.51531545","1","1","1","36","2","left","2","out","Male","Right-handed","3","no","left","d","760.780329292","633.907384094","3","green","1"
"100","100","26","1055.20452783","1","1","1","37","3","left","1","out","Male","Right-handed","3","no","left","d","603.58362383","1257.50180325","3","green","3"
"100","100","26","1047.13694445","1","1","1","38","0","right","3","out","Male","Right-handed","3","no","right","s","1035.08159192","801.029628783","3","red","1"
"100","100","26","1060.74947279","1","1","1","39","2","right","0","in","Male","Right-handed","3","no","right","d","790.678819263","1793.64608979","3","red","2"
"100","100","26","1038.53933108","1","1","1","40","2","right","0","in","Male","Right-handed","3","no","right","s","732.242319413","545.27124131","3","green","3"
"100","100","26","1025.93152154","1","1","1","41","2","right","3","in","Male","Right-handed","3","no","right","d","835.84951589","736.916764727","3","red","1"
"100","95","26","1033.16248451","1","0","1","42","3","left","0","in","Male","Right-handed","3","no","left","s","1762.2976398","593.265848118","3","red","3"
"100","95","26","1022.62972384","1","1","1","43","0","right","3","in","Male","Right-handed","3","no","right","s","689.965449215","912.918050133","3","green","2"
"100","95","26","1002.3432605","1","1","1","44","3","right","0","out","Male","Right-handed","3","no","right","s","566.463236086","545.618898177","3","red","2"
"100","95","26","1009.35521813","1","1","1","45","0","right","3","out","Male","Right-handed","3","no","right","d","1388.14958354","953.110903502","3","green","0"
"100","96","26","998.413921412","1","1","1","46","3","left","3","out","Male","Right-handed","3","no","left","s","653.802400688","817.843199678","3","green","2"
