"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","100","21","1200.7322282","1","1","0","0","2","left","2","in","Female","Right-handed","1","yes","left","d","1250.44507455","1151.01938185","21","green","1"
"100","50","21","1258.36765803","1","0","0","1","0","left","3","out","Female","Right-handed","1","yes","left","s","1560.03831924","1071.96785649","21","green","0"
"100","33","21","1300.92999279","1","0","0","2","2","left","2","out","Female","Right-handed","1","yes","left","s","1970.54506117","801.564263442","21","green","1"
"100","50","21","1183.47695025","1","1","0","3","3","left","0","in","Female","Right-handed","1","yes","left","s","724.164428888","938.071216398","21","green","3"
"100","40","21","1375.76142144","1","0","0","4","3","right","0","out","Female","Right-handed","1","yes","right","None","1289.67192932","3000.12668307","21","red","2"
"100","50","21","1316.23269426","1","1","0","5","2","left","0","out","Female","Right-handed","1","yes","left","d","1387.16466268","650.013454084","21","red","1"
"100","57","21","1300.6506104","1","1","0","6","1","left","0","in","Female","Right-handed","1","yes","left","s","1348.61355793","1065.70265652","21","red","2"
"100","62","21","1260.1588205","1","1","0","7","3","right","3","out","Female","Right-handed","1","yes","right","d","856.181990035","1097.25059228","21","red","1"
"100","66","21","1209.88248835","1","1","0","8","0","left","3","out","Female","Right-handed","1","yes","left","d","805.667512381","809.676149918","21","red","1"
"100","60","21","1170.07078537","1","0","0","9","0","left","2","out","Female","Right-handed","1","yes","left","s","926.307329297","697.223587951","21","red","1"
"90","54","21","1336.4355527","0","0","0","10","1","right","3","out","Female","Right-handed","1","yes","None","None","3000.08498991","3000.08146206","21","green","1"
"91","50","21","1290.61531736","1","0","0","11","3","right","2","in","Female","Right-handed","1","yes","right","d","700.074438326","873.111018969","21","green","3"
"92","53","21","1263.27919315","1","1","0","12","0","right","1","out","Female","Right-handed","1","yes","right","d","884.677023889","985.814381391","21","green","3"
"92","50","21","1312.33939254","1","0","0","13","2","left","1","out","Female","Right-handed","1","yes","left","None","900.107985275","3000.13598386","21","red","2"
"93","46","21","1369.20971459","1","0","0","14","2","right","0","out","Female","Right-handed","1","yes","right","None","1330.69575953","3000.09268711","21","green","3"
"93","50","21","1356.42047293","1","1","0","15","2","left","0","out","Female","Right-handed","1","yes","left","s","1096.06618565","1233.09751038","21","red","1"
"94","52","21","1355.48258245","1","1","0","16","1","right","1","out","Female","Right-handed","1","yes","right","d","1703.51476595","977.437903639","21","green","2"
"94","55","21","1321.79979205","1","1","0","17","2","right","2","out","Female","Right-handed","1","yes","right","d","529.171264934","969.213445584","21","red","3"
"94","57","21","1313.87089598","1","1","0","18","3","left","3","in","Female","Right-handed","1","yes","left","d","1316.68685577","1025.61467755","21","green","0"
"95","60","21","1291.65823182","1","1","0","19","3","left","1","out","Female","Right-handed","1","yes","left","s","826.245976205","912.989249278","21","red","0"
"95","61","21","1289.57744771","1","1","0","20","1","right","2","out","Female","Right-handed","1","yes","right","s","935.089834355","1560.83369654","21","green","0"
"95","59","21","1348.31204781","1","0","0","21","2","left","1","in","Female","Right-handed","1","yes","left","None","2163.39006493","3000.08723492","21","red","2"
"100","0","21","874.660561516","1","0","1","22","1","left","0","out","Female","Right-handed","1","no","left","s","779.652901198","969.668221835","21","red","1"
"100","50","21","908.971872188","1","1","1","23","0","left","0","out","Female","Right-handed","1","no","left","d","1085.30742454","801.258941181","21","red","3"
"100","66","21","1003.71063831","1","1","1","24","2","right","3","in","Female","Right-handed","1","no","right","s","1336.58636242","1049.78997869","21","green","1"
"100","75","21","944.497736858","1","1","1","25","2","right","1","out","Female","Right-handed","1","no","right","s","860.365097411","673.352967598","21","green","0"
"100","80","21","940.48739952","1","1","1","26","2","right","1","in","Female","Right-handed","1","no","right","s","1023.01623113","825.875869195","21","green","2"
"100","83","21","937.730054065","1","1","1","27","1","left","1","in","Female","Right-handed","1","no","left","s","886.518578947","961.368074641","21","green","2"
"100","85","21","923.289774969","1","1","1","28","0","right","3","in","Female","Right-handed","1","no","right","d","1016.09259989","657.203600887","21","red","0"
