"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"100","0","19","2289.22196383","1","0","0","0","3","left","3","out","Female","Right-handed","1","yes","left","None","1578.33777045","3000.10615721","17","green","2"
"100","0","19","1952.14241937","1","0","0","1","2","right","2","out","Female","Right-handed","1","yes","right","s","1876.66840816","1353.45734164","17","red","1"
"100","33","19","1861.7995027","1","1","0","2","3","left","2","out","Female","Right-handed","1","yes","left","d","1896.05989962","1466.16743912","17","red","1"
"100","25","19","1742.01379434","1","0","0","3","1","right","1","out","Female","Right-handed","1","yes","right","d","923.683225585","1841.63011296","17","red","3"
"100","40","19","1623.72139087","1","1","0","4","0","right","0","out","Female","Right-handed","1","yes","right","d","1164.10622519","1136.99732875","17","red","2"
"100","50","19","1529.80064466","1","1","0","5","2","right","2","out","Female","Right-handed","1","yes","right","d","1158.71561959","961.678207648","17","green","3"
"100","42","19","1463.14095053","1","0","0","6","1","left","3","out","Female","Right-handed","1","yes","left","d","917.148944369","1209.21662712","17","green","0"
"100","50","19","1475.34464614","1","1","0","7","0","right","2","out","Female","Right-handed","1","yes","right","s","1415.74917649","1705.79185427","17","green","1"
"100","44","19","1426.33549892","1","0","0","8","0","left","2","in","Female","Right-handed","1","yes","left","d","915.28269407","1153.24194834","17","green","3"
"100","50","19","1458.28451224","1","1","0","9","2","left","1","out","Female","Right-handed","1","yes","left","s","1057.92784324","2433.72342101","17","red","0"
"100","54","19","1446.00624226","1","1","0","10","2","left","0","in","Female","Right-handed","1","yes","left","d","1781.15898665","865.288098168","17","green","2"
"100","58","19","1394.57209502","1","1","0","11","1","right","2","out","Female","Right-handed","1","yes","right","d","799.879859551","857.713091362","17","green","0"
"100","61","19","1356.63624817","1","1","0","12","2","left","1","in","Female","Right-handed","1","yes","left","s","809.43016024","993.382011715","17","green","0"
"92","64","19","1322.78939513","0","1","0","13","2","left","0","in","Female","Right-handed","1","yes","right","d","809.757291252","955.80331987","17","red","2"
"93","66","19","1290.64465225","1","1","0","14","1","left","1","in","Female","Right-handed","1","yes","left","s","775.759400916","905.477102933","17","red","0"
"93","68","19","1290.54788669","1","1","0","15","0","right","1","out","Female","Right-handed","1","yes","right","d","1521.16264921","1057.0301573","17","green","2"
"94","70","19","1270.32018786","1","1","0","16","0","right","1","in","Female","Right-handed","1","yes","right","d","899.736916122","993.617097032","17","red","2"
"94","72","19","1239.7947335","1","1","0","17","1","left","2","in","Female","Right-handed","1","yes","left","s","648.381006264","793.34301257","17","green","3"
"94","73","19","1227.58574136","1","1","0","18","3","right","2","in","Female","Right-handed","1","yes","right","d","693.788071076","1321.85969478","17","green","0"
"95","70","19","1207.18292267","1","0","0","19","2","left","1","in","Female","Right-handed","1","yes","left","d","949.533629871","689.525105234","17","green","3"
"95","71","19","1187.09282825","1","1","0","20","3","left","1","out","Female","Right-handed","1","yes","left","d","801.716924587","768.864954851","17","red","3"
"95","72","19","1192.13420815","1","1","0","21","0","right","2","in","Female","Right-handed","1","yes","right","d","530.498711189","2065.50766079","17","red","3"
"100","100","19","833.66110576","1","1","1","22","0","right","1","out","Female","Right-handed","1","no","right","d","913.160832657","754.161378864","17","green","0"
"100","100","19","929.407857613","1","1","1","23","0","left","1","in","Female","Right-handed","1","no","left","s","1136.66025552","913.648963411","17","green","2"
"100","100","19","1032.18225985","1","1","1","24","1","right","1","in","Female","Right-handed","1","no","right","s","546.247502818","1929.21462582","17","red","3"
"100","100","19","956.326729447","1","1","1","25","0","right","1","in","Female","Right-handed","1","no","right","s","607.82478092","849.695495563","17","green","0"
"100","100","19","883.517953873","1","1","1","26","2","left","1","out","Female","Right-handed","1","no","left","d","487.342435925","697.223267227","17","green","3"
"100","100","19","910.68821412","1","1","1","27","1","left","3","in","Female","Right-handed","1","no","left","d","731.040594081","1362.03843664","17","green","1"
"100","100","19","914.59885745","1","1","1","28","0","left","1","in","Female","Right-handed","1","no","left","d","1026.65059234","849.474842515","17","red","2"
"100","100","19","907.292800197","1","1","1","29","3","right","2","in","Female","Right-handed","1","no","right","s","679.047612619","1033.25318624","17","red","1"
"100","88","19","1013.8038767","1","0","1","30","3","left","1","out","Female","Right-handed","1","no","left","None","731.717947667","3000.06702979","17","green","2"
"100","90","19","1026.88944608","1","1","1","31","3","left","1","out","Female","Right-handed","1","no","left","s","584.147552756","1705.17158823","17","green","3"
"100","90","19","980.097781844","1","1","1","32","2","left","0","in","Female","Right-handed","1","no","left","s","542.629818898","481.732460088","17","green","3"
"100","91","19","955.35891348","1","1","1","33","2","left","0","out","Female","Right-handed","1","no","left","d","621.201231406","745.261491538","17","red","1"
"100","92","19","962.982673331","1","1","1","34","0","right","1","in","Female","Right-handed","1","no","right","s","515.996545233","1592.93903786","17","red","3"
"100","92","19","942.622025473","1","1","1","35","1","left","0","in","Female","Right-handed","1","no","left","d","618.423825159","737.443381484","17","green","3"
"100","93","19","936.956351853","1","1","1","36","1","left","1","in","Female","Right-handed","1","no","left","s","706.151377613","1009.12246472","17","red","2"
"100","93","19","967.659944206","1","1","1","37","2","right","1","out","Female","Right-handed","1","no","right","s","646.822644019","2209.605015","17","green","2"
"100","94","19","946.7515166","1","1","1","38","2","left","1","out","Female","Right-handed","1","no","left","d","479.18372479","745.249625004","17","red","3"
"100","94","19","946.007038378","1","1","1","39","1","right","1","in","Female","Right-handed","1","no","right","d","657.848241361","1208.85357584","17","red","0"
"100","89","19","937.607409488","1","0","1","40","0","right","1","in","Female","Right-handed","1","no","right","d","779.438341735","793.389837199","17","red","3"
"100","90","19","935.624741623","1","1","1","41","2","left","1","in","Female","Right-handed","1","no","left","s","562.940163567","1232.96794083","17","green","3"
