"acc_1","acc_2","age","avg_rt","correct_1","correct_2","count_block_loop","count_trial_sequence","cue_position","detection","dis_position","dis_shape","gender","hand","high_loc","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position"
"0","0","19","3000.08114079","0","0","0","0","1","left","1","in","Female","Right-handed","0","yes","None","None","3000.07793365","3000.08434794","8","green","2"
"50","50","19","2169.0343155","1","1","0","1","3","right","1","in","Female","Right-handed","0","yes","right","s","1114.48100199","1561.49397842","8","red","3"
"66","66","19","1819.21590411","1","1","0","2","1","right","0","out","Female","Right-handed","0","yes","right","s","1292.98658098","946.171581672","8","red","2"
"75","50","19","1682.0744911","1","0","0","3","3","left","0","out","Female","Right-handed","0","yes","left","d","1155.68032066","1385.62018347","8","red","1"
"80","60","19","1489.49999631","1","1","0","4","2","left","1","out","Female","Right-handed","0","yes","left","s","829.143464302","609.260570032","8","green","2"
"83","66","19","1362.48196114","1","1","0","5","0","right","0","in","Female","Right-handed","0","yes","right","s","788.842146517","665.941424043","8","red","3"
"85","57","19","1289.75455666","1","0","0","6","0","right","3","in","Female","Right-handed","0","yes","right","s","689.399772998","1017.3804865","8","red","2"
"87","62","19","1258.45788552","1","1","0","7","1","left","1","in","Female","Right-handed","0","yes","left","d","748.879824069","1329.88255111","8","red","3"
"88","66","19","1229.62639991","1","1","0","8","0","right","3","in","Female","Right-handed","0","yes","right","d","1156.41924711","841.529783001","8","red","1"
"90","70","19","1192.66440713","1","1","0","9","0","left","2","out","Female","Right-handed","0","yes","left","d","750.001683752","970.01126029","8","green","0"
"90","72","19","1189.51523026","1","1","0","10","0","left","1","out","Female","Right-handed","0","yes","left","d","1298.51217288","1017.53475023","8","green","2"
"91","66","19","1169.16465926","1","0","0","11","0","left","0","in","Female","Right-handed","0","yes","left","s","921.262319851","969.354436782","8","green","1"
"92","61","19","1238.29858584","1","0","0","12","3","left","2","in","Female","Right-handed","0","yes","left","None","1135.73604162","3000.07536793","8","red","0"
"92","57","19","1276.83129299","1","0","0","13","0","left","1","in","Female","Right-handed","0","yes","left","None","555.297130855","3000.21584093","8","green","3"
"93","53","19","1277.452844","1","0","0","14","3","left","3","out","Female","Right-handed","0","yes","left","escape","754.666477659","1817.64263862","8","red","2"
"93","50","19","1246.13725318","1","0","0","15","1","left","0","out","Female","Right-handed","0","yes","left","s","639.355145561","913.451636398","8","red","2"
"94","47","19","1213.65391864","1","0","0","16","2","right","2","out","Female","Right-handed","0","yes","right","s","585.877268294","801.963863803","8","red","3"
"94","50","19","1190.11738974","1","1","0","17","3","right","1","in","Female","Right-handed","0","yes","right","d","674.479488216","905.513308534","8","red","2"
"94","52","19","1171.19845123","1","1","0","18","3","right","3","out","Female","Right-handed","0","yes","right","d","652.177636122","1009.13747977","8","red","2"
"95","55","19","1193.8511153","1","1","0","19","0","right","0","in","Female","Right-handed","0","yes","right","s","1278.79046977","1969.71299571","8","red","1"
"95","52","19","1186.86885371","1","0","0","20","1","left","3","in","Female","Right-handed","0","yes","left","d","1141.30108142","953.146162153","8","green","0"
"95","54","19","1168.27178737","1","1","0","21","2","right","1","out","Female","Right-handed","0","yes","right","s","649.704605814","905.762183066","8","green","2"
"100","100","19","655.918290899","1","1","1","22","2","right","0","out","Female","Right-handed","0","no","right","s","685.789167993","626.047413805","8","green","2"
"100","100","19","624.280677234","1","1","1","23","2","left","0","out","Female","Right-handed","0","no","left","s","583.747402613","601.538724524","8","green","3"
"100","100","19","692.076617436","1","1","1","24","3","right","2","in","Female","Right-handed","0","no","right","d","1030.09265124","625.244344438","8","red","1"
"100","75","19","721.346074469","1","0","1","25","1","right","2","out","Female","Right-handed","0","no","right","d","784.591715878","833.717175261","8","green","0"
"100","80","19","727.840336725","1","1","1","26","3","left","0","out","Female","Right-handed","0","no","left","d","554.354229921","953.280541571","8","green","2"
"100","66","19","736.613746619","1","0","1","27","2","left","1","in","Female","Right-handed","0","no","left","s","840.061230832","720.900361349","8","red","0"
"100","71","19","765.452590845","1","1","1","28","3","right","3","out","Female","Right-handed","0","no","right","s","979.477151811","897.494160589","8","green","1"
"100","75","19","733.471070901","1","1","1","29","2","left","0","in","Female","Right-handed","0","no","left","s","538.005482296","481.195380298","8","red","3"
"100","77","19","749.547605326","1","1","1","30","0","right","1","in","Female","Right-handed","0","no","right","d","914.535010329","841.784751111","8","green","3"
"100","80","19","735.224501826","1","1","1","31","3","right","0","out","Female","Right-handed","0","no","right","d","523.252289822","689.380850837","8","red","3"
"100","81","19","745.284059403","1","1","1","32","0","right","2","in","Female","Right-handed","0","no","right","s","1065.90588887","625.85338147","8","green","1"
"100","83","19","735.004828358","1","1","1","33","1","right","2","in","Female","Right-handed","0","no","right","d","714.41711564","529.449458105","8","red","0"
"100","84","19","747.545404615","1","1","1","34","2","left","3","out","Female","Right-handed","0","no","left","s","923.077243792","872.987395595","8","green","0"
"100","85","19","774.191525446","1","1","1","35","2","right","0","in","Female","Right-handed","0","no","right","d","1287.6899793","953.49221321","8","red","1"
"100","86","19","773.026725896","1","1","1","36","0","left","3","in","Female","Right-handed","0","no","left","s","624.24403559","889.195028796","8","red","2"
"100","87","19","779.45524099","1","1","1","37","3","right","2","out","Female","Right-handed","0","no","right","s","734.842787305","1016.92314748","8","green","0"
"100","88","19","782.864592276","1","1","1","38","1","left","0","in","Female","Right-handed","0","no","left","s","921.388681404","753.439744301","8","red","3"
"100","88","19","774.762944692","1","1","1","39","1","right","0","out","Female","Right-handed","0","no","right","d","553.021981458","721.047890067","8","red","2"
"100","89","19","783.808134143","1","1","1","40","2","right","3","in","Female","Right-handed","0","no","right","s","603.657365195","1289.58572333","8","green","2"
"100","90","19","782.348301191","1","1","1","41","1","right","0","out","Female","Right-handed","0","no","right","s","684.140053502","825.082896707","8","green","1"
"100","90","19","781.463267098","1","1","1","42","0","right","0","in","Female","Right-handed","0","no","right","s","654.796591574","872.72857891","8","red","1"
"100","90","19","774.934605563","1","1","1","43","0","left","0","out","Female","Right-handed","0","no","left","d","666.415119512","609.250307164","8","red","3"
"100","91","19","779.248094652","1","1","1","44","0","left","0","out","Female","Right-handed","0","no","left","d","499.147380227","1249.14232897","8","red","2"
"100","91","19","771.971148568","1","1","1","45","2","right","2","out","Female","Right-handed","0","no","right","s","735.552849437","473.649927823","8","green","0"
"100","92","19","759.061807156","1","1","1","46","3","right","0","out","Female","Right-handed","0","no","right","s","465.22892448","433.246302081","8","green","3"
"100","92","19","755.572157196","1","1","1","47","0","left","0","in","Female","Right-handed","0","no","left","d","679.738886998","656.922929394","8","red","3"
"100","88","19","750.065945456","1","0","1","48","1","right","0","in","Female","Right-handed","0","no","right","s","540.348943903","673.459936492","8","red","3"
"100","89","19","752.653661354","1","1","1","49","0","left","0","out","Female","Right-handed","0","no","left","d","875.970682837","769.07329836","8","red","1"
"100","89","19","745.878344568","1","1","1","50","0","right","3","out","Female","Right-handed","0","no","right","d","550.652862682","561.68608647","8","green","0"
"100","90","19","745.258314767","1","1","1","51","0","right","1","out","Female","Right-handed","0","no","right","d","477.226857796","977.328043253","8","green","0"
"100","90","19","738.506651626","1","1","1","52","1","right","3","in","Female","Right-handed","0","no","right","d","550.881852909","521.031661908","8","green","0"
"100","87","19","738.646302145","1","0","1","53","0","left","0","out","Female","Right-handed","0","no","left","s","780.415370311","705.535566127","8","red","3"
"100","87","19","733.539364282","1","1","1","54","2","left","0","out","Female","Right-handed","0","no","left","s","651.126333652","489.108371709","8","red","2"
"100","88","19","729.105802031","1","1","1","55","0","right","2","out","Female","Right-handed","0","no","right","s","596.789903391","568.806592096","8","red","3"
"100","88","19","736.5392072","1","1","1","56","2","left","0","out","Female","Right-handed","0","no","left","s","1049.26144238","929.288523517","8","green","1"
"100","88","19","751.271869484","1","1","1","57","3","left","2","in","Female","Right-handed","0","no","left","s","1828.96226055","704.867838323","8","green","3"
"100","89","19","750.044663843","1","1","1","58","2","left","3","in","Female","Right-handed","0","no","left","d","786.300804","625.429717479","8","red","0"
"100","89","19","749.071206288","1","1","1","59","3","right","0","in","Female","Right-handed","0","no","right","d","793.097387876","633.009165703","8","green","1"
"100","89","19","746.905122579","1","1","1","60","3","right","0","out","Female","Right-handed","0","no","right","s","536.557135146","792.630748128","8","red","3"
"100","90","19","748.312969025","1","1","1","61","1","right","0","out","Female","Right-handed","0","no","right","s","757.227704482","849.210256325","8","red","2"
"100","90","19","750.130106483","1","1","1","62","3","left","3","in","Female","Right-handed","0","no","left","s","900.775712411","744.855497225","8","green","0"
"100","90","19","750.172552093","1","1","1","63","1","left","1","in","Female","Right-handed","0","no","left","d","766.387313557","737.43833059","8","red","3"
"100","90","19","755.890671405","1","1","1","64","2","left","2","out","Female","Right-handed","0","no","left","s","1007.11633634","984.987028698","8","red","1"
"100","90","19","753.747991124","1","1","1","65","1","right","3","in","Female","Right-handed","0","no","right","d","834.649171899","488.576306183","8","green","0"
"100","91","19","749.523680016","1","1","1","66","2","right","2","in","Female","Right-handed","0","no","right","d","566.150754465","561.157228089","8","green","3"
"100","91","19","746.726319629","1","1","1","67","0","right","1","in","Female","Right-handed","0","no","right","d","560.806045599","680.884158848","8","green","0"
"100","91","19","744.114513428","1","1","1","68","0","left","0","in","Female","Right-handed","0","no","left","s","630.501498218","617.441358137","8","green","3"
"100","91","19","745.154747335","1","1","1","69","3","left","0","out","Female","Right-handed","0","no","left","s","779.133474041","808.958007875","8","red","2"
"100","91","19","741.674473067","1","1","1","70","1","left","2","out","Female","Right-handed","0","no","left","d","708.424563275","440.818053153","8","red","1"
"100","92","19","740.487293768","1","1","1","71","1","left","0","in","Female","Right-handed","0","no","left","s","691.203792643","673.427223603","8","green","3"
"100","92","19","743.573336837","1","1","1","72","3","left","1","out","Female","Right-handed","0","no","left","d","1018.83813438","776.912846127","8","green","0"
"100","92","19","748.598982925","1","1","1","73","1","left","3","in","Female","Right-handed","0","no","left","s","673.355704246","1336.45816262","8","green","2"
"100","92","19","747.172741926","1","1","1","74","3","right","3","in","Female","Right-handed","0","no","right","s","736.896322911","609.120097035","8","red","0"
"100","92","19","747.302950542","1","1","1","75","1","right","1","in","Female","Right-handed","0","no","right","d","635.777894874","872.630119527","8","green","0"
"100","92","19","746.82940231","1","1","1","76","0","left","1","out","Female","Right-handed","0","no","left","s","745.17845683","697.337138719","8","red","2"
"100","92","19","745.75900467","1","1","1","77","3","left","2","in","Female","Right-handed","0","no","left","s","868.918489421","504.855779454","8","green","0"
"100","91","19","743.876186743","1","0","1","78","3","right","0","in","Female","Right-handed","0","no","right","s","828.454248619","448.422517116","8","red","1"
